date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.99,0.997,0.989,0.997,212525346,211321235,,
2025-08-19,0.996,1.002,0.995,0.998,209461005,209240283,,
2025-08-20,0.997,0.999,0.992,0.999,215099406,214110355,,
2025-08-21,1.0,1.01,0.999,1.01,327416307,329715559,,
2025-08-22,1.01,1.012,1.001,1.012,273009424,274496289,,
2025-08-25,1.012,1.024,1.012,1.024,309596308,315238935,,
2025-08-26,1.021,1.023,1.018,1.019,304199413,310632380,,
2025-08-27,1.019,1.03,1.007,1.007,235199983,239817771,,
2025-08-28,1.007,1.01,0.991,1.007,195010743,195307052,,
2025-08-29,1.005,1.016,1.002,1.004,170355306,171890703,,
2025-09-01,1.004,1.01,1.0,1.009,159643486,160638482,,
2025-09-02,1.009,1.017,1.006,1.017,289399193,293467254,,
2025-09-03,1.018,1.02,1.001,1.002,202081204,203591677,,
2025-09-04,1.003,1.005,0.997,1.005,230086741,230263250,,
2025-09-05,1.004,1.018,0.999,1.017,199104449,201038571,,
2025-09-08,1.018,1.032,1.017,1.032,257039216,264302017,,
2025-09-09,1.03,1.037,1.026,1.028,177767017,183235717,,
2025-09-10,1.029,1.029,1.015,1.024,137579103,140387111,,
2025-09-11,1.022,1.031,1.017,1.031,230445375,236129815,,
2025-09-12,1.031,1.034,1.026,1.027,178776234,184127296,,
2025-09-15,1.028,1.034,1.022,1.024,142686215,146697656,,
2025-09-16,1.022,1.027,1.012,1.019,121907400,123982232,,
2025-09-17,1.016,1.022,1.013,1.021,147124224,149778803,,
2025-09-18,1.021,1.022,1.003,1.006,242114445,245364300,,
2025-09-19,1.009,1.01,1.001,1.005,117550804,118096774,,
2025-09-22,1.004,1.004,0.992,0.998,156416000,155790944,,
2025-09-23,0.997,1.004,0.991,1.001,144228879,143838622,,
2025-09-24,0.998,1.003,0.996,1.002,102289134,102241873,,
2025-09-25,1.002,1.004,0.995,0.998,105156804,105009404,,
2025-09-26,0.998,1.008,0.997,1.005,142402374,143106887,,
2025-09-29,1.007,1.01,0.999,1.008,137160407,137805078,,
2025-09-30,1.008,1.009,1.002,1.009,101649302,102237619,,
2025-10-09,1.011,1.045,1.011,1.045,300391414,309556977,,
2025-10-10,1.045,1.05,1.037,1.049,269544741,281464667,,
2025-10-13,1.036,1.047,1.024,1.046,407501577,422327438,,
2025-10-14,1.046,1.06,1.044,1.048,428726305,450171921,,
2025-10-15,1.046,1.054,1.038,1.054,232714735,243747192,,
2025-10-16,1.052,1.054,1.045,1.052,146789627,153972659,,
2025-10-17,1.05,1.054,1.037,1.04,168107404,175514286,,
2025-10-20,1.042,1.044,1.026,1.04,213394100,220559958,,
2025-10-21,1.04,1.049,1.035,1.048,188475711,196841310,,
2025-10-22,1.046,1.047,1.04,1.043,101115505,105536798,,
2025-10-23,1.041,1.057,1.041,1.056,180415838,189549696,,
2025-10-24,1.053,1.055,1.045,1.052,182695102,191814501,,
2025-10-27,1.053,1.075,1.052,1.07,215053484,229263026,,
2025-10-28,1.07,1.073,1.062,1.065,137886720,147178947,,
2025-10-29,1.066,1.084,1.062,1.084,189380413,203710682,,
2025-10-30,1.081,1.089,1.076,1.082,328988429,356483083,,
2025-10-31,1.083,1.086,1.061,1.064,245920300,262364195,,
2025-11-03,1.064,1.072,1.06,1.072,145598600,155387245,,
2025-11-04,1.072,1.08,1.068,1.072,218254302,234463094,,
2025-11-05,1.065,1.083,1.06,1.08,281735783,303043195,,
2025-11-06,1.082,1.099,1.075,1.09,289023916,315527848,,
2025-11-07,1.09,1.097,1.084,1.088,210462460,229580902,,
2025-11-10,1.088,1.094,1.085,1.09,245628900,267492867,,
2025-11-11,1.091,1.093,1.083,1.085,178723127,194138588,,
2025-11-12,1.085,1.087,1.076,1.083,228202726,246752450,,
2025-11-13,1.081,1.083,1.073,1.078,176911100,190341396,,
2025-11-14,1.077,1.078,1.067,1.067,193953095,207959084,,
2025-11-17,1.067,1.067,1.049,1.06,331916904,350311137,,
2025-11-18,1.057,1.06,1.043,1.048,181207541,190198826,,
2025-11-19,1.045,1.051,1.043,1.049,119857810,125536118,,
2025-11-20,1.05,1.054,1.044,1.046,155385637,163073864,,
2025-11-21,1.043,1.043,1.022,1.022,219670706,226264223,,
2025-11-24,1.024,1.027,1.013,1.018,173695474,176771341,,
