date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.939,1.941,1.93,1.932,120315175,233046615,,
2025-08-19,1.931,1.932,1.925,1.928,54178100,104466422,,
2025-08-20,1.899,1.902,1.895,1.902,102457500,194528162,,
2025-08-21,1.893,1.902,1.891,1.902,130199800,246897748,,
2025-08-22,1.891,1.893,1.88,1.886,152643901,288284611,,
2025-08-25,1.911,1.915,1.91,1.911,121914800,233176594,,
2025-08-26,1.904,1.905,1.901,1.903,63240800,120305397,,
2025-08-27,1.912,1.919,1.911,1.919,85937900,164524016,,
2025-08-28,1.91,1.911,1.906,1.909,85618600,163417163,,
2025-08-29,1.915,1.917,1.913,1.913,98545580,188620464,,
2025-09-01,1.899,1.899,1.886,1.893,125100115,236959627,,
2025-09-02,1.896,1.897,1.892,1.894,51777700,98073336,,
2025-09-03,1.885,1.892,1.883,1.89,63364100,119571785,,
2025-09-04,1.903,1.903,1.897,1.897,96393400,183124367,,
2025-09-05,1.918,1.922,1.916,1.921,82213400,157746129,,
2025-09-08,1.919,1.92,1.916,1.919,67777100,129986909,,
2025-09-09,1.921,1.926,1.919,1.926,42463500,81632044,,
2025-09-10,1.931,1.934,1.929,1.933,69931300,135066612,,
2025-09-11,1.932,1.932,1.926,1.931,39846400,76878113,,
2025-09-12,1.938,1.941,1.936,1.939,56440000,109433835,,
2025-09-15,1.946,1.951,1.945,1.95,47337400,92178073,,
2025-09-16,1.962,1.965,1.961,1.964,46869700,92007596,,
2025-09-17,1.959,1.96,1.954,1.958,49697599,97230840,,
2025-09-18,1.961,1.969,1.961,1.966,75631346,148610359,,
2025-09-19,1.974,1.979,1.973,1.974,78291100,154732544,,
2025-09-22,1.986,1.994,1.986,1.993,89383432,177928250,,
2025-09-23,2.006,2.01,2.001,2.009,136174932,273323726,,
2025-09-24,1.991,2.001,1.99,2.001,97908132,195287901,,
2025-09-25,1.995,1.996,1.988,1.988,99479700,198094308,,
2025-09-26,1.98,1.986,1.978,1.985,86225849,170829326,,
2025-09-29,1.995,2.003,1.994,2.003,84906200,169660274,,
2025-09-30,2.002,2.009,2.001,2.007,98837400,198158753,,
2025-10-09,2.042,2.048,2.038,2.045,124873600,255016432,,
2025-10-10,2.046,2.052,2.039,2.05,148468900,303715141,,
2025-10-13,2.0,2.023,1.998,2.013,218864000,439559756,,
2025-10-14,2.032,2.034,1.99,1.99,242589400,487734135,,
2025-10-15,2.0,2.014,1.996,2.013,150649900,302101424,,
2025-10-16,2.014,2.028,2.01,2.028,83326400,168040685,,
2025-10-17,2.015,2.015,1.991,1.991,108558900,217483530,,
2025-10-20,2.027,2.042,2.022,2.041,118507700,240680028,,
2025-10-21,2.066,2.068,2.05,2.057,128852600,265330798,,
2025-10-22,2.055,2.09,2.049,2.083,128246600,265524017,,
2025-10-23,2.067,2.08,2.057,2.078,156615000,324043713,,
2025-10-24,2.097,2.122,2.091,2.114,143505800,302180861,,
2025-10-27,2.15,2.178,2.145,2.178,140640400,304553850,,
2025-10-28,2.2,2.219,2.153,2.182,230907800,504506404,,
2025-10-29,2.21,2.224,2.194,2.224,148173700,327046763,,
2025-10-30,2.219,2.235,2.191,2.197,181535800,401816343,,
2025-10-31,2.196,2.21,2.187,2.194,119732400,262671789,,
2025-11-03,2.207,2.207,2.188,2.192,79828434,175403696,,
2025-11-04,2.19,2.194,2.139,2.159,130857400,283095201,,
2025-11-05,2.1,2.143,2.095,2.133,173434600,367079789,,
2025-11-06,2.146,2.175,2.141,2.173,86600000,187223279,,
2025-11-07,2.132,2.154,2.128,2.146,104911200,224786771,,
2025-11-10,2.167,2.185,2.164,2.184,101298300,220062510,,
2025-11-11,2.21,2.215,2.188,2.2,112965100,248805415,,
2025-11-12,2.205,2.213,2.205,2.213,53473538,118180641,,
2025-11-13,2.204,2.214,2.199,2.211,74594200,164564864,,
2025-11-14,2.17,2.173,2.154,2.157,122363724,265047506,,
2025-11-17,2.178,2.178,2.14,2.149,92650300,200503820,,
2025-11-18,2.121,2.129,2.072,2.075,121730800,255579549,,
2025-11-19,2.067,2.087,2.055,2.075,89648000,185874002,,
2025-11-20,2.124,2.148,2.12,2.148,104757100,223420822,,
2025-11-21,2.053,2.1,2.053,2.079,91927300,190988601,,
2025-11-24,2.104,2.111,2.083,2.093,69521600,145594762,,
2025-11-25,2.141,2.146,2.136,2.138,62100100,132974537,,
2025-11-26,2.155,2.167,2.152,2.162,81808600,176882028,,
