date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.66,0.67,0.657,0.666,350508541,232714445,,
2025-08-19,0.666,0.672,0.659,0.661,210202561,139915293,,
2025-08-20,0.667,0.669,0.653,0.668,252866570,167402512,,
2025-08-21,0.666,0.673,0.662,0.667,210082470,140418779,,
2025-08-22,0.663,0.684,0.663,0.683,251317714,169972221,,
2025-08-25,0.686,0.702,0.686,0.699,283328342,196664289,,
2025-08-26,0.698,0.702,0.687,0.692,241071000,167463028,,
2025-08-27,0.692,0.701,0.678,0.678,337969584,233706344,,
2025-08-28,0.676,0.7,0.674,0.7,427419381,295438062,,
2025-08-29,0.703,0.71,0.693,0.704,329314901,231421712,,
2025-09-01,0.703,0.709,0.693,0.708,237572535,166603192,,
2025-09-02,0.708,0.722,0.689,0.694,340813543,240331131,,
2025-09-03,0.695,0.716,0.692,0.711,475024959,334854068,,
2025-09-04,0.717,0.745,0.702,0.713,629816464,457105471,,
2025-09-05,0.714,0.775,0.712,0.772,770185885,577036740,,
2025-09-08,0.779,0.784,0.762,0.773,586486264,452235428,,
2025-09-09,0.761,0.769,0.75,0.754,440844027,334445241,,
2025-09-10,0.747,0.75,0.73,0.741,414816531,306840402,,
2025-09-11,0.734,0.765,0.733,0.765,387882254,291398207,,
2025-09-12,0.765,0.768,0.752,0.757,349573847,265222833,,
2025-09-15,0.756,0.776,0.755,0.758,294508515,225414177,,
2025-09-16,0.759,0.769,0.746,0.761,288908613,218739745,,
2025-09-17,0.76,0.777,0.754,0.773,275889701,211863805,,
2025-09-18,0.77,0.775,0.749,0.758,351113611,268194745,,
2025-09-19,0.755,0.763,0.751,0.753,202423918,153231696,,
2025-09-22,0.751,0.754,0.738,0.747,278901680,207290210,,
2025-09-23,0.747,0.759,0.731,0.749,276794229,206609762,,
2025-09-24,0.743,0.779,0.743,0.779,424734094,324412789,,
2025-09-25,0.779,0.798,0.774,0.791,456030636,360044088,,
2025-09-26,0.788,0.797,0.782,0.783,254896334,200998486,,
2025-09-29,0.789,0.807,0.784,0.798,274753900,218864876,,
2025-09-30,0.797,0.815,0.794,0.806,215422273,173751386,,
2025-10-09,0.81,0.842,0.81,0.834,330771184,273505439,,
2025-10-10,0.828,0.83,0.79,0.796,390895559,315017374,,
2025-10-13,0.763,0.786,0.76,0.781,346896391,267570183,,
2025-10-14,0.789,0.832,0.784,0.791,515003701,415921356,,
2025-10-15,0.784,0.812,0.772,0.812,364275495,289822228,,
2025-10-16,0.805,0.824,0.803,0.818,321679418,262042619,,
2025-10-17,0.815,0.817,0.768,0.769,343609700,270294247,,
2025-10-20,0.776,0.786,0.768,0.773,215738770,167681113,,
2025-10-21,0.778,0.788,0.77,0.783,202695095,158252274,,
2025-10-22,0.783,0.783,0.766,0.769,183656300,141702316,,
2025-10-23,0.766,0.776,0.752,0.776,211551467,161759888,,
2025-10-24,0.778,0.792,0.778,0.79,203376977,160046823,,
2025-10-27,0.795,0.806,0.787,0.796,256826059,204559897,,
2025-10-28,0.797,0.8,0.786,0.789,185669587,147287554,,
2025-10-29,0.791,0.858,0.791,0.858,644866238,535105940,,
2025-10-30,0.854,0.871,0.851,0.852,511966049,441336525,,
2025-10-31,0.848,0.872,0.839,0.842,300872523,257633473,,
2025-11-03,0.845,0.873,0.839,0.873,385600523,330483958,,
2025-11-04,0.875,0.876,0.844,0.848,270623523,232461556,,
2025-11-05,0.83,0.895,0.83,0.887,466669421,404055477,,
2025-11-06,0.893,0.917,0.89,0.901,378027241,340022398,,
2025-11-07,0.894,0.925,0.89,0.916,580520203,531415583,,
2025-11-10,0.927,0.932,0.909,0.918,444646923,408797500,,
2025-11-11,0.923,0.938,0.908,0.914,359158181,331685418,,
2025-11-12,0.901,0.907,0.86,0.877,624426205,547813797,,
2025-11-13,0.878,0.905,0.877,0.894,467239252,416385855,,
2025-11-14,0.881,0.917,0.874,0.883,447991107,401976658,,
2025-11-17,0.88,0.888,0.862,0.873,309870600,270405157,,
2025-11-18,0.869,0.877,0.844,0.851,290190781,248616033,,
2025-11-19,0.849,0.858,0.836,0.849,256537842,216635020,,
2025-11-20,0.851,0.857,0.83,0.831,230956309,195043570,,
2025-11-21,0.815,0.819,0.783,0.786,345134697,275805476,,
2025-11-24,0.788,0.795,0.776,0.785,233887785,183526526,,
2025-11-25,0.794,0.812,0.791,0.8,254730500,204006383,,
2025-11-26,0.801,0.818,0.793,0.806,233686014,188113210,,
2025-11-27,0.808,0.823,0.799,0.801,218240181,177236589,,
2025-11-28,0.796,0.814,0.796,0.81,164551001,132730587,,
2025-12-01,0.813,0.814,0.799,0.812,187199501,151018631,,
2025-12-02,0.808,0.808,0.796,0.799,153585500,122883859,,
2025-12-03,0.8,0.805,0.791,0.795,143249074,114320528,,
2025-12-04,0.792,0.794,0.784,0.791,172544800,136191445,,
2025-12-05,0.791,0.808,0.785,0.806,237585200,190089873,,
2025-12-08,0.806,0.822,0.802,0.818,193949407,158182094,,
2025-12-09,0.815,0.827,0.81,0.823,193299301,158229741,,
2025-12-10,0.823,0.823,0.798,0.812,202710906,163522573,,
2025-12-11,0.81,0.823,0.802,0.803,178410500,145263310,,
2025-12-12,0.807,0.819,0.801,0.817,177183719,143638610,,
2025-12-15,0.813,0.824,0.81,0.811,136512608,111640265,,
2025-12-16,0.808,0.808,0.782,0.786,171016743,135191911,,
2025-12-17,0.785,0.804,0.783,0.802,138902600,110276384,,
2025-12-18,0.796,0.799,0.788,0.788,129964508,103069173,,
2025-12-19,0.79,0.801,0.79,0.795,95420600,75983057,,
2025-12-22,0.796,0.806,0.796,0.803,125465435,100712978,,
2025-12-23,0.807,0.811,0.798,0.806,161552848,129982881,,
2025-12-24,0.802,0.819,0.796,0.818,170280004,138002481,,
2025-12-25,0.815,0.825,0.811,0.823,186652802,152806639,,
2025-12-26,0.831,0.849,0.83,0.84,292089511,245292451,,
2025-12-29,0.84,0.845,0.83,0.834,180818737,151582941,,
2025-12-30,0.827,0.832,0.824,0.827,147259999,121839031,,
2025-12-31,0.829,0.829,0.815,0.818,144084549,118177775,,
2026-01-05,0.82,0.833,0.82,0.831,177882635,147228847,,
2026-01-06,0.832,0.855,0.832,0.852,274554688,232359369,,
2026-01-07,0.848,0.859,0.846,0.855,207308904,176730265,,
2026-01-08,0.852,0.87,0.847,0.866,253936800,218651751,,
2026-01-09,0.861,0.879,0.857,0.865,306037200,265340207,,
2026-01-12,0.858,0.887,0.858,0.88,320894202,280984807,,
2026-01-13,0.878,0.89,0.853,0.875,348861345,302785806,,
2026-01-14,0.88,0.911,0.872,0.883,365071878,325540637,,
2026-01-15,0.88,0.892,0.872,0.887,222638987,196166872,,
2026-01-16,0.905,0.908,0.891,0.896,232779847,209321446,,
2026-01-19,0.892,0.92,0.888,0.92,237348402,215714624,,
2026-01-20,0.917,0.918,0.887,0.891,242712700,218199929,,
2026-01-21,0.884,0.898,0.88,0.886,222427848,198047317,,
2026-01-22,0.886,0.903,0.885,0.899,164296274,146990702,,
2026-01-23,0.905,0.988,0.905,0.985,542680082,518924105,,
2026-01-26,0.995,1.0,0.948,0.952,566826375,550594514,,
2026-01-27,0.936,0.966,0.919,0.96,464090902,437414984,,
2026-01-28,0.952,0.955,0.932,0.939,290883306,273851346,,
2026-01-29,0.936,0.955,0.925,0.928,306161942,287237894,,
2026-01-30,0.92,0.93,0.879,0.906,482642200,435870397,,
2026-02-02,0.917,0.927,0.898,0.9,274399300,251162873,,
2026-02-03,0.911,0.954,0.911,0.952,430724863,402582855,,
2026-02-04,0.952,0.985,0.945,0.983,505072203,487789049,,
2026-02-05,0.962,0.962,0.926,0.931,358861480,337194931,,
2026-02-06,0.913,0.951,0.909,0.937,317985000,296875787,,
2026-02-09,0.96,0.985,0.951,0.971,405194473,393664658,,
2026-02-10,0.965,0.973,0.953,0.957,300913500,288886258,,
2026-02-11,0.954,0.966,0.946,0.946,180217858,171865725,,
2026-02-12,0.944,0.962,0.944,0.958,171980558,163958060,,
2026-02-13,0.95,0.951,0.929,0.93,243923100,228790364,,
2026-02-24,0.94,0.952,0.935,0.942,168223372,158768625,,
2026-02-25,0.941,0.958,0.938,0.953,223113244,211314339,,
2026-02-26,0.95,0.952,0.935,0.949,130771600,123566523,,
2026-02-27,0.948,0.967,0.942,0.965,315591199,302948656,,
2026-03-02,0.947,0.98,0.945,0.966,230970201,223527661,,
2026-03-03,0.97,0.988,0.941,0.942,406860796,389401321,,
2026-03-04,0.926,0.959,0.924,0.943,251333200,237698808,,
2026-03-05,0.953,0.962,0.948,0.957,188379768,180069556,,
2026-03-06,0.953,0.968,0.941,0.958,168633200,160798702,,
2026-03-09,0.947,0.978,0.944,0.976,380002893,366939204,,
2026-03-10,0.971,0.987,0.964,0.986,249750357,244203034,,
2026-03-11,0.986,1.017,0.98,1.002,324977867,326083566,,
2026-03-12,0.999,1.009,0.983,1.005,294010500,293167868,,
2026-03-13,1.001,1.013,0.986,0.988,192945200,193182495,,
2026-03-16,0.989,0.996,0.96,0.964,222062253,215111341,,
2026-03-17,0.964,0.984,0.948,0.948,213949301,207014130,,
2026-03-18,0.946,0.958,0.934,0.953,219034592,207476674,,
2026-03-19,0.94,0.957,0.935,0.94,173898732,164356539,,
2026-03-20,0.94,1.002,0.939,0.967,504768000,488330774,,
2026-03-23,0.958,0.984,0.943,0.955,404989039,390688669,,
2026-03-24,0.96,0.963,0.909,0.96,330300100,309243936,,
2026-03-25,0.95,0.975,0.949,0.965,288336300,278004351,,
2026-03-26,0.963,0.965,0.937,0.943,274558480,260251125,,
2026-03-27,0.924,0.949,0.924,0.941,196066090,183636686,,
2026-03-30,0.927,0.934,0.892,0.908,292105967,265089962,,
2026-03-31,0.9,0.912,0.878,0.878,194398200,173889578,,
2026-04-01,0.882,0.896,0.871,0.884,328307581,289502903,,
2026-04-02,0.879,0.882,0.851,0.856,308197300,265361387,,
2026-04-03,0.855,0.859,0.833,0.836,176269736,148404624,,
2026-04-07,0.832,0.845,0.83,0.836,130685400,109330916,,
2026-04-08,0.85,0.875,0.85,0.874,195386800,168682604,,
2026-04-09,0.864,0.866,0.852,0.863,155063099,133242798,,
2026-04-10,0.87,0.89,0.87,0.881,178914085,157731956,,
2026-04-13,0.875,0.904,0.872,0.897,263332000,235258834,,
2026-04-14,0.901,0.906,0.891,0.905,162213300,145727742,,
2026-04-15,0.906,0.91,0.895,0.898,174409300,157544597,,
