date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.562,1.571,1.558,1.561,637588143,996647844,,
2025-08-19,1.558,1.564,1.552,1.554,428645768,667443122,,
2025-08-20,1.545,1.558,1.539,1.558,334264197,517647102,,
2025-08-21,1.559,1.56,1.544,1.548,403085239,625540151,,
2025-08-22,1.555,1.562,1.553,1.558,407149458,634036226,,
2025-08-25,1.579,1.599,1.577,1.596,562604561,893826847,,
2025-08-26,1.585,1.592,1.58,1.581,256981191,407813027,,
2025-08-27,1.582,1.583,1.553,1.553,563429978,885571671,,
2025-08-28,1.545,1.546,1.528,1.541,505299980,777549860,,
2025-08-29,1.544,1.553,1.54,1.551,438841800,678792070,,
2025-09-01,1.569,1.576,1.566,1.572,411165767,646213108,,
2025-09-02,1.572,1.583,1.564,1.573,447034500,703561421,,
2025-09-03,1.579,1.585,1.554,1.556,426067700,667735270,,
2025-09-04,1.567,1.569,1.54,1.542,417124082,646237661,,
2025-09-05,1.547,1.565,1.544,1.565,349004800,542001799,,
2025-09-08,1.565,1.58,1.561,1.579,365734287,574339311,,
2025-09-09,1.583,1.602,1.58,1.592,401019900,638063534,,
2025-09-10,1.6,1.619,1.6,1.614,415614100,670358522,,
2025-09-11,1.598,1.617,1.593,1.615,396399900,635943674,,
2025-09-12,1.636,1.638,1.624,1.624,417251423,680579395,,
2025-09-15,1.624,1.638,1.621,1.628,368012365,600030151,,
2025-09-16,1.634,1.64,1.623,1.634,491570511,801708959,,
2025-09-17,1.635,1.66,1.634,1.659,384822800,633932891,,
2025-09-18,1.658,1.67,1.624,1.631,692244915,1144126342,,
2025-09-19,1.631,1.643,1.629,1.633,409912000,670557879,,
2025-09-22,1.629,1.635,1.619,1.626,377402433,613379848,,
2025-09-23,1.63,1.632,1.605,1.613,388049401,627083162,,
2025-09-24,1.609,1.64,1.607,1.64,374619774,608962644,,
2025-09-25,1.64,1.644,1.632,1.633,383452181,628252902,,
2025-09-26,1.618,1.632,1.618,1.624,330664694,537565639,,
2025-09-29,1.626,1.646,1.626,1.646,338361441,553606289,,
2025-09-30,1.647,1.658,1.641,1.658,456451610,752586933,,
2025-10-09,1.66,1.664,1.639,1.651,607027489,1003401410,,
2025-10-10,1.638,1.639,1.62,1.622,386108152,629787777,,
2025-10-13,1.582,1.599,1.569,1.589,668162904,1060393240,,
2025-10-14,1.6,1.611,1.567,1.573,645138452,1026642689,,
2025-10-15,1.589,1.602,1.582,1.601,418369892,666054187,,
2025-10-16,1.597,1.608,1.588,1.596,338963138,541390364,,
2025-10-17,1.595,1.597,1.563,1.564,409076600,645815050,,
2025-10-20,1.595,1.601,1.589,1.597,409557188,653124485,,
2025-10-21,1.615,1.628,1.611,1.616,296295199,479927066,,
2025-10-22,1.6,1.603,1.587,1.593,370306367,590437842,,
2025-10-23,1.587,1.611,1.582,1.606,557113600,886924460,,
2025-10-24,1.616,1.621,1.61,1.616,332484938,536838477,,
2025-10-27,1.633,1.636,1.625,1.63,290182900,472864318,,
2025-10-28,1.633,1.635,1.618,1.619,500079397,812669698,,
2025-10-29,1.627,1.639,1.626,1.639,170870197,278798678,,
2025-10-30,1.637,1.638,1.611,1.614,531335988,863531365,,
2025-10-31,1.616,1.62,1.603,1.603,302821194,488066273,,
2025-11-03,1.604,1.618,1.601,1.618,374071977,602110043,,
2025-11-04,1.615,1.624,1.601,1.606,327331475,528324331,,
