date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,,3.23,3.236,3.214,3.223,134969065,434845368,,
2025-08-19,,3.221,3.223,3.212,3.217,103232286,332002502,,
2025-08-20,,3.214,3.241,3.206,3.24,112975538,364871739,,
2025-08-21,,3.24,3.258,3.231,3.256,127908198,415674551,,
2025-08-22,,3.258,3.258,3.226,3.253,169201858,547820885,,
2025-08-25,,3.254,3.274,3.243,3.273,176378554,574875219,,
2025-08-26,,3.27,3.273,3.26,3.261,107061647,349638135,,
2025-08-27,,3.258,3.259,3.205,3.208,190896900,616117897,,
2025-08-28,,3.205,3.214,3.176,3.205,224181088,716433418,,
2025-08-29,,3.201,3.227,3.186,3.189,180980728,579134004,,
2025-09-01,,3.188,3.198,3.164,3.171,212962041,676408329,,
2025-09-02,,3.171,3.187,3.165,3.186,138606235,440228971,,
2025-09-03,,3.185,3.188,3.148,3.153,175130628,553425776,,
2025-09-04,,3.149,3.175,3.122,3.172,204558395,643178290,,
2025-09-05,,3.166,3.167,3.144,3.162,135163612,426184701,,
2025-09-08,,3.16,3.171,3.152,3.168,111711496,353563515,,
2025-09-09,,3.168,3.174,3.155,3.17,102677291,325048395,,
2025-09-10,,3.167,3.172,3.156,3.169,86565900,274032957,,
2025-09-11,,3.167,3.174,3.15,3.174,175492519,554593269,,
2025-09-12,,3.171,3.178,3.154,3.159,136000431,430411442,,
2025-09-15,,3.156,3.156,3.135,3.142,163360700,513234756,,
2025-09-16,,3.145,3.159,3.131,3.135,115256577,361916019,,
2025-09-17,,3.134,3.153,3.125,3.149,155671600,489338053,,
2025-09-18,,3.15,3.15,3.082,3.096,343379949,1068605314,,
2025-09-19,,3.096,3.114,3.077,3.113,254907648,789274234,,
2025-09-22,,3.112,3.113,3.08,3.087,140548279,434515263,,
2025-09-23,,3.087,3.107,3.07,3.105,226650330,701061686,,
2025-09-24,,3.1,3.122,3.093,3.111,147229828,457454869,,
2025-09-25,,3.106,3.108,3.083,3.097,132771900,410443852,,
2025-09-26,,3.095,3.104,3.08,3.098,137495261,425490676,,
2025-09-29,,3.091,3.105,3.072,3.093,214805423,662483851,,
2025-09-30,,3.091,3.092,3.073,3.082,115426700,355382758,,
2025-10-09,,3.082,3.103,3.068,3.103,192947361,594695149,,
2025-10-10,,3.1,3.141,3.091,3.136,265947347,832048253,,
2025-10-13,,3.125,3.145,3.094,3.14,238490581,743812669,,
2025-10-14,,3.139,3.205,3.126,3.204,474243200,1507596097,,
2025-10-15,,3.203,3.215,3.187,3.207,238431243,763943699,,
2025-10-16,,3.201,3.244,3.197,3.239,242080231,781310136,,
2025-10-17,,3.239,3.268,3.224,3.229,243919045,792139562,,
2025-10-20,,3.229,3.258,3.2,3.256,252638582,816254793,,
2025-10-21,,3.243,3.253,3.228,3.248,160358423,519618096,,
2025-10-22,,3.241,3.256,3.238,3.253,117732243,382621933,,
2025-10-23,,3.248,3.283,3.248,3.278,225949709,739691906,,
2025-10-24,,3.265,3.273,3.254,3.259,195565725,637760802,,
2025-10-27,,3.253,3.286,3.235,3.272,181602250,592349598,,
2025-10-28,,3.268,3.279,3.253,3.267,122988372,401591094,,
2025-10-29,,3.265,3.265,3.23,3.249,171294655,555620855,,
2025-10-30,,3.245,3.271,3.242,3.248,114843191,373835004,,
2025-10-31,,3.247,3.248,3.225,3.24,114408542,370000179,,
