date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.916,0.945,0.915,0.935,152228454,142236295,,
2025-08-19,0.937,0.948,0.932,0.94,154670710,145614510,,
2025-08-20,0.939,0.953,0.934,0.952,138915404,131110597,,
2025-08-21,0.95,0.957,0.94,0.95,99230887,94074260,,
2025-08-22,0.949,0.976,0.948,0.976,100347989,96848233,,
2025-08-25,0.985,0.992,0.968,0.99,363724126,356747089,,
2025-08-26,0.982,1.012,0.981,1.005,129484700,129797080,,
2025-08-27,1.008,1.017,0.982,0.983,162732006,163369498,,
2025-08-28,0.982,0.999,0.969,0.997,177571326,174614473,,
2025-08-29,0.998,1.007,0.994,1.0,116807700,116803731,,
2025-09-01,1.002,1.017,0.991,1.013,126916800,127682082,,
2025-09-02,1.01,1.012,0.981,0.988,134907513,134110018,,
2025-09-03,0.987,1.016,0.984,0.992,114511230,114854119,,
2025-09-04,0.984,0.993,0.951,0.962,133357830,129799230,,
2025-09-05,0.962,0.997,0.951,0.996,164204700,160589991,,
2025-09-08,0.99,1.016,0.985,1.015,168524700,168711426,,
2025-09-09,1.011,1.02,0.993,1.003,101926806,102345937,,
2025-09-10,0.997,1.028,0.992,1.023,119429900,121163538,,
2025-09-11,1.021,1.035,0.995,1.034,132733200,134850553,,
2025-09-12,1.034,1.04,1.022,1.026,69285100,71419238,,
2025-09-15,1.023,1.05,1.021,1.048,82450071,85724525,,
2025-09-16,1.048,1.063,1.045,1.056,119764887,126435483,,
2025-09-17,1.05,1.067,1.046,1.064,110722851,116812391,,
2025-09-18,1.062,1.075,1.032,1.046,136750833,144389413,,
2025-09-19,1.042,1.061,1.038,1.054,92714078,97328016,,
2025-09-22,1.051,1.051,1.035,1.045,136238000,141972876,,
2025-09-23,1.045,1.046,1.013,1.033,122274244,125628794,,
2025-09-24,1.025,1.061,1.022,1.057,105305243,110380685,,
2025-09-25,1.057,1.093,1.057,1.084,107662847,116465344,,
2025-09-26,1.081,1.082,1.045,1.046,88088500,93078889,,
2025-09-29,1.038,1.055,1.036,1.053,58715464,61460456,,
2025-09-30,1.056,1.061,1.05,1.057,62094348,65521830,,
2025-10-09,1.059,1.063,1.034,1.046,187167493,195120765,,
2025-10-10,1.034,1.037,1.007,1.012,96067933,97993007,,
2025-10-13,0.973,1.0,0.972,0.994,183097245,181246255,,
2025-10-14,0.995,1.008,0.972,0.977,220656673,218509159,,
2025-10-15,0.977,0.985,0.962,0.984,240290686,235258580,,
2025-10-16,0.98,0.98,0.962,0.965,138554015,134167977,,
2025-10-17,0.962,0.972,0.939,0.941,92662006,88083987,,
2025-10-20,0.95,0.966,0.949,0.957,58059269,55491467,,
2025-10-21,0.955,0.968,0.954,0.968,61570600,59237693,,
2025-10-22,0.966,0.975,0.961,0.964,67190600,65043239,,
2025-10-23,0.966,0.971,0.952,0.97,55787267,53475875,,
2025-10-24,0.968,0.976,0.964,0.975,62250900,60413880,,
2025-10-27,0.98,0.985,0.967,0.975,107859400,104982835,,
2025-10-28,0.975,0.978,0.965,0.971,69041300,67084532,,
2025-10-29,0.971,0.988,0.97,0.988,73195990,71775818,,
2025-10-30,0.987,0.991,0.969,0.972,125856000,122694716,,
2025-10-31,0.97,1.005,0.97,0.993,229162004,227338745,,
2025-11-03,1.0,1.021,1.0,1.021,224724904,227605487,,
2025-11-04,1.02,1.02,0.998,1.009,250004000,252488501,,
2025-11-05,0.991,1.01,0.989,1.007,154208791,154140001,,
2025-11-06,1.005,1.005,0.987,0.995,152635866,151678099,,
2025-11-07,0.988,0.992,0.982,0.984,92287600,91047521,,
2025-11-10,0.985,0.993,0.983,0.991,91083300,90062895,,
2025-11-11,0.991,0.992,0.979,0.98,94065700,92540323,,
2025-11-12,0.977,0.987,0.967,0.974,76203052,74423357,,
2025-11-13,0.968,0.98,0.968,0.979,102259940,99665561,,
2025-11-14,0.975,0.975,0.958,0.96,96600600,93404915,,
2025-11-17,0.958,0.973,0.953,0.968,63125100,60889229,,
2025-11-18,0.968,0.997,0.965,0.991,161237066,159034907,,
2025-11-19,0.992,0.992,0.965,0.97,182363957,177598979,,
2025-11-20,0.973,0.976,0.956,0.957,71812937,69295687,,
2025-11-21,0.948,0.973,0.945,0.958,125234657,120083199,,
2025-11-24,0.964,1.0,0.949,0.99,260087842,255654345,,
2025-11-25,0.994,1.021,0.991,1.011,392012276,397403267,,
2025-11-26,1.009,1.019,0.998,1.001,217095101,218592806,,
2025-11-27,0.997,1.011,0.985,0.989,247828116,246468948,,
2025-11-28,0.982,0.999,0.982,0.991,144894153,143185087,,
2025-12-01,0.994,1.001,0.988,1.0,119735659,119245809,,
2025-12-02,0.999,0.999,0.976,0.977,109881711,107848923,,
2025-12-03,0.975,0.979,0.952,0.955,164182094,157682053,,
2025-12-04,0.951,0.959,0.947,0.953,99116216,94400958,,
2025-12-05,0.951,0.961,0.945,0.961,97137796,92726889,,
2025-12-08,0.963,0.973,0.961,0.968,99614600,96353746,,
2025-12-09,0.966,0.973,0.957,0.96,96175700,92638363,,
2025-12-10,0.958,0.969,0.95,0.969,65322700,62839532,,
2025-12-11,0.969,0.969,0.951,0.951,70283700,67353404,,
