date,open,high,low,close,volume,amount,prevclose,postVol,postAmt
2025-08-18,1.487,1.506,1.486,1.493,1799356330,2691346230,,,
2025-08-19,1.487,1.497,1.479,1.488,1419615099,2112021226,,,
2025-08-20,1.474,1.485,1.47,1.484,1454534712,2148277623,,,
2025-08-21,1.479,1.481,1.465,1.468,1179493866,1738641589,,,
2025-08-22,1.483,1.496,1.478,1.489,1481248861,2205058504,,,
2025-08-25,1.52,1.557,1.52,1.552,2331742361,3593488906,,,
2025-08-26,1.532,1.545,1.53,1.531,1237903700,1904115341,,,
2025-08-27,1.53,1.536,1.501,1.504,1777824707,2708554172,,,
2025-08-28,1.49,1.491,1.469,1.481,1741432942,2577247936,,,
2025-08-29,1.485,1.49,1.473,1.484,1835722722,2720849056,,,
2025-09-01,1.536,1.547,1.529,1.542,2353702602,3622761450,,,
2025-09-02,1.545,1.553,1.529,1.538,1637830737,2522095627,,,
2025-09-03,1.55,1.557,1.519,1.523,1368855489,2102459953,,,
2025-09-04,1.536,1.539,1.504,1.506,1431389369,2171935656,,,
2025-09-05,1.511,1.537,1.508,1.537,1130311186,1719225157,,,
2025-09-08,1.54,1.575,1.539,1.572,2063743787,3215351377,,,
2025-09-09,1.576,1.6,1.573,1.586,1937895901,3073725850,,,
2025-09-10,1.608,1.635,1.605,1.612,2501682276,4054951494,,,
2025-09-11,1.595,1.616,1.584,1.615,2020354020,3233542162,,,
2025-09-12,1.66,1.667,1.641,1.642,2270453010,3752545665,,,
2025-09-15,1.639,1.668,1.636,1.65,1858514556,3076779596,,,
2025-09-16,1.661,1.674,1.65,1.67,1753537284,2916095409,,,
2025-09-17,1.684,1.726,1.68,1.723,2360334038,4026524721,,,
2025-09-18,1.725,1.753,1.669,1.686,4118564687,7061956997,,,
2025-09-19,1.694,1.708,1.675,1.686,2267176068,3836823470,,,
2025-09-22,1.679,1.691,1.67,1.675,1831450484,3074064171,,,
2025-09-23,1.68,1.682,1.642,1.656,1852538569,3074926791,,,
2025-09-24,1.648,1.724,1.646,1.72,3128981366,5297456886,,,
2025-09-25,1.738,1.752,1.718,1.733,2648406395,4601504326,,,
2025-09-26,1.711,1.725,1.701,1.701,1786260226,3058543235,,,
2025-09-29,1.702,1.733,1.702,1.732,2337119952,4024588862,,,
2025-09-30,1.741,1.756,1.727,1.755,2288065277,3982857718,,,
2025-10-09,1.762,1.768,1.73,1.742,2946446205,5163180475,,,
2025-10-10,1.719,1.722,1.68,1.687,2322369473,3955532206,,,
2025-10-13,1.619,1.661,1.608,1.636,3414053131,5577442825,,,
2025-10-14,1.655,1.665,1.594,1.599,3124723360,5097398414,,,
2025-10-15,1.62,1.642,1.605,1.639,2230376306,3624601598,,,
2025-10-16,1.633,1.642,1.607,1.617,1688250499,2740830035,,,
