date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.952,2.062,1.936,2.032,372588743,748709442,,
2025-08-19,2.029,2.117,2.024,2.114,450253026,940176627,,
2025-08-20,2.07,2.121,2.021,2.12,601886195,1249310515,,
2025-08-21,2.129,2.15,2.066,2.098,505685078,1060647092,,
2025-08-22,2.078,2.187,2.077,2.18,484140905,1036303225,,
2025-08-25,2.227,2.332,2.2,2.327,518526686,1174058795,,
2025-08-26,2.317,2.334,2.263,2.278,404490521,929172569,,
2025-08-27,2.286,2.439,2.286,2.337,581414669,1374814292,,
2025-08-28,2.327,2.568,2.32,2.555,847240825,2072324176,,
2025-08-29,2.553,2.573,2.46,2.553,945258947,2380210632,,
2025-09-01,2.585,2.745,2.538,2.704,939867759,2488198779,,
2025-09-02,2.693,2.763,2.5,2.548,1383194031,3614751444,,
2025-09-03,2.531,2.643,2.487,2.6,1251171015,3208056780,,
2025-09-04,2.652,2.68,2.34,2.357,1489384582,3664446253,,
2025-09-05,2.369,2.545,2.328,2.518,1134764093,2755885502,,
2025-09-08,2.474,2.48,2.3,2.394,1089711654,2591966558,,
2025-09-09,2.347,2.398,2.302,2.346,526237109,1239023701,,
2025-09-10,2.426,2.496,2.398,2.452,852625786,2084529884,,
2025-09-11,2.5,2.697,2.489,2.697,1170063122,3059268450,,
2025-09-12,2.603,2.669,2.59,2.623,1000225657,2630953879,,
2025-09-15,2.578,2.618,2.53,2.577,710907429,1832880918,,
2025-09-16,2.573,2.623,2.531,2.596,673476525,1737469116,,
2025-09-17,2.58,2.625,2.535,2.605,645840882,1672539893,,
2025-09-18,2.562,2.724,2.56,2.655,942795427,2500808913,,
2025-09-19,2.686,2.73,2.634,2.681,678130073,1818437548,,
2025-09-22,2.682,2.724,2.603,2.712,544122882,1460437794,,
2025-09-23,2.808,2.838,2.644,2.734,898556434,2451652156,,
2025-09-24,2.652,2.748,2.629,2.716,730647072,1966405823,,
2025-09-25,2.684,2.812,2.648,2.779,724566043,1993124533,,
2025-09-26,2.749,2.806,2.693,2.695,516784758,1416801202,,
2025-09-29,2.66,2.767,2.66,2.732,473656653,1294041967,,
2025-09-30,2.743,2.794,2.662,2.676,638156175,1726352380,,
2025-10-09,2.703,2.76,2.692,2.7,685968074,1869851506,,
2025-10-10,2.704,2.733,2.625,2.644,527171457,1410120320,,
2025-10-13,2.499,2.6,2.485,2.599,492319959,1259550016,,
2025-10-14,2.633,2.638,2.423,2.437,760022224,1900125453,,
2025-10-15,2.426,2.505,2.407,2.502,407037102,1003465513,,
2025-10-16,2.478,2.567,2.468,2.522,321587106,814406575,,
2025-10-17,2.522,2.535,2.435,2.446,365577080,902384200,,
2025-10-20,2.529,2.605,2.5,2.529,556037850,1417344490,,
2025-10-21,2.55,2.722,2.533,2.7,741778633,1962450089,,
2025-10-22,2.669,2.721,2.651,2.675,530328311,1423862861,,
2025-10-23,2.641,2.651,2.567,2.626,435120742,1132300474,,
2025-10-24,2.671,2.79,2.623,2.778,664317280,1803783203,,
2025-10-27,2.86,2.921,2.836,2.913,673477836,1942475632,,
2025-10-28,2.88,2.995,2.866,2.916,597863107,1753025699,,
2025-10-29,2.98,3.008,2.91,2.971,627888936,1854523815,,
2025-10-30,2.92,2.975,2.86,2.869,723593181,2096265355,,
2025-10-31,2.855,2.855,2.712,2.718,907872067,2496748561,,
2025-11-03,2.683,2.746,2.656,2.739,538215258,1456418032,,
2025-11-04,2.751,2.779,2.68,2.705,428966804,1170962735,,
2025-11-05,2.62,2.707,2.617,2.692,368168447,979365362,,
2025-11-06,2.717,2.777,2.706,2.762,540988389,1485540256,,
2025-11-07,2.721,2.762,2.681,2.729,373720268,1016598374,,
2025-11-10,2.725,2.747,2.613,2.702,566958411,1509118805,,
2025-11-11,2.736,2.739,2.611,2.618,502957613,1336672284,,
2025-11-12,2.58,2.649,2.549,2.645,483513342,1254635550,,
2025-11-13,2.627,2.639,2.577,2.626,376617479,983734098,,
2025-11-14,2.579,2.586,2.539,2.541,407082206,1042074584,,
2025-11-17,2.538,2.598,2.531,2.564,378568739,970121683,,
2025-11-18,2.537,2.613,2.524,2.556,506198244,1305586864,,
2025-11-19,2.551,2.625,2.548,2.585,580107986,1504059572,,
2025-11-20,2.675,2.688,2.581,2.598,558223190,1463309804,,
2025-11-21,2.52,2.538,2.447,2.456,630192600,1568184668,,
2025-11-24,2.483,2.484,2.37,2.426,508713670,1234869662,,
2025-11-25,2.47,2.566,2.47,2.515,676973976,1704435166,,
2025-11-26,2.489,2.713,2.47,2.656,889344774,2336033734,,
2025-11-27,2.64,2.767,2.636,2.666,536079441,1454244998,,
2025-11-28,2.658,2.695,2.628,2.675,369993495,984659980,,
2025-12-01,2.697,2.763,2.653,2.751,457885407,1247952732,,
2025-12-02,2.746,2.794,2.735,2.762,374241769,1033205788,,
2025-12-03,2.763,2.83,2.731,2.737,471582305,1310802282,,
2025-12-04,2.706,2.772,2.682,2.759,377173713,1030655756,,
2025-12-05,2.784,2.814,2.741,2.788,339967944,945501698,,
2025-12-08,2.792,2.981,2.792,2.941,723118949,2109858701,,
2025-12-09,2.94,3.055,2.935,3.032,639381844,1927619883,,
2025-12-10,3.025,3.073,2.943,3.059,533509527,1602283129,,
2025-12-11,3.048,3.059,2.936,2.939,506632768,1519076158,,
2025-12-12,2.914,3.007,2.902,2.976,453273307,1341783095,,
2025-12-15,2.93,2.965,2.898,2.904,352525288,1031303630,,
2025-12-16,2.894,2.903,2.797,2.826,442510383,1257458588,,
2025-12-17,2.827,2.986,2.827,2.983,651846137,1906848346,,
2025-12-18,2.93,2.979,2.921,2.924,470710144,1386269817,,
