date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,7.398,7.43,7.393,7.413,228171106,1690072000,,
2025-08-19,7.386,7.4,7.386,7.391,182699299,1350510204,,
2025-08-20,7.362,7.377,7.35,7.374,204963900,1509440993,,
2025-08-21,7.403,7.408,7.387,7.394,223292731,1652146836,,
2025-08-22,7.395,7.4,7.373,7.378,194928678,1439892466,,
2025-08-25,7.419,7.43,7.417,7.427,288572434,2141946403,,
2025-08-26,7.437,7.45,7.437,7.449,293532600,2185176566,,
2025-08-27,7.461,7.461,7.444,7.45,235912901,1758733831,,
2025-08-28,7.462,7.47,7.459,7.468,223107284,1665240691,,
2025-08-29,7.48,7.488,7.478,7.486,217764686,1629642851,,
2025-09-01,7.546,7.658,7.542,7.647,844514784,6431354808,,
2025-09-02,7.75,7.75,7.663,7.67,650604808,5006529827,,
2025-09-03,7.76,7.787,7.746,7.768,535458390,4158516363,,
2025-09-04,7.795,7.795,7.694,7.75,561861413,4352594756,,
2025-09-05,7.773,7.782,7.755,7.775,344149544,2674763266,,
2025-09-08,7.811,7.848,7.808,7.847,413909759,3240893040,,
2025-09-09,7.934,7.987,7.928,7.966,695908132,5537633289,,
2025-09-10,7.906,7.953,7.898,7.947,398608908,3160253380,,
2025-09-11,7.963,7.968,7.901,7.923,410933374,3259869667,,
2025-09-12,7.932,7.966,7.932,7.954,328766845,2613712618,,
2025-09-15,7.908,7.947,7.907,7.931,285290527,2262570508,,
2025-09-16,8.007,8.034,7.988,8.032,339497584,2718705446,,
2025-09-17,8.01,8.01,7.955,7.964,428296395,3417850247,,
2025-09-18,7.901,7.949,7.859,7.862,556562627,4399557224,,
2025-09-19,7.901,7.917,7.869,7.898,323799619,2556742578,,
2025-09-22,8.005,8.058,7.984,8.048,453251935,3632554944,,
2025-09-23,8.125,8.149,8.105,8.143,511550370,4158136063,,
2025-09-24,8.141,8.204,8.123,8.19,439901080,3591418429,,
2025-09-25,8.16,8.164,8.116,8.146,444111704,3614722212,,
2025-09-26,8.15,8.183,8.147,8.16,384548100,3138261886,,
2025-09-29,8.177,8.268,8.174,8.259,532950667,4380687035,,
2025-09-30,8.324,8.388,8.324,8.339,666956876,5576070203,,
2025-10-09,8.724,8.779,8.69,8.729,801442472,6996319980,,
2025-10-10,8.637,8.651,8.586,8.602,641470935,5528015329,,
2025-10-13,8.77,8.868,8.77,8.859,773948022,6826004392,,
2025-10-14,9.1,9.377,8.878,8.976,1667960506,15094002873,,
2025-10-15,9.143,9.19,9.09,9.187,919314119,8404693734,,
2025-10-16,9.23,9.288,9.198,9.244,1040915876,9625793165,,
2025-10-17,9.497,9.587,9.361,9.568,1586342550,15083487665,,
2025-10-20,9.308,9.367,9.25,9.268,1205698499,11239083883,,
2025-10-21,9.526,9.526,9.425,9.49,999521780,9473507963,,
2025-10-22,8.986,9.106,8.95,9.101,1407669227,12694570824,,
2025-10-23,8.98,9.052,8.92,8.994,932066467,8366775476,,
2025-10-24,9.048,9.053,8.933,8.95,740082055,6652958689,,
2025-10-27,8.948,8.949,8.897,8.914,675437497,6024338869,,
2025-10-28,8.79,8.79,8.591,8.597,1085475713,9433291725,,
2025-10-29,8.68,8.699,8.622,8.692,799957387,6929137801,,
2025-10-30,8.635,8.706,8.559,8.704,1025527342,8858790469,,
2025-10-31,8.81,8.822,8.748,8.794,771949636,6782774235,,
2025-11-03,8.743,8.801,8.737,8.797,465811303,4085511859,,
2025-11-04,8.745,8.756,8.705,8.737,531122927,4638166862,,
2025-11-05,8.654,8.732,8.641,8.706,476092329,4136619619,,
2025-11-06,8.718,8.757,8.706,8.755,409443562,3576860604,,
2025-11-07,8.769,8.798,8.755,8.793,427264748,3747892162,,
2025-11-10,8.869,8.949,8.856,8.936,758507494,6751619483,,
2025-11-11,9.138,9.138,9.049,9.062,828106585,7518834240,,
2025-11-12,9.058,9.068,8.984,9.029,658718382,5948310393,,
2025-11-13,9.157,9.184,9.134,9.175,651400798,5968013292,,
2025-11-14,9.099,9.18,9.09,9.096,716187519,6540777396,,
2025-11-17,8.922,8.969,8.842,8.882,812669365,7238287561,,
2025-11-18,8.837,8.837,8.77,8.777,583681281,5133558167,,
2025-11-19,8.89,8.968,8.873,8.954,604136017,5392419257,,
2025-11-20,8.959,8.969,8.865,8.903,633776232,5649454182,,
2025-11-21,8.888,8.921,8.824,8.828,684293990,6071459200,,
2025-11-24,8.858,8.865,8.829,8.857,468144900,4141386255,,
2025-11-25,8.99,9.039,8.99,9.01,642314263,5789627417,,
2025-11-26,9.015,9.048,9.003,9.011,509052124,4596141094,,
2025-11-27,9.003,9.017,8.986,9.01,380715268,3427665091,,
2025-11-28,9.084,9.09,9.051,9.067,397292813,3603374123,,
2025-12-01,9.146,9.204,9.128,9.161,731858399,6708010683,,
2025-12-02,9.118,9.145,9.088,9.112,447517819,4083289907,,
2025-12-03,9.118,9.143,9.084,9.096,460723335,4198884820,,
2025-12-04,9.107,9.125,9.035,9.064,558462141,5070761141,,
2025-12-05,9.094,9.148,9.084,9.136,415965811,3791528369,,
2025-12-08,9.107,9.119,9.078,9.11,431705623,3929192887,,
2025-12-09,9.075,9.082,9.026,9.046,477281632,4322621349,,
2025-12-10,9.114,9.118,9.081,9.095,341858428,3111335234,,
2025-12-11,9.157,9.165,9.095,9.11,466634993,4260705305,,
2025-12-12,9.201,9.23,9.191,9.227,476618809,4388186109,,
2025-12-15,9.298,9.36,9.297,9.351,567902846,5297510203,,
2025-12-16,9.272,9.296,9.199,9.24,519626708,4805902569,,
2025-12-17,9.283,9.345,9.283,9.31,452083592,4209416976,,
2025-12-18,9.311,9.327,9.302,9.318,317805610,2961343686,,
2025-12-19,9.29,9.321,9.273,9.313,370300316,3443922186,,
2025-12-22,9.38,9.514,9.38,9.511,691875423,6534234042,,
2025-12-23,9.63,9.689,9.608,9.639,902281420,8709327485,,
2025-12-24,9.719,9.722,9.613,9.642,738436899,7136924986,,
2025-12-25,9.571,9.58,9.539,9.566,431157619,4123112968,,
2025-12-26,9.67,9.68,9.618,9.65,489825336,4726243848,,
2025-12-29,9.64,9.667,9.55,9.563,714496669,6877104094,,
2025-12-30,9.272,9.402,9.272,9.363,861555822,8058585692,,
2025-12-31,9.359,9.392,9.196,9.301,887315417,8255346608,,
2026-01-05,9.421,9.499,9.421,9.495,683271028,6465146234,,
2026-01-06,9.536,9.606,9.528,9.577,531345738,5085365304,,
2026-01-07,9.6,9.601,9.511,9.518,616398514,5894333390,,
2026-01-08,9.555,9.559,9.474,9.511,483834991,4604940099,,
2026-01-09,9.544,9.596,9.544,9.592,379190390,3629946415,,
2026-01-12,9.779,9.791,9.736,9.777,493501700,4822414247,,
2026-01-13,9.79,9.825,9.771,9.793,398236725,3901169996,,
2026-01-14,9.871,9.925,9.869,9.922,436952117,4321616075,,
2026-01-15,9.861,9.883,9.82,9.867,554292206,5460435940,,
2026-01-16,9.851,9.874,9.828,9.857,327843149,3228858975,,
2026-01-19,9.962,10.009,9.96,10.006,480621154,4797229646,,
2026-01-20,10.005,10.095,9.983,10.082,533806706,5362959212,,
2026-01-21,10.365,10.501,10.322,10.377,984509622,10230345643,,
2026-01-22,10.29,10.343,10.23,10.341,719685837,7398945407,,
2026-01-23,10.618,10.643,10.585,10.617,729889496,7746553192,,
2026-01-26,10.886,10.955,10.848,10.924,960474483,10463068625,,
2026-01-27,10.883,10.946,10.848,10.934,771107250,8395732861,,
2026-01-28,11.11,11.288,11.109,11.28,1066201004,11961498145,,
2026-01-29,11.918,11.977,11.796,11.904,1497107926,17799095491,,
2026-01-30,11.471,11.533,10.8,11.009,2301609692,25777505557,,
2026-02-02,9.908,10.245,9.908,9.908,1899820420,19145014244,,
2026-02-03,10.355,10.461,10.105,10.422,2100916676,21613177107,,
2026-02-04,10.795,10.904,10.738,10.867,1424298936,15412917353,,
2026-02-05,10.61,10.695,10.3,10.523,1909045495,20057436535,,
2026-02-06,10.079,10.523,10.05,10.357,1841278975,19034272998,,
2026-02-09,10.72,10.75,10.61,10.719,1161222745,12418166669,,
2026-02-10,10.686,10.733,10.661,10.669,702600061,7513073622,,
2026-02-11,10.704,10.765,10.7,10.758,681826714,7317564815,,
2026-02-12,10.72,10.752,10.7,10.72,600479350,6445229523,,
2026-02-13,10.582,10.617,10.508,10.575,769392258,8131354160,,
2026-02-24,10.92,10.998,10.903,10.95,752313723,8241565507,,
2026-02-25,10.953,10.992,10.92,10.959,607477346,6656474798,,
2026-02-26,10.939,10.944,10.896,10.913,437766976,4781387315,,
2026-02-27,10.92,10.95,10.911,10.933,463126387,5063424364,,
2026-03-02,11.368,11.419,11.214,11.417,1130097171,12775642356,,
2026-03-03,11.418,11.418,11.202,11.259,969284941,10968192369,,
2026-03-04,11.0,11.085,10.926,10.98,997981175,10981117960,,
2026-03-05,10.98,11.014,10.889,10.964,653680200,7165201084,,
2026-03-06,10.834,10.937,10.831,10.873,491671193,5356472276,,
2026-03-09,10.858,10.95,10.793,10.868,801213216,8713281061,,
2026-03-10,10.963,10.991,10.943,10.956,437932878,4801155476,,
2026-03-11,11.026,11.028,10.964,10.974,475495727,5230093074,,
2026-03-12,10.928,10.956,10.892,10.938,389237902,4253167289,,
2026-03-13,10.852,10.88,10.791,10.802,388524533,4211610423,,
2026-03-16,10.63,10.7,10.605,10.664,478924660,5100457125,,
2026-03-17,10.632,10.696,10.63,10.637,353528190,3766972817,,
2026-03-18,10.638,10.639,10.57,10.606,354427328,3756857569,,
2026-03-19,10.283,10.345,10.08,10.126,878362147,9006105538,,
2026-03-20,9.9,10.066,9.883,9.896,1191784092,11878418533,,
2026-03-23,9.488,9.5,8.906,8.941,1974765911,18231773873,,
2026-03-24,9.21,9.303,9.105,9.299,1490516464,13716736873,,
2026-03-25,9.7,9.772,9.609,9.641,1178632201,11438092704,,
2026-03-26,9.628,9.637,9.358,9.45,1107621274,10525933922,,
2026-03-27,9.358,9.528,9.358,9.494,748707264,7077216082,,
2026-03-30,9.496,9.696,9.473,9.656,1046745903,10053472875,,
2026-03-31,9.751,9.836,9.697,9.699,981801710,9575690405,,
2026-04-01,9.95,10.028,9.912,10.024,835670818,8316311343,,
2026-04-02,10.0,10.0,9.641,9.738,1302646746,12814253058,,
2026-04-03,9.914,9.914,9.793,9.828,424296200,4176219528,,
2026-04-07,9.845,9.867,9.781,9.837,542784769,5331846502,,
2026-04-08,10.103,10.153,10.057,10.113,994347975,10051847595,,
2026-04-09,9.92,9.95,9.9,9.908,655252744,6501536554,,
2026-04-10,9.995,10.03,9.954,9.972,577695324,5772482719,,
2026-04-13,9.918,9.939,9.9,9.924,428554392,4251246607,,
2026-04-14,9.999,10.012,9.968,10.011,422160466,4218777617,,
2026-04-15,10.127,10.15,10.062,10.064,489769744,4949413437,,
2026-04-16,10.095,10.111,10.07,10.097,376243713,3796363197,,
