date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.068,1.071,1.064,1.07,13906400,14846707,,
2025-08-19,1.069,1.069,1.06,1.062,23627200,25151327,,
2025-08-20,1.057,1.078,1.056,1.078,23401600,24994724,,
2025-08-21,1.072,1.088,1.072,1.085,22970100,24878794,,
2025-08-22,1.08,1.089,1.08,1.088,16710683,18111462,,
2025-08-25,1.087,1.097,1.085,1.097,8650576,9442779,,
2025-08-26,1.1,1.108,1.091,1.103,12400476,13657823,,
2025-08-27,1.096,1.102,1.075,1.077,16154600,17639194,,
2025-08-28,1.075,1.085,1.062,1.082,12607200,13587076,,
2025-08-29,1.082,1.09,1.078,1.082,10870100,11776667,,
2025-09-01,1.081,1.088,1.072,1.083,9570600,10347250,,
2025-09-02,1.089,1.093,1.074,1.086,8947500,9676764,,
2025-09-03,1.086,1.09,1.066,1.07,10281900,11085925,,
2025-09-04,1.07,1.07,1.056,1.064,7568600,8042911,,
2025-09-05,1.062,1.077,1.062,1.076,3960300,4244009,,
2025-09-08,1.077,1.103,1.076,1.103,11671800,12793538,,
2025-09-09,1.101,1.107,1.089,1.095,7075480,7771295,,
2025-09-10,1.115,1.118,1.087,1.094,9919718,10856717,,
2025-09-11,1.088,1.099,1.087,1.099,11381700,12412297,,
2025-09-12,1.1,1.103,1.094,1.097,7465800,8197371,,
2025-09-15,1.101,1.109,1.099,1.108,6993600,7726275,,
2025-09-16,1.109,1.112,1.092,1.103,10776400,11866972,,
2025-09-17,1.105,1.111,1.102,1.108,5654400,6263496,,
2025-09-18,1.109,1.109,1.078,1.085,11246200,12320431,,
2025-09-19,1.085,1.098,1.08,1.093,15300900,16704242,,
2025-09-22,1.093,1.093,1.075,1.082,7306700,7895020,,
2025-09-23,1.081,1.082,1.065,1.077,11198000,11999335,,
2025-09-24,1.08,1.093,1.08,1.09,7662000,8326183,,
2025-09-25,1.09,1.093,1.084,1.091,6424900,7000197,,
2025-09-26,1.087,1.101,1.087,1.097,8288100,9092387,,
2025-09-29,1.098,1.104,1.086,1.102,4359800,4778941,,
2025-09-30,1.092,1.101,1.089,1.101,7276900,7970875,,
2025-10-09,1.102,1.11,1.09,1.11,12042100,13220139,,
2025-10-10,1.112,1.125,1.103,1.121,12595116,14092341,,
2025-10-13,1.118,1.119,1.099,1.118,7170100,7946763,,
2025-10-14,1.118,1.121,1.111,1.116,11960500,13360315,,
2025-10-15,1.115,1.116,1.101,1.114,8525800,9450376,,
2025-10-16,1.114,1.116,1.107,1.112,9313600,10348883,,
2025-10-17,1.112,1.114,1.094,1.095,15211000,16762400,,
2025-10-20,1.095,1.118,1.094,1.117,16453100,18158042,,
2025-10-21,1.122,1.131,1.105,1.129,13877000,15601462,,
2025-10-22,1.127,1.139,1.118,1.135,15868600,17966655,,
2025-10-23,1.142,1.15,1.128,1.144,29374000,33470526,,
2025-10-24,1.146,1.15,1.126,1.128,22534700,25590717,,
2025-10-27,1.13,1.139,1.125,1.135,32356000,36708190,,
2025-10-28,1.135,1.138,1.125,1.127,11799200,13353425,,
2025-10-29,1.125,1.137,1.121,1.135,9725300,10995545,,
2025-10-30,1.137,1.159,1.137,1.148,13454206,15503600,,
2025-10-31,1.141,1.148,1.14,1.143,12213500,13958716,,
2025-11-03,1.136,1.164,1.136,1.163,18121005,20945915,,
2025-11-04,1.161,1.163,1.145,1.15,16000111,18481145,,
2025-11-05,1.138,1.161,1.138,1.157,12908600,14902016,,
2025-11-06,1.156,1.171,1.15,1.168,14490300,16868785,,
2025-11-07,1.167,1.189,1.166,1.187,20256700,23944792,,
2025-11-10,1.189,1.196,1.183,1.193,34783500,41416103,,
2025-11-11,1.185,1.192,1.184,1.186,13812400,16397127,,
2025-11-12,1.191,1.199,1.184,1.192,21798100,26014395,,
2025-11-13,1.186,1.202,1.185,1.201,15540100,18549250,,
2025-11-14,1.204,1.221,1.203,1.211,25521900,31030804,,
2025-11-17,1.212,1.223,1.199,1.215,23258000,28264459,,
2025-11-18,1.215,1.218,1.191,1.196,17078700,20532025,,
2025-11-19,1.193,1.221,1.193,1.218,26925300,32667154,,
2025-11-20,1.21,1.215,1.194,1.199,25923100,31236656,,
2025-11-21,1.185,1.193,1.159,1.162,30576200,35841437,,
2025-11-24,1.159,1.169,1.147,1.152,27655578,31979908,,
2025-11-25,1.151,1.16,1.147,1.156,10879216,12558902,,
2025-11-26,1.148,1.156,1.141,1.144,9814122,11264112,,
2025-11-27,1.142,1.153,1.138,1.146,14443497,16529563,,
2025-11-28,1.148,1.164,1.148,1.162,23022134,26671763,,
2025-12-01,1.164,1.191,1.164,1.189,30969100,36629099,,
2025-12-02,1.184,1.185,1.175,1.177,14721500,17380724,,
2025-12-03,1.179,1.189,1.178,1.185,15572300,18440548,,
2025-12-04,1.182,1.192,1.177,1.182,27533900,32531740,,
2025-12-05,1.179,1.19,1.176,1.189,16991900,20078457,,
2025-12-08,1.188,1.191,1.177,1.183,31745900,37580063,,
2025-12-09,1.182,1.186,1.17,1.172,19300084,22683865,,
2025-12-10,1.169,1.173,1.162,1.172,17479049,20389463,,
2025-12-11,1.176,1.182,1.164,1.166,15923360,18678030,,
2025-12-12,1.166,1.176,1.166,1.172,14083373,16513597,,
2025-12-15,1.17,1.191,1.17,1.181,15059662,17788234,,
2025-12-16,1.18,1.18,1.151,1.158,18514500,21479772,,
2025-12-17,1.157,1.173,1.152,1.171,16822893,19493875,,
2025-12-18,1.167,1.183,1.167,1.177,14995200,17653120,,
2025-12-19,1.175,1.178,1.169,1.174,17294300,20306451,,
2025-12-22,1.175,1.192,1.175,1.19,14162144,16778883,,
2025-12-23,1.191,1.196,1.185,1.192,19327380,23010085,,
2025-12-24,1.191,1.198,1.183,1.197,19191259,22832480,,
2025-12-25,1.195,1.205,1.195,1.198,15648800,18776988,,
2025-12-26,1.203,1.22,1.2,1.215,26208700,31790190,,
2025-12-29,1.214,1.236,1.21,1.228,40694357,49977140,,
2025-12-30,1.224,1.245,1.221,1.239,27418700,33799238,,
2025-12-31,1.24,1.241,1.226,1.232,18819200,23182913,,
2026-01-05,1.25,1.26,1.219,1.227,52894416,64969389,,
2026-01-06,1.223,1.26,1.223,1.258,38391100,47752238,,
2026-01-07,1.248,1.25,1.235,1.242,27725000,34483580,,
2026-01-08,1.242,1.258,1.242,1.253,26271400,32852192,,
2026-01-09,1.293,1.375,1.261,1.285,44627500,56801273,,
2026-01-12,1.285,1.287,1.262,1.282,30861800,39223052,,
2026-01-13,1.281,1.305,1.278,1.293,39433300,51009665,,
2026-01-14,1.3,1.338,1.3,1.319,76177800,100699596,,
2026-01-15,1.314,1.325,1.305,1.309,103360200,135870638,,
2026-01-16,1.3,1.309,1.279,1.287,109301800,141412584,,
2026-01-19,1.283,1.322,1.278,1.321,50732700,66245465,,
2026-01-20,1.321,1.327,1.301,1.326,35436700,46705024,,
2026-01-21,1.326,1.344,1.314,1.342,28906800,38498741,,
2026-01-22,1.356,1.39,1.348,1.376,64592400,88928173,,
2026-01-23,1.373,1.384,1.364,1.372,50758000,69688523,,
2026-01-26,1.382,1.422,1.38,1.42,145404900,204942836,,
2026-01-27,1.427,1.434,1.394,1.403,216832500,305871468,,
2026-01-28,1.426,1.47,1.411,1.465,384841200,556875823,,
2026-01-29,1.555,1.555,1.445,1.483,737604500,1088898996,,
2026-01-30,1.482,1.511,1.431,1.456,410564400,603635377,,
2026-02-02,1.425,1.436,1.363,1.371,358155000,500859546,,
2026-02-03,1.375,1.414,1.375,1.411,281779000,393158515,,
2026-02-04,1.431,1.45,1.419,1.442,164402200,235370854,,
2026-02-05,1.442,1.45,1.396,1.411,126030800,179183507,,
2026-02-06,1.372,1.439,1.372,1.43,121025700,171944553,,
2026-02-09,1.442,1.452,1.432,1.452,149946339,216867524,,
2026-02-10,1.453,1.458,1.435,1.455,122837590,177681621,,
2026-02-11,1.454,1.478,1.446,1.471,220851524,324370351,,
2026-02-12,1.48,1.509,1.478,1.502,159461950,238605893,,
2026-02-13,1.461,1.474,1.435,1.442,175235200,254060899,,
2026-02-24,1.5,1.543,1.48,1.537,339710900,519221064,,
2026-02-25,1.537,1.58,1.533,1.559,338185100,527263671,,
2026-02-26,1.55,1.569,1.544,1.558,176201500,274283363,,
2026-02-27,1.551,1.588,1.55,1.586,160582100,252907654,,
2026-03-02,1.745,1.745,1.635,1.745,2125228980,3604747024,,
2026-03-03,1.807,1.92,1.763,1.884,4570175180,8443109063,,
2026-03-04,1.886,1.888,1.696,1.744,2783406100,4867547985,,
2026-03-05,1.725,1.776,1.65,1.721,1979454351,3396713864,,
2026-03-06,1.704,1.735,1.689,1.716,1281255300,2190373818,,
2026-03-09,1.83,1.852,1.705,1.706,1707359000,2997064017,,
2026-03-10,1.601,1.665,1.601,1.635,1253914233,2051622487,,
2026-03-11,1.625,1.655,1.607,1.651,751409732,1223891981,,
2026-03-12,1.671,1.676,1.633,1.659,534419232,886372227,,
2026-03-13,1.66,1.666,1.622,1.626,383235972,628885957,,
2026-03-16,1.626,1.65,1.61,1.627,409548056,666220085,,
2026-03-17,1.608,1.629,1.595,1.601,300460600,483765201,,
2026-03-18,1.589,1.607,1.565,1.598,336536468,533428268,,
2026-03-19,1.639,1.639,1.58,1.6,308456899,493467339,,
2026-03-20,1.571,1.591,1.553,1.554,302948800,475160042,,
2026-03-23,1.554,1.571,1.538,1.549,264621375,411472939,,
2026-03-24,1.538,1.573,1.532,1.572,253162031,393121667,,
2026-03-25,1.555,1.575,1.546,1.558,174388506,271969756,,
2026-03-26,1.557,1.561,1.54,1.548,141172100,218891326,,
2026-03-27,1.54,1.568,1.536,1.565,106216566,164952333,,
2026-03-30,1.573,1.578,1.536,1.556,112810600,175637385,,
2026-03-31,1.561,1.568,1.52,1.522,142099578,218868566,,
2026-04-01,1.517,1.566,1.517,1.544,224121357,347949926,,
2026-04-02,1.553,1.606,1.553,1.592,237593321,378260188,,
2026-04-03,1.596,1.607,1.576,1.585,80712905,128360190,,
2026-04-07,1.584,1.618,1.567,1.616,112857388,180865107,,
2026-04-08,1.555,1.605,1.55,1.592,275739143,437509946,,
2026-04-09,1.596,1.611,1.575,1.599,88788369,141475104,,
2026-04-10,1.59,1.604,1.582,1.593,106220641,169358467,,
2026-04-13,1.61,1.611,1.558,1.578,183175802,288790472,,
2026-04-14,1.562,1.57,1.552,1.566,98175988,153182965,,
2026-04-15,1.556,1.559,1.541,1.545,107919480,167007340,,
2026-04-16,1.539,1.552,1.535,1.55,132014585,203783049,,
2026-04-17,1.55,1.56,1.538,1.547,74195075,114705484,,
2026-04-20,1.547,1.551,1.537,1.55,105423395,163079797,,
2026-04-21,1.545,1.563,1.541,1.556,109729834,170137044,,
2026-04-22,1.551,1.554,1.53,1.546,87313171,134514112,,
2026-04-23,1.545,1.57,1.544,1.569,138348462,215703330,,
2026-04-24,1.561,1.565,1.538,1.557,83789007,130216388,,
2026-04-27,1.552,1.559,1.547,1.554,47260971,73390092,,
2026-04-28,1.549,1.56,1.539,1.557,113108842,175604434,,
2026-04-29,1.557,1.592,1.557,1.588,191058393,301526787,,
2026-04-30,1.588,1.612,1.574,1.6,148189170,235899087,,
2026-05-06,1.59,1.608,1.577,1.607,165088223,263082664,,
2026-05-07,1.589,1.593,1.56,1.566,126535164,199016334,,
2026-05-08,1.56,1.577,1.554,1.572,99971475,156472245,,
2026-05-11,1.571,1.571,1.547,1.559,119171308,185580991,,
2026-05-12,1.553,1.561,1.542,1.545,35623909,55185823,,
2026-05-13,1.544,1.565,1.544,1.554,35991685,55978196,,
2026-05-14,1.545,1.56,1.54,1.544,91847600,142311923,,
2026-05-15,1.544,1.55,1.524,1.531,33108400,50841374,,
2026-05-18,1.532,1.533,1.511,1.528,43338500,66098875,,
2026-05-19,1.527,1.533,1.51,1.527,37212730,56597448,,
2026-05-20,1.522,1.537,1.518,1.533,38809828,59361112,,
2026-05-21,1.52,1.539,1.49,1.494,78015900,118274156,,
2026-05-22,1.495,1.503,1.482,1.492,44096600,65645169,,
2026-05-25,1.485,1.503,1.466,1.471,82583901,121983475,,
2026-05-26,1.464,1.47,1.439,1.462,58376309,84983030,,
2026-05-27,1.459,1.466,1.424,1.436,65767767,94667222,,
2026-05-28,1.43,1.458,1.43,1.449,46282072,66967879,,
2026-05-29,1.442,1.445,1.426,1.433,30022558,43047726,,
2026-06-01,1.426,1.47,1.426,1.451,79502221,115713254,,
2026-06-02,1.453,1.46,1.432,1.444,39983719,57719749,,
2026-06-03,1.443,1.446,1.425,1.445,41499200,59511540,,
2026-06-04,1.441,1.454,1.43,1.442,88536800,127882097,,
2026-06-05,1.432,1.454,1.426,1.429,45267616,65207889,,
2026-06-08,1.397,1.43,1.397,1.412,52230746,73927082,,
2026-06-09,1.399,1.411,1.38,1.391,52392792,72841640,,
2026-06-10,1.387,1.388,1.36,1.376,53596305,73486957,,
2026-06-11,1.381,1.385,1.367,1.379,39321040,54111023,,
2026-06-12,1.358,1.424,1.358,1.409,45249521,63564722,,
2026-06-15,1.429,1.443,1.423,1.442,96728101,138912556,,
2026-06-16,1.441,1.441,1.401,1.406,46465629,65816213,,
2026-06-17,1.393,1.423,1.393,1.414,59837029,84565267,,
2026-06-18,1.41,1.424,1.395,1.4,78709961,110460187,,
2026-06-22,1.4,1.446,1.397,1.444,68567934,97615848,,
2026-06-23,1.442,1.466,1.424,1.429,39504553,57204228,,
