date,open,high,low,close,volume
2025-08-18,259.5504,260.0404,258.8824,259.8304,119936.0
2025-08-19,259.7404,259.7404,255.5754,256.0504,159257.0
2025-08-20,255.7804,255.7804,251.3044,254.6504,305547.0
2025-08-21,253.9904,254.9904,252.6504,253.4804,181895.0
2025-08-22,253.7504,258.1404,253.3404,257.3504,223927.0
2025-08-25,256.8804,258.3454,256.5004,256.8804,128907.0
2025-08-26,256.8904,258.4704,256.5504,258.4304,146332.0
2025-08-27,258.3804,259.211,257.5804,258.8604,148271.0
2025-08-28,259.0104,260.7604,258.4304,260.4004,149109.0
2025-08-29,259.5404,259.5404,256.5004,257.4104,133840.0
2025-09-02,253.0904,255.2204,252.2904,255.0604,183246.0
2025-09-03,257.0504,258.4304,256.2404,257.7804,139265.0
2025-09-04,258.2404,260.1304,257.5804,260.0604,139204.0
2025-09-05,262.3004,262.4104,257.7504,259.7404,178734.0
2025-09-08,261.1204,262.2726,261.0304,261.2704,161719.0
2025-09-09,261.7804,262.2804,260.6238,262.1804,115935.0
2025-09-10,265.3604,265.6604,263.4904,264.2204,162899.0
2025-09-11,265.6004,265.9404,264.4004,265.3804,215369.0
2025-09-12,265.8904,267.0204,265.3004,266.5104,122926.0
2025-09-15,267.7304,269.1754,267.7304,269.1204,162228.0
2025-09-16,269.7204,269.8004,268.7104,268.9304,219809.0
2025-09-17,268.6904,268.8209,265.4804,267.9004,245565.0
2025-09-18,269.6704,270.7104,268.6404,269.3104,186454.0
2025-09-19,270.7004,272.4004,270.2604,272.0404,319500.0
2025-09-22,271.8604,274.9804,271.7204,274.8804,170957.0
2025-09-23,274.5704,274.5704,271.2104,271.8404,1603974.0
2025-09-24,272.6104,272.6104,269.2404,270.7004,370672.0
2025-09-25,268.6104,270.0304,267.2604,269.2304,147013.0
2025-09-26,269.8804,270.3804,268.1904,270.2004,140418.0
2025-09-29,271.3604,272.6404,270.5704,271.1904,332816.0
2025-09-30,271.2204,273.0104,270.2504,272.9104,240848.0
2025-10-01,271.3904,275.0914,271.3904,274.5604,303175.0
2025-10-02,276.0704,276.0704,273.8604,274.8004,191592.0
2025-10-03,274.9004,275.4554,272.8704,273.7204,407106.0
2025-10-06,274.7904,275.9204,274.1304,275.3204,639530.0
2025-10-07,275.8004,276.1104,273.1804,273.9704,729574.0
2025-10-08,274.6504,276.8204,274.6304,276.8204,523343.0
2025-10-09,277.1304,277.1304,275.5004,276.5804,251837.0
2025-10-10,277.0304,277.8304,267.5504,267.6904,479029.0
2025-10-13,272.3004,273.6104,271.2604,273.0404,216788.0
2025-10-14,270.0704,272.4204,267.2604,270.4704,280366.0
2025-10-15,273.3104,274.1004,269.2604,271.7604,241712.0
2025-10-16,272.8404,273.9404,268.7904,270.7204,332646.0
