date,open,high,low,close,volume
2025-08-18,97.61,98.01,97.5,97.66,466232.0
2025-08-19,97.79,98.54,97.52,97.75,586338.0
2025-08-20,97.66,97.91,96.85,97.35,644317.0
2025-08-21,97.0,97.26,96.74,96.85,378403.0
2025-08-22,97.33,99.48,97.15,99.18,531845.0
2025-08-25,98.94,99.103,98.39,98.4,457365.0
2025-08-26,98.31,98.77,98.23,98.37,488968.0
2025-08-27,98.25,98.915,98.23,98.79,424978.0
2025-08-28,98.95,98.99,98.28,98.58,627615.0
2025-08-29,98.6,98.96,98.13,98.49,498071.0
2025-09-02,97.16,97.52,96.62,97.46,464431.0
2025-09-03,97.69,97.92,96.94,97.51,527863.0
2025-09-04,97.37,97.82,96.67,97.79,819965.0
2025-09-05,98.19,99.13,97.99,98.53,1076522.0
2025-09-08,98.8,98.8,97.84,98.76,676340.0
2025-09-09,98.71,98.8796,98.0723,98.33,486403.0
2025-09-10,98.52,98.52,97.4,97.61,600314.0
2025-09-11,97.9,98.96,97.83,98.81,732048.0
2025-09-12,98.71,98.71,97.2655,97.34,559786.0
2025-09-15,97.75,97.96,97.299,97.51,648092.0
2025-09-16,97.71,98.12,97.45,97.81,705360.0
2025-09-17,98.0,99.31,97.42,98.08,1152097.0
2025-09-18,98.88,99.35,98.6,99.08,812269.0
2025-09-19,99.44,99.44,98.51,99.14,651007.0
2025-09-22,98.86,99.3,98.67,99.11,983229.0
2025-09-23,99.36,99.85,98.74,98.91,873957.0
2025-09-24,98.88,98.89,98.315,98.5,598466.0
2025-09-25,98.11,98.11,96.82,97.12,824607.0
2025-09-26,97.51,98.4,97.43,98.32,542857.0
2025-09-29,98.75,98.825,98.21,98.46,591858.0
2025-09-30,98.35,99.21,98.2,99.11,684774.0
2025-10-01,99.05,100.59,99.05,100.47,908562.0
2025-10-02,100.43,100.9499,100.24,100.59,739071.0
2025-10-03,100.71,101.82,100.71,101.11,691707.0
2025-10-06,101.39,101.515,100.68,100.97,729985.0
2025-10-07,101.25,101.36,100.0,100.08,719455.0
2025-10-08,100.32,101.03,99.94,100.88,600412.0
2025-10-09,100.82,100.97,100.13,100.42,793602.0
2025-10-10,100.57,100.88,98.0,98.0,1601178.0
2025-10-13,98.99,99.56,98.79,99.25,993447.0
2025-10-14,98.425,100.32,98.34,99.73,1006620.0
2025-10-15,100.32,100.8526,99.24,100.01,745634.0
2025-10-16,100.69,100.9,99.32,99.71,1361618.0
2025-10-17,99.6,100.5,99.55,100.38,987494.0
2025-10-20,100.86,101.83,100.84,101.55,846937.0
2025-10-21,101.81,102.76,101.67,102.39,1075619.0
2025-10-22,102.24,102.53,101.53,101.59,997714.0
2025-10-23,102.06,102.64,101.905,102.54,733619.0
2025-10-24,103.27,103.29,102.7,102.71,685418.0
2025-10-27,103.33,103.41,102.505,102.84,741387.0
2025-10-28,102.97,102.97,101.915,101.94,925928.0
2025-10-29,102.16,102.295,100.955,101.26,1369258.0
2025-10-30,101.03,102.14,100.995,101.07,967783.0
2025-10-31,101.04,102.01,100.5,101.73,888249.0
2025-11-03,102.14,102.14,100.64,101.24,893656.0
2025-11-04,100.54,101.13,100.35,100.45,849044.0
2025-11-05,100.14,101.235,99.9,100.88,1317902.0
2025-11-06,100.59,100.9,99.61,99.82,895172.0
2025-11-07,99.59,100.03,99.015,100.015,1349228.0
2025-11-10,100.63,100.79,99.62,100.59,922792.0
2025-11-11,100.65,101.88,100.635,101.61,654111.0
2025-11-12,101.84,102.49,101.81,101.92,656503.0
2025-11-13,101.61,102.15,100.67,100.82,765067.0
2025-11-14,99.9,101.015,99.78,100.32,908392.0
2025-11-17,100.13,100.6,98.98,99.23,892105.0
2025-11-18,98.86,99.61,98.56,99.11,874436.0
2025-11-19,99.12,99.4886,98.57,98.98,896715.0
2025-11-20,99.75,100.205,97.825,97.88,1520964.0
2025-11-21,98.25,100.78,98.25,100.23,1195828.0
2025-11-24,100.56,101.2255,100.21,100.8,811545.0
2025-11-25,100.98,102.87,100.98,102.69,637943.0
2025-11-26,102.42,103.22,102.285,102.885,751856.0
2025-11-28,102.93,103.34,102.9,103.24,338286.0
2025-12-01,102.53,103.39,102.53,102.65,579317.0
2025-12-02,103.08,103.79,102.73,103.39,640344.0
