date,open,high,low,close,volume
2025-08-18,635.335,636.475,634.655,635.775,43804808.0
2025-08-19,635.595,636.58,630.955,632.285,69750731.0
2025-08-20,631.875,632.135,625.425,630.585,88890263.0
2025-08-21,628.755,630.445,626.285,628.025,54805775.0
2025-08-22,630.235,638.975,629.725,637.785,84083213.0
2025-08-25,636.515,637.765,634.825,634.945,51274304.0
2025-08-26,634.675,637.985,634.045,637.635,51581565.0
2025-08-27,637.045,639.845,636.895,639.105,48341045.0
2025-08-28,639.715,641.955,637.815,641.395,61519361.0
2025-08-29,639.945,640.315,635.615,637.525,74522155.0
2025-09-02,629.975,632.965,627.395,632.745,81983436.0
2025-09-03,635.145,636.685,632.935,636.215,70820814.0
2025-09-04,636.895,641.625,635.985,641.595,65219226.0
2025-09-05,643.955,644.685,635.805,639.715,85178915.0
2025-09-08,641.095,642.315,639.705,641.305,63133104.0
2025-09-09,641.445,643.335,639.695,642.805,66133818.0
2025-09-10,646.095,647.025,643.105,644.685,78034529.0
2025-09-11,646.655,650.805,646.065,650.105,69934259.0
2025-09-12,650.075,651.585,649.375,649.885,72779900.0
2025-09-15,652.115,653.515,651.815,653.385,63772412.0
2025-09-16,653.945,654.255,651.685,652.475,61168946.0
2025-09-17,652.485,654.195,646.775,651.655,101952241.0
2025-09-18,654.365,657.365,652.745,654.735,90459242.0
2025-09-19,656.6361,658.8561,654.6761,658.0061,97945616.0
2025-09-22,656.5061,661.5961,656.4761,661.1461,69452200.0
2025-09-23,661.0261,661.6461,656.2861,657.5161,81708871.0
2025-09-24,658.8161,658.9161,653.9761,655.4061,68082219.0
2025-09-25,652.2461,653.7117,648.7111,652.3561,89622067.0
2025-09-26,653.8161,656.6761,652.1861,656.1261,69179199.0
2025-09-29,658.6661,659.5861,656.1661,657.9861,73499015.0
2025-09-30,657.2361,660.9561,655.9161,660.4861,86288028.0
2025-10-01,657.4761,663.6761,657.3661,662.7561,72545367.0
2025-10-02,664.7561,664.8711,661.0861,663.5261,56895818.0
2025-10-03,664.2961,666.9811,662.4661,663.5161,70493961.0
2025-10-06,665.9261,666.8161,663.7611,665.9161,54623179.0
2025-10-07,666.8461,667.2961,661.9761,663.4261,72020067.0
2025-10-08,664.5561,667.5117,663.7261,667.4161,60702241.0
2025-10-09,667.8361,668.2461,663.5161,665.4661,66501790.0
2025-10-10,666.4361,668.2561,647.1461,647.3261,159422558.0
