date,open,high,low,close,volume
2025-08-18,17.76,17.84,17.72,17.84,453016.0
2025-08-19,17.84,17.97,17.84,17.9,667982.0
2025-08-20,17.84,17.857,17.64,17.69,628510.0
2025-08-21,17.69,17.71,17.57,17.6,379102.0
2025-08-22,17.2,17.4,17.12,17.36,896645.0
2025-08-25,17.12,17.2665,17.07,17.22,731482.0
2025-08-26,17.86,18.09,17.86,17.96,967350.0
2025-08-27,17.99,18.0299,17.91,18.02,250659.0
2025-08-28,18.16,18.3258,18.14,18.315,539537.0
2025-08-29,18.34,18.35,18.2,18.29,498886.0
2025-09-02,18.17,18.2447,18.04,18.14,658248.0
2025-09-03,18.22,18.27,18.17,18.25,344699.0
2025-09-04,18.31,18.48,18.31,18.43,958007.0
2025-09-05,18.12,18.1599,17.96,17.97,851380.0
2025-09-08,17.53,17.56,17.34,17.37,1274040.0
2025-09-09,17.6,17.75,17.6,17.67,636667.0
2025-09-10,17.78,17.855,17.71,17.75,253322.0
2025-09-11,17.86,18.03,17.86,18.03,569292.0
2025-09-12,18.1,18.13,17.94,17.97,922133.0
2025-09-15,18.3,18.46,18.235,18.4,1390977.0
2025-09-16,18.19,18.24,18.06,18.06,637824.0
2025-09-17,18.0,18.05,17.835,17.88,662099.0
2025-09-18,17.89,17.92,17.8,17.8,670854.0
2025-09-19,17.81,17.82,17.66,17.68,686072.0
2025-09-22,17.43,17.61,17.2242,17.53,1095511.0
2025-09-23,17.49,17.52,17.29,17.29,973127.0
2025-09-24,17.58,17.64,17.55,17.58,441906.0
2025-09-25,17.69,17.785,17.64,17.67,668786.0
2025-09-26,17.65,17.6965,17.55,17.55,526859.0
2025-09-29,17.68,17.7919,17.67,17.69,621797.0
2025-09-30,17.78,17.84,17.6915,17.84,388202.0
2025-10-01,17.84,18.05,17.83,18.04,1215372.0
2025-10-02,17.73,17.74,17.5,17.515,899965.0
2025-10-03,17.48,17.55,17.45,17.53,505069.0
2025-10-06,18.2,18.445,18.2,18.435,1109822.0
2025-10-07,18.27,18.33,18.2,18.23,778113.0
2025-10-08,18.5,18.51,18.39,18.43,1267703.0
2025-10-09,18.66,18.76,18.58,18.75,860027.0
2025-10-10,19.07,19.2799,18.9,18.98,1760188.0
2025-10-13,19.32,19.61,19.32,19.59,1498132.0
2025-10-14,19.57,19.77,19.49,19.69,1351731.0
2025-10-15,19.59,19.59,19.35,19.42,846481.0
2025-10-16,19.53,19.68,19.53,19.64,921384.0
2025-10-17,19.32,19.36,19.15,19.2,1785949.0
2025-10-20,18.03,18.21,17.91,18.2,2491830.0
2025-10-21,18.2,18.2486,18.03,18.045,2259888.0
2025-10-22,18.25,18.3,18.1007,18.17,1287816.0
2025-10-23,18.23,18.305,18.2,18.29,629423.0
2025-10-24,18.27,18.27,18.2,18.21,460021.0
2025-10-27,17.94,17.94,17.665,17.74,1302365.0
2025-10-28,18.11,18.18,18.045,18.18,453510.0
2025-10-29,18.14,18.19,18.08,18.15,503807.0
2025-10-30,17.92,17.92,17.71,17.71,517753.0
2025-10-31,17.56,17.56,17.4,17.43,858004.0
2025-11-03,17.14,17.175,17.0001,17.09,1107361.0
2025-11-04,17.57,17.6325,17.47,17.53,790629.0
2025-11-05,17.59,17.63,17.52,17.57,524446.0
2025-11-06,17.45,17.52,17.315,17.32,607683.0
2025-11-07,16.94,16.9538,16.78,16.88,831533.0
2025-11-10,16.7,16.72,16.59,16.71,991638.0
2025-11-11,16.9,16.965,16.7,16.93,885067.0
2025-11-12,17.33,17.555,17.303,17.53,1222556.0
2025-11-13,17.5,17.52,17.3101,17.42,560565.0
2025-11-14,17.43,17.595,17.39,17.59,900204.0
2025-11-17,17.71,17.81,17.615,17.66,928034.0
2025-11-18,17.77,17.78,17.64,17.73,658734.0
2025-11-19,17.64,17.68,17.543,17.61,460003.0
2025-11-20,17.7,17.77,17.425,17.45,764965.0
2025-11-21,17.61,17.76,17.53,17.72,895417.0
2025-11-24,17.89,17.91,17.795,17.91,506349.0
2025-11-25,17.77,17.85,17.71,17.75,912525.0
2025-11-26,18.02,18.24,18.02,18.24,922233.0
2025-11-28,18.2,18.34,18.06,18.34,522695.0
2025-12-01,18.35,18.4499,18.32,18.38,685612.0
2025-12-02,18.55,18.65,18.52,18.65,1221233.0
2025-12-03,18.63,18.72,18.56,18.69,653659.0
2025-12-04,18.69,18.7,18.5,18.59,844204.0
2025-12-05,18.63,18.685,18.555,18.65,603971.0
2025-12-08,18.74,18.78,18.67,18.72,764933.0
2025-12-09,18.71,18.74,18.57,18.65,716115.0
2025-12-10,18.34,18.39,18.205,18.28,918870.0
2025-12-11,18.17,18.3,18.12,18.27,725858.0
2025-12-12,17.515,17.61,17.4404,17.49,874108.0
2025-12-15,17.6,17.62,17.42,17.42,724752.0
2025-12-16,17.83,17.95,17.72,17.85,945225.0
2025-12-17,17.79,17.79,17.54,17.54,357311.0
2025-12-18,17.74,17.9157,17.74,17.88,495710.0
2025-12-19,18.16,18.39,18.14,18.39,686116.0
2025-12-22,18.75,18.75,18.6,18.61,962392.0
2025-12-23,18.77,19.09,18.745,19.08,1264347.0
2025-12-24,19.11,19.162,18.935,19.01,576975.0
2025-12-26,18.57,18.57,18.4,18.4,853053.0
2025-12-29,18.64,18.92,18.63,18.92,587722.0
2025-12-30,18.96,19.02,18.93,19.01,616059.0
2025-12-31,19.07,19.115,18.98,19.08,600672.0
2026-01-02,19.1,19.15,18.98,19.11,936319.0
2026-01-05,19.02,19.125,18.9509,19.02,662774.0
2026-01-06,19.21,19.46,19.21,19.43,1584376.0
2026-01-07,19.61,19.645,19.395,19.44,1125351.0
2026-01-08,19.36,19.4748,19.31,19.31,456396.0
2026-01-09,19.22,19.37,19.11,19.28,974950.0
2026-01-12,19.4,19.6798,19.4,19.67,757446.0
2026-01-13,19.8,19.85,19.755,19.8,670405.0
2026-01-14,19.74,19.76,19.65,19.69,775107.0
2026-01-15,19.51,19.56,19.41,19.53,634056.0
2026-01-16,19.62,19.77,19.62,19.73,1222840.0
2026-01-20,19.6,19.67,19.34,19.51,840225.0
2026-01-21,19.41,19.42,19.32,19.39,859453.0
2026-01-22,19.465,19.65,19.465,19.625,785868.0
2026-01-23,19.51,19.54,19.34,19.42,604768.0
2026-01-26,18.99,19.15,18.88,18.91,1407023.0
2026-01-27,18.78,18.84,18.63,18.76,1167083.0
2026-01-28,18.57,18.63,18.46,18.5,1026375.0
2026-01-29,18.805,18.85,18.6,18.81,912063.0
2026-01-30,18.94,19.1,18.89,19.07,783118.0
2026-02-02,18.75,18.84,18.71,18.77,803220.0
2026-02-03,18.82,18.9,18.45,18.45,1492370.0
2026-02-04,18.65,18.76,18.51,18.61,970502.0
2026-02-05,18.38,18.5095,18.09,18.12,1684794.0
2026-02-06,18.12,18.136,18.02,18.03,897133.0
2026-02-09,18.1,18.1,17.87,18.045,1203630.0
2026-02-10,18.16,18.2093,18.055,18.08,558131.0
2026-02-11,18.6,18.72,18.51,18.71,897882.0
2026-02-12,18.79,18.8,18.48,18.51,1077042.0
2026-02-13,18.85,18.93,18.695,18.89,778467.0
2026-02-17,18.86,18.885,18.62,18.73,617698.0
2026-02-18,18.92,18.94,18.73,18.77,588262.0
2026-02-19,18.85,18.91,18.74,18.76,352937.0
2026-02-20,18.87,19.29,18.805,19.285,1229826.0
2026-02-23,19.34,19.41,19.133,19.23,1389732.0
2026-02-24,19.31,19.31,19.16,19.25,407078.0
2026-02-25,19.2,19.23,19.02,19.085,589057.0
2026-02-26,19.19,19.295,19.075,19.16,555715.0
2026-02-27,19.11,19.14,18.985,19.08,634861.0
2026-03-02,18.655,18.72,18.6,18.63,1320582.0
2026-03-03,18.25,18.25,17.9,18.12,1267203.0
2026-03-04,18.15,18.385,18.15,18.3,1004071.0
2026-03-05,18.16,18.24,17.9,18.02,1179458.0
2026-03-06,17.69,17.74,17.405,17.45,1703955.0
2026-03-09,16.65,17.26,16.6,17.23,2141662.0
2026-03-10,17.1,17.23,16.97,17.06,1323778.0
2026-03-11,17.55,17.735,17.285,17.41,1765601.0
2026-03-12,17.2,17.2418,16.71,16.75,1563652.0
2026-03-13,16.93,17.27,16.61,16.71,1418930.0
2026-03-16,17.05,17.33,17.05,17.3,908131.0
2026-03-17,17.4,17.54,17.31,17.32,977005.0
2026-03-18,17.29,17.29,17.015,17.03,256949.0
2026-03-19,17.08,17.09,16.84,16.98,919514.0
2026-03-20,16.7,16.725,16.33,16.43,1074319.0
2026-03-23,16.42,16.68,16.33,16.42,1375963.0
2026-03-24,16.35,16.56,16.31,16.46,950569.0
2026-03-25,16.9,16.97,16.75,16.8,1145442.0
2026-03-26,16.59,16.7196,16.47,16.48,799149.0
2026-03-27,16.7,16.86,16.645,16.72,807911.0
2026-03-30,16.9,17.04,16.845,16.85,612376.0
2026-03-31,17.01,17.355,17.01,17.31,1183845.0
2026-04-01,17.51,17.615,17.41,17.41,934390.0
2026-04-02,17.345,17.7,17.305,17.47,1552439.0
2026-04-06,17.25,17.345,17.055,17.15,443635.0
2026-04-07,17.23,17.31,17.125,17.31,661168.0
2026-04-08,18.1,18.425,18.1,18.42,1394106.0
2026-04-09,18.25,18.385,18.0801,18.35,525379.0
2026-04-10,18.35,18.35,18.17,18.2,787009.0
2026-04-13,18.15,18.3,18.125,18.3,820943.0
2026-04-14,18.37,18.47,18.325,18.43,485981.0
2026-04-15,18.5,18.675,18.458,18.66,830543.0
2026-04-16,18.675,18.75,18.635,18.72,1487177.0
2026-04-17,18.81,19.14,18.75,19.04,969948.0
2026-04-20,18.9,19.15,18.87,19.07,1028091.0
2026-04-21,19.0,19.015,18.85,18.86,825717.0
2026-04-22,19.115,19.42,19.03,19.4,752675.0
2026-04-23,19.08,19.285,19.02,19.15,861942.0
2026-04-24,19.01,19.045,18.905,18.91,509321.0
