date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.693,0.702,0.692,0.7,454401361,317349935,,
2025-08-19,0.7,0.702,0.696,0.7,316740758,221593459,,
2025-08-20,0.698,0.709,0.695,0.707,340220660,239240528,,
2025-08-21,0.708,0.715,0.705,0.708,460865900,327210778,,
2025-08-22,0.708,0.71,0.703,0.71,414109000,292572001,,
2025-08-25,0.713,0.722,0.71,0.722,551165100,395084138,,
2025-08-26,0.722,0.733,0.716,0.725,570427399,413326087,,
2025-08-27,0.724,0.725,0.709,0.709,534784500,384627453,,
2025-08-28,0.709,0.722,0.702,0.717,432295000,308419074,,
2025-08-29,0.716,0.727,0.715,0.72,631346707,455399985,,
2025-09-01,0.72,0.726,0.714,0.721,560159504,403801313,,
2025-09-02,0.721,0.722,0.713,0.717,427529500,306618381,,
2025-09-03,0.719,0.721,0.707,0.71,386535931,275523490,,
2025-09-04,0.709,0.72,0.706,0.72,585207776,418563562,,
2025-09-05,0.721,0.729,0.708,0.728,746593667,537740672,,
2025-09-08,0.728,0.739,0.726,0.735,562424071,413039922,,
2025-09-09,0.731,0.735,0.726,0.731,396266868,289188653,,
2025-09-10,0.73,0.735,0.729,0.734,347078807,253997449,,
2025-09-11,0.733,0.734,0.721,0.733,586436968,426412055,,
2025-09-12,0.734,0.741,0.73,0.732,488547071,359061146,,
2025-09-15,0.73,0.735,0.726,0.732,523470233,381956354,,
2025-09-16,0.735,0.745,0.732,0.744,680969998,502955892,,
2025-09-17,0.749,0.749,0.735,0.744,796692925,591038367,,
2025-09-18,0.744,0.752,0.738,0.744,707871202,527090053,,
2025-09-19,0.743,0.761,0.733,0.76,957784296,718025759,,
2025-09-22,0.759,0.759,0.743,0.748,566317292,423521749,,
2025-09-23,0.741,0.742,0.713,0.721,763687000,551875764,,
2025-09-24,0.717,0.722,0.711,0.722,500103614,358463363,,
2025-09-25,0.721,0.721,0.711,0.719,489292278,350198456,,
2025-09-26,0.715,0.721,0.708,0.713,345504410,246696100,,
2025-09-29,0.712,0.718,0.704,0.717,392179105,279203753,,
2025-09-30,0.717,0.719,0.713,0.719,351746850,251982569,,
2025-10-09,0.717,0.717,0.696,0.704,571942646,401159580,,
2025-10-10,0.701,0.709,0.7,0.704,371790608,262173563,,
2025-10-13,0.692,0.697,0.686,0.696,286197214,198117095,,
2025-10-14,0.695,0.703,0.695,0.699,246603800,172550175,,
2025-10-15,0.699,0.712,0.698,0.711,313866900,221847709,,
2025-10-16,0.71,0.718,0.708,0.71,392921136,279775287,,
2025-10-17,0.709,0.717,0.708,0.708,370622711,263781001,,
2025-10-20,0.711,0.727,0.71,0.726,407010796,293685210,,
2025-10-21,0.726,0.729,0.719,0.727,301975689,219021623,,
2025-10-22,0.725,0.728,0.721,0.724,177799078,128817304,,
2025-10-23,0.723,0.731,0.72,0.731,219573668,159399102,,
2025-10-24,0.73,0.73,0.718,0.721,166744730,120408805,,
2025-10-27,0.721,0.725,0.718,0.721,186377650,134514533,,
2025-10-28,0.721,0.728,0.72,0.721,135579001,98063703,,
2025-10-29,0.719,0.728,0.717,0.726,154908300,112083210,,
2025-10-30,0.726,0.737,0.724,0.727,291452182,213045003,,
2025-10-31,0.73,0.739,0.725,0.734,266550933,195466262,,
2025-11-03,0.735,0.748,0.733,0.747,296319931,219653182,,
2025-11-04,0.746,0.753,0.742,0.748,267320939,199797901,,
2025-11-05,0.747,0.762,0.743,0.756,372573228,282034818,,
2025-11-06,0.752,0.754,0.741,0.745,254158890,189379174,,
2025-11-07,0.746,0.757,0.746,0.751,211331861,159098645,,
2025-11-10,0.751,0.799,0.751,0.796,657088090,515627093,,
2025-11-11,0.791,0.806,0.788,0.803,677378687,540535627,,
2025-11-12,0.799,0.814,0.795,0.797,517192285,415138207,,
2025-11-13,0.792,0.81,0.792,0.807,350351517,281308651,,
2025-11-14,0.805,0.815,0.795,0.795,319825584,257144027,,
2025-11-17,0.792,0.799,0.788,0.796,306641212,243117583,,
2025-11-18,0.793,0.796,0.78,0.784,201131743,157956612,,
2025-11-19,0.784,0.788,0.773,0.779,362812581,282421199,,
2025-11-20,0.776,0.779,0.769,0.769,305728207,236481096,,
2025-11-21,0.764,0.771,0.751,0.751,191421574,145404609,,
2025-11-24,0.752,0.76,0.747,0.753,400401636,302086441,,
2025-11-25,0.754,0.756,0.748,0.753,217513151,163536202,,
2025-11-26,0.752,0.76,0.75,0.753,138095600,104124617,,
2025-11-27,0.755,0.755,0.743,0.747,345918011,259257090,,
2025-11-28,0.745,0.751,0.74,0.75,219839604,164448058,,
2025-12-01,0.754,0.775,0.752,0.775,436752600,334089277,,
2025-12-02,0.771,0.777,0.765,0.772,533125000,411492132,,
2025-12-03,0.769,0.779,0.766,0.771,518177858,401189267,,
2025-12-04,0.767,0.77,0.755,0.76,176081300,133915725,,
2025-12-05,0.759,0.76,0.751,0.758,190908062,144293969,,
2025-12-08,0.758,0.764,0.752,0.762,512464874,389634100,,
2025-12-09,0.76,0.762,0.747,0.747,283052600,212622186,,
2025-12-10,0.746,0.762,0.746,0.759,234077300,176814865,,
2025-12-11,0.759,0.759,0.743,0.743,293459682,219687572,,
2025-12-12,0.742,0.75,0.737,0.745,211459310,157730516,,
2025-12-15,0.746,0.752,0.741,0.749,199395800,148924576,,
