date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.635,0.637,0.632,0.636,339084000,215209974,,
2025-08-19,0.635,0.64,0.634,0.638,213561482,136274933,,
2025-08-20,0.635,0.641,0.632,0.641,243278601,155146317,,
2025-08-21,0.644,0.653,0.643,0.647,326752101,211520239,,
2025-08-22,0.648,0.651,0.641,0.647,238667900,153956275,,
2025-08-25,0.646,0.653,0.645,0.652,370158308,240519596,,
2025-08-26,0.651,0.675,0.648,0.669,376695906,250971065,,
2025-08-27,0.665,0.671,0.654,0.654,323385502,214010524,,
2025-08-28,0.652,0.656,0.637,0.649,868967800,561505323,,
2025-08-29,0.647,0.657,0.647,0.653,214001900,139890221,,
2025-09-01,0.655,0.656,0.647,0.651,155293825,100987428,,
2025-09-02,0.651,0.654,0.643,0.646,206505608,133673424,,
2025-09-03,0.646,0.65,0.631,0.633,192939400,123222519,,
2025-09-04,0.633,0.64,0.63,0.637,217196402,138030166,,
2025-09-05,0.636,0.643,0.63,0.642,251267700,160397606,,
2025-09-08,0.645,0.663,0.644,0.662,421111608,277538308,,
2025-09-09,0.661,0.665,0.654,0.659,305909301,201955559,,
2025-09-10,0.656,0.659,0.649,0.658,247750701,162459894,,
2025-09-11,0.659,0.678,0.658,0.674,470163182,316609377,,
2025-09-12,0.671,0.678,0.67,0.672,691789100,467542166,,
2025-09-15,0.673,0.689,0.671,0.686,476333545,325733612,,
2025-09-16,0.686,0.687,0.667,0.676,583959600,393850907,,
2025-09-17,0.676,0.679,0.666,0.669,383514299,257411171,,
2025-09-18,0.671,0.674,0.653,0.658,413324040,274042809,,
2025-09-19,0.658,0.661,0.655,0.659,458093120,301559764,,
2025-09-22,0.659,0.66,0.648,0.654,342762665,223126425,,
2025-09-23,0.652,0.655,0.641,0.65,349013613,226049927,,
2025-09-24,0.646,0.656,0.646,0.655,349358363,228097798,,
2025-09-25,0.655,0.655,0.645,0.648,320897110,208216469,,
2025-09-26,0.647,0.657,0.645,0.649,240853564,157154083,,
2025-09-29,0.649,0.653,0.641,0.653,391839572,253726628,,
2025-09-30,0.653,0.654,0.647,0.653,390795811,254702800,,
2025-10-09,0.649,0.66,0.641,0.66,553000100,357966684,,
2025-10-10,0.653,0.665,0.649,0.663,599068722,395628597,,
2025-10-13,0.655,0.663,0.652,0.661,563368502,371002172,,
2025-10-14,0.659,0.668,0.658,0.662,611646714,405912555,,
2025-10-15,0.661,0.665,0.656,0.663,425782439,281300632,,
2025-10-16,0.662,0.666,0.653,0.653,451117482,296889144,,
2025-10-17,0.652,0.657,0.646,0.647,564351300,367792499,,
2025-10-20,0.649,0.65,0.638,0.641,475442125,305371330,,
2025-10-21,0.641,0.648,0.639,0.648,1574351736,1013444305,,
2025-10-22,0.645,0.646,0.637,0.637,410295699,262781875,,
2025-10-23,0.638,0.64,0.632,0.639,194266632,123545514,,
2025-10-24,0.64,0.643,0.636,0.638,337101007,215538089,,
2025-10-27,0.64,0.652,0.638,0.649,670844075,434523249,,
2025-10-28,0.649,0.649,0.643,0.645,261740953,169028916,,
2025-10-29,0.645,0.648,0.641,0.646,425117693,274611949,,
2025-10-30,0.645,0.647,0.64,0.641,272221341,174904217,,
2025-10-31,0.64,0.649,0.639,0.646,396664159,256440269,,
2025-11-03,0.646,0.655,0.644,0.654,331211007,215778550,,
2025-11-04,0.653,0.653,0.646,0.649,179253157,116418639,,
2025-11-05,0.647,0.653,0.644,0.65,173530901,112518344,,
2025-11-06,0.649,0.653,0.647,0.653,202120900,131606193,,
2025-11-07,0.652,0.657,0.65,0.652,215746829,140932149,,
2025-11-10,0.652,0.666,0.649,0.664,359234400,237271950,,
2025-11-11,0.663,0.665,0.659,0.663,317772394,210407943,,
2025-11-12,0.662,0.665,0.657,0.66,316920911,209237660,,
2025-11-13,0.66,0.665,0.655,0.663,260571500,171926507,,
2025-11-14,0.662,0.669,0.66,0.66,366069820,243498563,,
2025-11-17,0.661,0.663,0.651,0.655,730040400,478312132,,
2025-11-18,0.653,0.655,0.647,0.649,148433100,96544561,,
2025-11-19,0.648,0.652,0.643,0.651,370039047,239980529,,
2025-11-20,0.652,0.653,0.643,0.646,306389099,198511131,,
2025-11-21,0.642,0.648,0.632,0.633,365129400,232929451,,
2025-11-24,0.634,0.645,0.631,0.633,250576800,159290760,,
2025-11-25,0.633,0.639,0.63,0.637,190428729,120964805,,
2025-11-26,0.636,0.641,0.633,0.635,235058300,149553293,,
2025-11-27,0.636,0.639,0.632,0.635,341509200,216981834,,
2025-11-28,0.634,0.64,0.63,0.64,164429187,104514058,,
2025-12-01,0.638,0.64,0.634,0.637,126521300,80553437,,
2025-12-02,0.637,0.637,0.63,0.634,493687116,311658536,,
2025-12-03,0.632,0.638,0.63,0.632,466180700,295162287,,
2025-12-04,0.63,0.633,0.627,0.628,224620100,141372218,,
2025-12-05,0.627,0.635,0.626,0.633,163439724,103281894,,
2025-12-08,0.634,0.638,0.632,0.636,230008660,146085567,,
2025-12-09,0.635,0.637,0.627,0.628,148811324,93967629,,
2025-12-10,0.627,0.634,0.626,0.633,128410324,81020650,,
2025-12-11,0.634,0.635,0.625,0.625,243767900,152853625,,
2025-12-12,0.625,0.634,0.624,0.633,123932268,78104679,,
2025-12-15,0.63,0.647,0.63,0.639,199163084,127639190,,
2025-12-16,0.64,0.645,0.632,0.637,104262768,66405137,,
2025-12-17,0.645,0.647,0.629,0.635,178467700,113264663,,
2025-12-18,0.63,0.635,0.627,0.63,185804601,117324382,,
2025-12-19,0.629,0.639,0.626,0.638,241197632,152718502,,
2025-12-22,0.636,0.641,0.634,0.64,382448637,243761144,,
2025-12-23,0.641,0.645,0.636,0.638,138086447,88384757,,
2025-12-24,0.637,0.639,0.626,0.631,574649101,361402225,,
2025-12-25,0.63,0.635,0.627,0.633,183855373,115988708,,
2025-12-26,0.633,0.636,0.63,0.635,287181038,181902989,,
2025-12-29,0.634,0.639,0.63,0.633,714567875,453750650,,
2025-12-30,0.632,0.642,0.631,0.637,201345368,128085511,,
2025-12-31,0.636,0.637,0.629,0.631,153205328,96777496,,
2026-01-05,0.631,0.635,0.63,0.634,326393376,206459671,,
2026-01-06,0.633,0.642,0.632,0.642,669236046,426497643,,
2026-01-07,0.641,0.645,0.636,0.639,385795425,246465783,,
2026-01-08,0.637,0.64,0.636,0.638,211850202,135026348,,
2026-01-09,0.638,0.641,0.636,0.64,279317114,178290332,,
2026-01-12,0.639,0.64,0.634,0.64,483088604,307717379,,
2026-01-13,0.639,0.643,0.633,0.634,360512401,230109676,,
2026-01-14,0.634,0.639,0.626,0.632,299032204,189279258,,
2026-01-15,0.632,0.638,0.632,0.633,220805606,140179012,,
2026-01-16,0.633,0.636,0.625,0.627,297128700,186638609,,
2026-01-19,0.627,0.637,0.626,0.636,277247700,175567117,,
2026-01-20,0.636,0.64,0.632,0.634,301133200,191392371,,
2026-01-21,0.633,0.634,0.625,0.628,704564069,442445181,,
2026-01-22,0.628,0.63,0.626,0.629,197707690,124136450,,
2026-01-23,0.628,0.63,0.627,0.628,132738085,83414302,,
2026-01-26,0.629,0.642,0.625,0.642,494317342,314012897,,
2026-01-27,0.639,0.64,0.626,0.629,210624303,132641276,,
2026-01-28,0.628,0.637,0.621,0.633,323382416,202711510,,
2026-01-29,0.631,0.641,0.63,0.641,267430606,170261149,,
2026-01-30,0.64,0.653,0.636,0.642,359001868,231760312,,
2026-02-02,0.637,0.638,0.616,0.62,404449800,253396587,,
2026-02-03,0.62,0.623,0.613,0.623,180060100,111317801,,
2026-02-04,0.624,0.631,0.62,0.63,250766400,157133670,,
2026-02-05,0.627,0.635,0.626,0.628,253493802,159476580,,
2026-02-06,0.625,0.634,0.623,0.629,215189410,135614490,,
2026-02-09,0.628,0.632,0.627,0.631,114090736,71867705,,
2026-02-10,0.63,0.631,0.625,0.628,84329464,52943481,,
2026-02-11,0.627,0.632,0.626,0.631,116308376,73198753,,
2026-02-12,0.63,0.63,0.622,0.624,157639011,98498704,,
2026-02-13,0.624,0.626,0.616,0.617,248179000,154120541,,
2026-02-24,0.618,0.623,0.618,0.621,125186393,77711239,,
2026-02-25,0.621,0.632,0.62,0.63,194607410,122301393,,
2026-02-26,0.63,0.634,0.627,0.629,181837400,114474434,,
2026-02-27,0.628,0.64,0.628,0.639,201920552,128509936,,
2026-03-02,0.636,0.643,0.63,0.634,280810045,178173340,,
2026-03-03,0.635,0.642,0.628,0.63,232597223,147642074,,
2026-03-04,0.627,0.635,0.625,0.633,199530101,125919323,,
2026-03-05,0.635,0.635,0.622,0.625,248211900,155351411,,
2026-03-06,0.625,0.651,0.623,0.65,677959481,436512787,,
2026-03-09,0.65,0.66,0.647,0.649,520611401,340079957,,
2026-03-10,0.645,0.653,0.644,0.648,326319193,211831405,,
2026-03-11,0.646,0.66,0.643,0.659,393378000,256567905,,
2026-03-12,0.658,0.668,0.651,0.666,582973777,386552292,,
2026-03-13,0.665,0.669,0.659,0.66,309569000,205552143,,
2026-03-16,0.662,0.677,0.662,0.667,323361701,216246922,,
2026-03-17,0.664,0.673,0.655,0.656,543595900,360542771,,
2026-03-18,0.654,0.658,0.648,0.655,350134932,228182906,,
2026-03-19,0.651,0.652,0.638,0.64,350523288,225587624,,
2026-03-20,0.638,0.646,0.631,0.631,299666695,191054322,,
2026-03-23,0.626,0.626,0.59,0.594,705051601,425585700,,
2026-03-24,0.599,0.604,0.586,0.599,342970501,203362529,,
2026-03-25,0.598,0.608,0.596,0.606,330259500,199361585,,
2026-03-26,0.605,0.61,0.598,0.601,250699131,150799750,,
2026-03-27,0.596,0.612,0.595,0.61,208861400,126979955,,
2026-03-30,0.604,0.615,0.604,0.611,253013800,154469204,,
2026-03-31,0.61,0.614,0.597,0.599,254329600,153237045,,
2026-04-01,0.602,0.605,0.597,0.604,169723325,102032055,,
2026-04-02,0.604,0.622,0.602,0.614,288008000,176766618,,
2026-04-03,0.612,0.613,0.597,0.6,340368558,204672015,,
2026-04-07,0.601,0.619,0.595,0.611,222491000,135325930,,
2026-04-08,0.613,0.619,0.61,0.618,347522200,213764403,,
2026-04-09,0.615,0.618,0.607,0.61,229406200,140184663,,
2026-04-10,0.612,0.612,0.604,0.607,368628096,223877406,,
2026-04-13,0.605,0.617,0.602,0.615,310229630,189728454,,
2026-04-14,0.615,0.633,0.609,0.632,655087630,406893447,,
2026-04-15,0.632,0.635,0.625,0.634,489242600,308772235,,
2026-04-16,0.633,0.634,0.627,0.632,501855700,316548416,,
2026-04-17,0.632,0.632,0.622,0.624,382196600,239409081,,
2026-04-20,0.627,0.629,0.62,0.622,386887664,241033275,,
2026-04-21,0.622,0.627,0.62,0.624,243385092,151595866,,
2026-04-22,0.62,0.629,0.615,0.617,367246700,228157877,,
2026-04-23,0.614,0.615,0.603,0.608,506198640,308061505,,
2026-04-24,0.606,0.606,0.597,0.599,420573821,252532733,,
2026-04-27,0.599,0.599,0.592,0.595,414449307,246453401,,
2026-04-28,0.594,0.6,0.59,0.6,516408900,307471151,,
2026-04-29,0.599,0.621,0.598,0.612,781588211,478461588,,
2026-04-30,0.607,0.622,0.606,0.617,495576900,305627935,,
2026-05-06,0.616,0.619,0.612,0.619,365931400,225170784,,
2026-05-07,0.618,0.62,0.608,0.612,384755600,235534035,,
2026-05-08,0.611,0.614,0.605,0.605,286907265,174157939,,
2026-05-11,0.606,0.617,0.602,0.612,827397528,505690070,,
2026-05-12,0.612,0.612,0.597,0.599,485450638,291792769,,
2026-05-13,0.598,0.599,0.589,0.591,399552300,236358424,,
2026-05-14,0.591,0.606,0.59,0.6,554709700,332155992,,
2026-05-15,0.599,0.6,0.589,0.594,386851808,230182967,,
2026-05-18,0.591,0.593,0.576,0.578,432957384,251599286,,
2026-05-19,0.579,0.585,0.572,0.581,325265200,187954414,,
2026-05-20,0.578,0.581,0.571,0.573,290268601,166665570,,
2026-05-21,0.575,0.58,0.564,0.564,331738317,189853930,,
2026-05-22,0.567,0.569,0.559,0.562,251785401,141536612,,
2026-05-25,0.561,0.561,0.552,0.558,312031051,173478873,,
2026-05-26,0.556,0.561,0.554,0.561,274730205,153113054,,
2026-05-27,0.56,0.561,0.547,0.548,330404100,182204685,,
2026-05-28,0.547,0.552,0.539,0.544,276928900,150863635,,
2026-05-29,0.541,0.548,0.539,0.544,222713900,121177714,,
2026-06-01,0.543,0.553,0.54,0.552,198188600,108784093,,
2026-06-02,0.551,0.552,0.537,0.542,296735100,160816764,,
2026-06-03,0.54,0.54,0.531,0.535,245446700,131037296,,
2026-06-04,0.535,0.538,0.52,0.522,296439500,155732150,,
2026-06-05,0.52,0.525,0.514,0.518,590051909,305509576,,
2026-06-08,0.516,0.526,0.509,0.514,308808610,159637193,,
2026-06-09,0.511,0.515,0.509,0.513,176997700,90615838,,
2026-06-10,0.511,0.517,0.509,0.515,308911600,158471040,,
2026-06-11,0.513,0.515,0.507,0.51,230376700,117553744,,
2026-06-12,0.511,0.519,0.505,0.518,347263200,178183377,,
2026-06-15,0.519,0.524,0.513,0.517,239496300,124000255,,
2026-06-16,0.517,0.517,0.507,0.511,233007100,118914511,,
2026-06-17,0.51,0.51,0.501,0.502,226751006,114154593,,
2026-06-18,0.5,0.502,0.493,0.493,254347800,126046500,,
2026-06-22,0.491,0.497,0.481,0.496,331870102,161829005,,
2026-06-23,0.494,0.508,0.493,0.494,313754471,157055444,,
2026-06-24,0.493,0.495,0.482,0.483,282773700,137470141,,
