date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.396,1.411,1.393,1.407,470786960,659943529,,
2025-08-19,1.406,1.414,1.387,1.39,366211100,512003488,,
2025-08-20,1.389,1.42,1.385,1.413,517606221,726615429,,
2025-08-21,1.413,1.439,1.397,1.425,530417821,751685872,,
2025-08-22,1.425,1.456,1.416,1.451,535208796,770387087,,
2025-08-25,1.459,1.474,1.425,1.469,564079678,817208563,,
2025-08-26,1.466,1.524,1.466,1.502,636727716,957754062,,
2025-08-27,1.504,1.52,1.46,1.461,692198348,1034164701,,
2025-08-28,1.454,1.473,1.421,1.473,596346310,864683829,,
2025-08-29,1.472,1.488,1.459,1.476,306423400,451570509,,
2025-09-01,1.478,1.478,1.445,1.461,399338242,581782593,,
2025-09-02,1.459,1.469,1.409,1.427,503589242,722625978,,
2025-09-03,1.43,1.486,1.424,1.448,543796895,796013518,,
2025-09-04,1.446,1.47,1.391,1.414,452402251,647470309,,
2025-09-05,1.413,1.475,1.4,1.471,566197228,819452300,,
2025-09-08,1.469,1.534,1.464,1.525,529054821,792099649,,
2025-09-09,1.517,1.546,1.494,1.515,515191655,780756088,,
2025-09-10,1.501,1.558,1.501,1.546,505687174,776436927,,
2025-09-11,1.536,1.567,1.485,1.562,539778186,823929752,,
2025-09-12,1.548,1.565,1.529,1.531,385380962,593904031,,
2025-09-15,1.525,1.61,1.52,1.598,602429697,953188718,,
2025-09-16,1.595,1.608,1.577,1.597,528712926,843155666,,
2025-09-17,1.596,1.65,1.592,1.644,633194834,1028095584,,
2025-09-18,1.634,1.683,1.592,1.619,624135066,1023480090,,
2025-09-19,1.607,1.631,1.599,1.612,374028685,604255973,,
2025-09-22,1.605,1.61,1.571,1.589,438068928,695100713,,
2025-09-23,1.587,1.6,1.543,1.577,514307616,809987021,,
2025-09-24,1.57,1.651,1.564,1.645,581136599,938283995,,
2025-09-25,1.644,1.707,1.642,1.677,453976522,764238076,,
2025-09-26,1.666,1.669,1.602,1.608,753208618,1223876098,,
2025-09-29,1.601,1.624,1.594,1.613,545101427,877317897,,
2025-09-30,1.616,1.621,1.598,1.606,348049877,559357248,,
2025-10-09,1.606,1.606,1.542,1.561,895054997,1397416862,,
2025-10-10,1.551,1.558,1.5,1.508,684044666,1048040221,,
2025-10-13,1.44,1.492,1.44,1.485,482758552,712851941,,
2025-10-14,1.49,1.52,1.452,1.46,470567558,700445336,,
2025-10-15,1.459,1.47,1.418,1.47,653365558,949699611,,
2025-10-16,1.465,1.466,1.435,1.443,475817990,689765284,,
2025-10-17,1.436,1.449,1.399,1.4,384071946,545062551,,
2025-10-20,1.416,1.43,1.408,1.419,373861292,531086464,,
2025-10-21,1.426,1.452,1.419,1.452,573941157,824609222,,
