date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,,2.52,2.608,2.504,2.582,2296931519,5893785524,,
2025-08-19,,2.575,2.61,2.561,2.575,1635409032,4222774162,,
2025-08-20,,2.551,2.588,2.524,2.588,2059444126,5260550950,,
2025-08-21,,2.589,2.605,2.558,2.572,1882804391,4859237813,,
2025-08-22,,2.566,2.663,2.563,2.662,2165908940,5681941123,,
2025-08-25,,2.693,2.76,2.675,2.737,2751414023,7457636148,,
2025-08-26,,2.727,2.75,2.702,2.716,2091832159,5706483427,,
2025-08-27,,2.716,2.796,2.696,2.696,2943477589,8091776959,,
2025-08-28,,2.68,2.807,2.677,2.806,2682020771,7337066720,,
2025-08-29,,2.799,2.909,2.78,2.865,2476060762,7050495859,,
2025-09-01,,2.88,2.932,2.859,2.927,2064101171,5979182419,,
2025-09-02,,2.922,2.954,2.815,2.848,3020220527,8691244493,,
2025-09-03,,2.852,2.899,2.832,2.87,2918703247,8367566301,,
2025-09-04,,2.899,2.93,2.716,2.751,3504601930,9856433542,,
2025-09-05,,2.75,2.947,2.749,2.944,2742078899,7802431010,,
2025-09-08,,2.946,2.951,2.856,2.908,2496878153,7234949538,,
2025-09-09,,2.866,2.898,2.818,2.845,1704675452,4870733789,,
2025-09-10,,2.857,2.9,2.833,2.875,1859579380,5345322586,,
2025-09-11,,2.883,3.027,2.871,3.025,2629737283,7786806668,,
2025-09-12,,3.01,3.033,2.982,2.995,2125362296,6394148106,,
2025-09-15,,3.006,3.08,3.006,3.037,1713662026,5227741888,,
2025-09-16,,3.039,3.064,2.993,3.059,1888634980,5729177909,,
2025-09-17,,3.055,3.125,3.036,3.119,1668757276,5154304123,,
2025-09-18,,3.115,3.141,3.024,3.067,2719063197,8408306052,,
2025-09-19,,3.067,3.101,3.046,3.062,1712231771,5266798692,,
2025-09-22,,3.068,3.082,3.026,3.082,1382078742,4228087840,,
2025-09-23,,3.115,3.13,3.015,3.093,2232003421,6865555807,,
2025-09-24,,3.063,3.162,3.061,3.16,1944989513,6065237036,,
2025-09-25,,3.15,3.24,3.134,3.211,1625732422,5199641840,,
2025-09-26,,3.193,3.226,3.126,3.129,1692755881,5368043518,,
2025-09-29,,3.126,3.233,3.126,3.213,1632847130,5208289767,,
2025-09-30,,3.221,3.254,3.194,3.217,1240171175,3995389305,,
2025-10-09,,3.217,3.297,3.217,3.235,1743566568,5667232670,,
2025-10-10,,3.201,3.217,3.072,3.095,2227643125,6981652423,,
2025-10-13,,2.952,3.073,2.951,3.054,2223548267,6730538313,,
2025-10-14,,3.093,3.106,2.92,2.934,2411647285,7241505142,,
2025-10-15,,2.932,3.01,2.905,3.003,1877004280,5552036995,,
2025-10-16,,2.984,3.044,2.978,3.014,1548870353,4670184542,,
2025-10-17,,3.002,3.021,2.91,2.915,1552640674,4576629143,,
2025-10-20,,2.976,3.02,2.948,2.971,1556678678,4642754506,,
2025-10-21,,2.999,3.078,2.972,3.062,1735963311,5272466544,,
2025-10-22,,3.037,3.067,3.02,3.039,1174128749,3571697635,,
2025-10-23,,3.021,3.045,2.98,3.038,998545786,3006639972,,
2025-10-24,,3.069,3.147,3.058,3.147,1494880490,4637974087,,
2025-10-27,,3.209,3.218,3.155,3.209,1509668463,4823568500,,
2025-10-28,,3.189,3.258,3.181,3.205,1353329704,4352354390,,
2025-10-29,,3.235,3.3,3.234,3.3,1370135646,4473209146,,
2025-10-30,,3.296,3.308,3.235,3.239,1406883999,4602035005,,
2025-10-31,,3.235,3.258,3.164,3.166,1495642875,4795957339,,
2025-11-03,,3.152,3.178,3.098,3.176,1291988794,4057838467,,
2025-11-04,,3.166,3.184,3.087,3.112,1277900258,3999079271,,
2025-11-05,,3.06,3.157,3.046,3.142,1312861492,4073292025,,
2025-11-06,,3.158,3.213,3.153,3.201,1334422974,4251348431,,
2025-11-07,,3.184,3.218,3.155,3.185,970514620,3090346851,,
2025-11-10,,3.2,3.215,3.117,3.158,1174688849,3697770213,,
2025-11-11,,3.175,3.188,3.107,3.113,1057309779,3323335999,,
2025-11-12,,3.095,3.116,3.058,3.108,1181466117,3648762909,,
2025-11-13,,3.094,3.188,3.086,3.182,1601868261,5045454815,,
2025-11-14,,3.146,3.146,3.091,3.093,1221752298,3818689061,,
2025-11-17,,3.074,3.101,3.06,3.084,982889105,3024962848,,
2025-11-18,,3.069,3.095,3.032,3.051,1252458681,3834326363,,
2025-11-19,,3.051,3.092,3.041,3.057,1325419541,4059815545,,
2025-11-20,,3.106,3.113,3.019,3.026,1380802267,4222309799,,
2025-11-21,,2.99,2.99,2.903,2.904,2381325432,7001980047,,
2025-11-24,,2.925,2.932,2.873,2.908,1510800887,4394186366,,
2025-11-25,,2.951,3.008,2.94,2.961,2184713731,6485664185,,
2025-11-26,,2.955,3.061,2.943,3.027,1826348317,5496575403,,
2025-11-27,,3.018,3.093,3.007,3.012,1249768716,3812794596,,
2025-11-28,,3.008,3.048,2.993,3.035,909253540,2745371289,,
2025-12-01,,3.044,3.074,3.017,3.073,1004677236,3065143123,,
2025-12-02,,3.075,3.075,3.036,3.052,623224565,1904764495,,
2025-12-03,,3.058,3.086,3.01,3.019,776119012,2361211728,,
2025-12-04,,3.014,3.056,2.997,3.051,808437962,2449923929,,
2025-12-05,,3.063,3.098,3.028,3.089,873843662,2681407787,,
2025-12-08,,3.101,3.194,3.099,3.171,1268125641,4001557936,,
2025-12-09,,3.168,3.215,3.153,3.188,1082566090,3451146148,,
2025-12-10,,3.185,3.2,3.124,3.192,852958607,2694949380,,
2025-12-11,,3.192,3.226,3.145,3.146,936231349,2993222526,,
2025-12-12,,3.152,3.186,3.12,3.174,1011013142,3194779883,,
2025-12-15,,3.14,3.167,3.119,3.12,798453240,2506448325,,
2025-12-16,,3.112,3.125,3.043,3.06,1309898681,4025761889,,
2025-12-17,,3.057,3.165,3.054,3.164,1586163674,4937699275,,
2025-12-18,,3.134,3.14,3.092,3.092,1380517391,4297352252,,
2025-12-19,,3.118,3.141,3.096,3.107,1067093103,3326085605,,
2025-12-22,,3.135,3.18,3.135,3.175,1326079891,4197241564,,
2025-12-23,,3.18,3.21,3.166,3.185,946018820,3015016523,,
2025-12-24,,3.194,3.219,3.177,3.212,782862119,2505014135,,
2025-12-25,,3.21,3.234,3.184,3.222,882507027,2835992188,,
2025-12-26,,3.222,3.252,3.202,3.226,953278367,3075750266,,
2025-12-29,,3.217,3.234,3.19,3.205,952073248,3055961797,,
2025-12-30,,3.19,3.234,3.19,3.229,1180965470,3800219967,,
2025-12-31,,3.23,3.239,3.182,3.186,717889714,2302045752,,
2026-01-05,,3.215,3.281,3.21,3.281,1093577125,3551323048,,
2026-01-06,,3.278,3.305,3.249,3.303,1317059779,4324236362,,
