date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,2.67,2.717,2.66,2.7,142885068,385184366,,
2025-08-19,2.699,2.711,2.682,2.686,91219906,246049725,,
2025-08-20,2.678,2.728,2.665,2.728,125624842,338024521,,
2025-08-21,2.728,2.739,2.7,2.712,101607528,276128262,,
2025-08-22,2.714,2.763,2.712,2.762,255236222,700898589,,
2025-08-25,2.776,2.822,2.774,2.813,184097798,515251175,,
2025-08-26,2.808,2.837,2.792,2.814,148474553,418112612,,
2025-08-27,2.814,2.86,2.774,2.776,223111062,629210335,,
2025-08-28,2.767,2.838,2.75,2.838,278922266,780153181,,
2025-08-29,2.854,2.866,2.824,2.858,137172522,389923956,,
2025-09-01,2.854,2.883,2.845,2.875,98509866,282400057,,
2025-09-02,2.876,2.876,2.793,2.815,74678317,211316941,,
2025-09-03,2.815,2.83,2.764,2.783,88726424,248336331,,
2025-09-04,2.782,2.794,2.676,2.71,160082860,437671467,,
2025-09-05,2.707,2.803,2.7,2.8,115050959,316949846,,
2025-09-08,2.813,2.833,2.786,2.824,109668502,308077241,,
2025-09-09,2.818,2.832,2.786,2.8,58768680,165307922,,
2025-09-10,2.799,2.824,2.781,2.803,83589709,234379520,,
2025-09-11,2.792,2.891,2.782,2.891,159396278,455596034,,
2025-09-12,2.891,2.915,2.875,2.896,107524034,311312994,,
2025-09-15,2.892,2.902,2.88,2.886,133842905,386988473,,
2025-09-16,2.884,2.914,2.862,2.907,71634683,207258203,,
2025-09-17,2.914,2.944,2.894,2.944,105590172,308732527,,
2025-09-18,2.94,2.98,2.878,2.913,174423467,512367394,,
2025-09-19,2.912,2.928,2.887,2.903,96261688,280153828,,
2025-09-22,2.899,2.924,2.888,2.923,98412773,285918515,,
2025-09-23,2.921,2.931,2.85,2.906,188446863,543174726,,
2025-09-24,2.883,2.972,2.883,2.972,112319858,330865124,,
2025-09-25,2.973,2.989,2.962,2.97,109435917,325642623,,
2025-09-26,2.966,2.977,2.931,2.934,205195257,606923974,,
2025-09-29,2.934,2.99,2.921,2.98,125400894,371228772,,
2025-09-30,2.982,3.009,2.982,3.002,82266980,246690518,,
2025-10-09,3.025,3.068,3.013,3.06,225318787,687416625,,
2025-10-10,3.041,3.042,2.986,2.998,140400609,423114235,,
2025-10-13,2.906,2.994,2.889,2.983,210993625,622786019,,
2025-10-14,2.996,3.017,2.895,2.916,186834448,553235871,,
2025-10-15,2.91,2.955,2.897,2.953,107333440,314084695,,
2025-10-16,2.945,2.957,2.917,2.927,200464341,588803745,,
2025-10-17,2.917,2.938,2.838,2.844,207638867,596914847,,
2025-10-20,2.859,2.89,2.848,2.86,165855346,474313892,,
2025-10-21,2.866,2.914,2.866,2.906,160866657,466790057,,
2025-10-22,2.898,2.899,2.873,2.886,85197231,246002148,,
2025-10-23,2.881,2.899,2.841,2.893,98363486,281345408,,
2025-10-24,2.899,2.94,2.898,2.94,119232832,348422592,,
2025-10-27,2.97,2.993,2.949,2.985,106173040,316200045,,
2025-10-28,2.97,2.999,2.959,2.97,68273539,203366471,,
2025-10-29,2.971,3.031,2.971,3.031,63265663,190302617,,
2025-10-30,3.028,3.028,2.986,2.992,93327528,280470463,,
2025-10-31,2.995,3.012,2.969,2.969,88578831,264631402,,
2025-11-03,2.969,2.972,2.921,2.968,76190684,224324618,,
2025-11-04,2.962,2.966,2.902,2.924,96488554,283034783,,
2025-11-05,2.881,2.938,2.88,2.93,80157707,233029994,,
2025-11-06,2.929,2.98,2.928,2.979,57724722,170845039,,
2025-11-07,2.958,2.987,2.948,2.968,61367919,182266509,,
2025-11-10,2.976,2.995,2.95,2.973,68298693,202615203,,
2025-11-11,2.98,2.993,2.948,2.953,74865379,222319149,,
2025-11-12,2.942,2.961,2.909,2.937,60252513,176771353,,
2025-11-13,2.93,2.985,2.93,2.982,60835811,180492287,,
2025-11-14,2.953,2.968,2.93,2.93,69070905,203926910,,
2025-11-17,2.935,2.944,2.918,2.927,72181111,211453098,,
2025-11-18,2.92,2.928,2.884,2.899,117496357,341343981,,
2025-11-19,2.898,2.912,2.873,2.889,68229257,197226421,,
2025-11-20,2.903,2.915,2.862,2.865,59403570,171268042,,
2025-11-21,2.823,2.845,2.765,2.767,232784669,651053702,,
2025-11-24,2.782,2.799,2.756,2.787,115612730,321092798,,
2025-11-25,2.799,2.845,2.799,2.82,166246764,469012689,,
2025-11-26,2.819,2.846,2.81,2.825,84996472,240623687,,
2025-11-27,2.825,2.857,2.81,2.817,67790999,192168377,,
2025-11-28,2.814,2.849,2.811,2.846,74367724,210620809,,
2025-12-01,2.851,2.877,2.849,2.874,64993987,186302532,,
2025-12-02,2.874,2.874,2.845,2.851,63816102,182104948,,
2025-12-03,2.851,2.862,2.827,2.835,46726012,132974055,,
2025-12-04,2.839,2.855,2.82,2.845,56775911,161133383,,
2025-12-05,2.845,2.882,2.821,2.882,64259177,183519071,,
2025-12-08,2.845,2.878,2.845,2.867,78143765,223731018,,
2025-12-09,2.865,2.873,2.841,2.844,64927583,185510693,,
2025-12-10,2.845,2.867,2.827,2.86,82648977,235029096,,
2025-12-11,2.864,2.872,2.837,2.838,96024204,273981050,,
2025-12-12,2.841,2.882,2.829,2.872,343144958,983030417,,
2025-12-15,2.864,2.881,2.852,2.852,69943906,200290230,,
2025-12-16,2.847,2.851,2.795,2.812,158913641,447443900,,
2025-12-17,2.812,2.877,2.805,2.865,188956417,536298582,,
2025-12-18,2.852,2.879,2.846,2.85,148667300,426029290,,
