date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.825,0.83,0.822,0.828,802466456,662697810,,
2025-08-19,0.827,0.837,0.826,0.833,880761000,733798127,,
2025-08-20,0.831,0.843,0.826,0.843,902833685,757670342,,
2025-08-21,0.845,0.854,0.842,0.848,940464200,798167322,,
2025-08-22,0.847,0.852,0.844,0.852,812561900,688678813,,
2025-08-25,0.858,0.875,0.853,0.875,1537844692,1329645128,,
2025-08-26,0.874,0.891,0.866,0.882,1680045637,1480978073,,
2025-08-27,0.88,0.881,0.86,0.861,1532358800,1335415797,,
2025-08-28,0.859,0.864,0.843,0.857,1243834436,1062076555,,
2025-08-29,0.861,0.879,0.861,0.877,1245643235,1089063571,,
2025-09-01,0.879,0.88,0.868,0.875,1260519834,1101243699,,
2025-09-02,0.874,0.886,0.868,0.871,1080297029,946674227,,
2025-09-03,0.873,0.881,0.854,0.857,818438897,706412307,,
2025-09-04,0.856,0.858,0.848,0.858,913245052,779465009,,
2025-09-05,0.86,0.865,0.849,0.865,1038629500,890554138,,
2025-09-08,0.864,0.881,0.863,0.881,1045599705,915983541,,
2025-09-09,0.881,0.882,0.871,0.88,740338115,649814994,,
2025-09-10,0.879,0.881,0.873,0.878,702024059,615988681,,
2025-09-11,0.875,0.89,0.874,0.89,1347055554,1191979376,,
2025-09-12,0.89,0.895,0.88,0.88,850388060,753732464,,
2025-09-15,0.878,0.888,0.877,0.884,619209108,546868725,,
2025-09-16,0.885,0.885,0.87,0.878,1133142943,992881870,,
2025-09-17,0.88,0.88,0.867,0.872,1061708256,925779306,,
2025-09-18,0.873,0.873,0.852,0.858,1141761000,985398230,,
2025-09-19,0.856,0.861,0.852,0.86,723051400,619286235,,
2025-09-22,0.859,0.859,0.846,0.849,618742900,525624011,,
2025-09-23,0.848,0.853,0.838,0.843,769620800,648806517,,
2025-09-24,0.841,0.849,0.84,0.847,497738556,420585509,,
2025-09-25,0.846,0.848,0.839,0.84,619563588,521226550,,
2025-09-26,0.838,0.844,0.835,0.839,493023400,413770044,,
2025-09-29,0.843,0.849,0.833,0.848,795624565,668720359,,
2025-09-30,0.847,0.847,0.839,0.846,722392300,609164876,,
2025-10-09,0.841,0.844,0.829,0.844,895891800,748864850,,
2025-10-10,0.841,0.852,0.839,0.846,891915960,754821324,,
2025-10-13,0.837,0.841,0.833,0.838,1115145624,933927677,,
2025-10-14,0.839,0.852,0.838,0.848,1119173054,947074189,,
2025-10-15,0.847,0.852,0.842,0.852,990891175,840592365,,
2025-10-16,0.851,0.858,0.849,0.853,819653800,699492279,,
2025-10-17,0.853,0.857,0.842,0.843,860538813,730156638,,
2025-10-20,0.845,0.847,0.834,0.837,894567400,750858809,,
2025-10-21,0.836,0.841,0.835,0.839,612544830,513385885,,
2025-10-22,0.838,0.841,0.831,0.833,584121575,487558697,,
2025-10-23,0.832,0.835,0.826,0.834,881836735,731782339,,
2025-10-24,0.835,0.837,0.825,0.826,841782013,697889168,,
2025-10-27,0.827,0.83,0.823,0.829,1115344100,924153186,,
2025-10-28,0.83,0.832,0.825,0.825,700311700,579651087,,
2025-10-29,0.825,0.826,0.822,0.826,632468100,521134473,,
