date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.937,0.944,0.931,0.943,859368080,805369464,,
2025-08-19,0.941,0.96,0.926,0.928,825844920,778281647,,
2025-08-20,0.921,0.93,0.909,0.93,665727946,613027202,,
2025-08-21,0.93,0.942,0.925,0.933,587302695,548032105,,
2025-08-22,0.933,0.942,0.928,0.942,660279669,617605543,,
2025-08-25,0.946,0.968,0.944,0.968,1065507927,1020054492,,
2025-08-26,0.967,0.969,0.951,0.954,677970209,649872992,,
2025-08-27,0.953,0.963,0.927,0.928,882934991,835829935,,
2025-08-28,0.921,0.934,0.898,0.927,972872575,892190319,,
2025-08-29,0.925,0.959,0.923,0.953,1004982101,946727149,,
2025-09-01,0.958,0.999,0.952,0.999,1424175334,1399125465,,
2025-09-02,1.001,1.02,0.983,0.998,1559490574,1563658258,,
2025-09-03,0.998,1.016,0.991,1.002,907605918,909339739,,
2025-09-04,1.005,1.008,0.943,0.959,1548258929,1501469351,,
2025-09-05,0.958,1.003,0.95,1.0,1066146917,1041223155,,
2025-09-08,1.002,1.016,0.991,1.009,864644620,868951935,,
2025-09-09,1.003,1.028,0.982,0.987,1034176920,1037379312,,
2025-09-10,0.983,1.002,0.976,0.983,655298024,646940887,,
2025-09-11,0.947,0.978,0.924,0.978,1418800533,1354647805,,
2025-09-12,0.981,0.994,0.969,0.984,969631610,951570661,,
2025-09-15,0.984,0.996,0.981,0.984,705024100,697519158,,
2025-09-16,0.984,0.987,0.97,0.98,540612309,528711015,,
2025-09-17,0.979,0.988,0.97,0.981,631761912,618595239,,
2025-09-18,0.981,1.002,0.97,0.985,957487750,946350232,,
2025-09-19,0.98,0.988,0.958,0.963,773216588,750166113,,
2025-09-22,0.969,0.985,0.958,0.965,715733177,693113709,,
2025-09-23,0.961,0.965,0.929,0.945,861396222,812304582,,
2025-09-24,0.944,0.965,0.943,0.962,670552183,641584520,,
2025-09-25,0.966,0.981,0.966,0.97,598051205,582473586,,
2025-09-26,0.959,0.959,0.945,0.946,600173106,570413980,,
2025-09-29,0.943,0.952,0.927,0.949,584048933,548821674,,
2025-09-30,0.95,0.97,0.948,0.97,806766897,774478658,,
2025-10-09,0.975,0.976,0.951,0.965,693748561,666780683,,
2025-10-10,0.96,0.962,0.935,0.941,732272458,694165265,,
2025-10-13,0.91,0.928,0.907,0.918,642010055,588682338,,
2025-10-14,0.922,0.926,0.888,0.893,818078311,740346882,,
2025-10-15,0.893,0.918,0.887,0.918,740749209,671815064,,
2025-10-16,0.916,0.933,0.909,0.92,799337364,736122138,,
2025-10-17,0.921,0.925,0.899,0.899,504123947,458799913,,
2025-10-20,0.907,0.916,0.899,0.905,395626701,358852135,,
2025-10-21,0.906,0.919,0.904,0.918,495782723,452821110,,
2025-10-22,0.915,0.927,0.908,0.91,385927103,353009390,,
2025-10-23,0.906,0.91,0.891,0.902,415360277,372682500,,
2025-10-24,0.903,0.914,0.9,0.907,418130600,378819191,,
2025-10-27,0.918,0.929,0.916,0.92,720217879,663990583,,
2025-10-28,0.919,0.919,0.906,0.908,566477318,515817806,,
2025-10-29,0.908,0.918,0.9,0.918,628024596,571957190,,
2025-10-30,0.912,0.912,0.893,0.894,1019880600,916135384,,
2025-10-31,0.894,0.924,0.893,0.922,1277821311,1169420416,,
2025-11-03,0.927,0.929,0.906,0.916,1138539685,1041629968,,
2025-11-04,0.911,0.913,0.889,0.895,923343501,829042053,,
2025-11-05,0.885,0.902,0.884,0.89,604774059,539324945,,
2025-11-06,0.889,0.895,0.886,0.895,538526291,479589758,,
2025-11-07,0.894,0.894,0.886,0.887,433805443,385866629,,
2025-11-10,0.887,0.896,0.883,0.895,687553003,611933851,,
2025-11-11,0.896,0.897,0.886,0.891,543220330,483362043,,
2025-11-12,0.891,0.907,0.891,0.898,769731548,692561115,,
2025-11-13,0.897,0.917,0.897,0.915,1087269137,989327422,,
2025-11-14,0.907,0.925,0.907,0.911,996366434,913287417,,
2025-11-17,0.91,0.911,0.888,0.894,753324321,673847278,,
2025-11-18,0.891,0.897,0.883,0.888,560912701,499267259,,
2025-11-19,0.887,0.888,0.875,0.879,596338800,524513896,,
2025-11-20,0.882,0.887,0.875,0.876,383756706,337750980,,
2025-11-21,0.871,0.881,0.852,0.856,628108100,542143421,,
2025-11-24,0.86,0.871,0.858,0.868,422213239,365164942,,
2025-11-25,0.871,0.882,0.866,0.873,467024722,409365524,,
2025-11-26,0.876,0.894,0.874,0.883,700448037,620880053,,
