date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.362,1.385,1.344,1.371,799289422,1093450712,,
2025-08-19,1.367,1.377,1.346,1.347,576809652,786325981,,
2025-08-20,1.343,1.399,1.335,1.399,789295774,1081655089,,
2025-08-21,1.406,1.434,1.397,1.403,819463475,1159574833,,
2025-08-22,1.412,1.543,1.412,1.543,1511140652,2256497439,,
2025-08-25,1.59,1.641,1.546,1.592,1438199407,2286123901,,
2025-08-26,1.566,1.596,1.546,1.576,832482498,1310044110,,
2025-08-27,1.594,1.652,1.579,1.58,1010652349,1628847999,,
2025-08-28,1.581,1.7,1.581,1.699,1410011946,2305775762,,
2025-08-29,1.66,1.664,1.62,1.655,1065780497,1749757698,,
2025-09-01,1.675,1.697,1.628,1.681,756856554,1263278234,,
2025-09-02,1.679,1.697,1.617,1.634,752660315,1245230409,,
2025-09-03,1.621,1.634,1.582,1.592,642029371,1031241029,,
2025-09-04,1.59,1.592,1.45,1.475,1031878659,1554077344,,
2025-09-05,1.475,1.539,1.456,1.528,1060267355,1581256936,,
2025-09-08,1.523,1.536,1.497,1.528,647758593,985411484,,
2025-09-09,1.505,1.531,1.489,1.497,519265920,782366929,,
2025-09-10,1.507,1.543,1.501,1.524,507210183,772800642,,
2025-09-11,1.516,1.63,1.508,1.623,833852944,1324443431,,
2025-09-12,1.62,1.678,1.613,1.647,873827589,1440456948,,
2025-09-15,1.697,1.703,1.644,1.658,754434236,1259110016,,
2025-09-16,1.662,1.7,1.661,1.68,665908414,1120809655,,
2025-09-17,1.675,1.714,1.648,1.697,564218212,952548835,,
2025-09-18,1.726,1.806,1.69,1.734,1041019929,1821099395,,
2025-09-19,1.741,1.762,1.701,1.703,745538819,1292973934,,
2025-09-22,1.699,1.79,1.682,1.77,768459960,1340720153,,
2025-09-23,1.772,1.781,1.712,1.767,843288467,1476103742,,
2025-09-24,1.76,1.885,1.757,1.852,1099321341,2002768598,,
2025-09-25,1.85,1.885,1.825,1.86,559015990,1037470346,,
2025-09-26,1.846,1.885,1.833,1.837,578583065,1076311700,,
2025-09-29,1.833,1.86,1.8,1.858,594901061,1091116736,,
2025-09-30,1.886,1.911,1.87,1.893,495010171,938314130,,
2025-10-09,1.934,2.015,1.924,1.943,828374053,1625995320,,
2025-10-10,1.9,1.915,1.815,1.829,907969305,1688964042,,
