date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,,2.97,2.992,2.956,2.971,1099632367,3269602786,,
2025-08-19,,2.969,2.985,2.935,2.937,802699002,2377183204,,
2025-08-20,,2.934,2.976,2.921,2.975,1003750690,2959911661,,
2025-08-21,,2.979,2.999,2.976,2.99,874023648,2611520308,,
2025-08-22,,2.992,3.067,2.992,3.066,1265864867,3839493779,,
2025-08-25,,3.079,3.128,3.074,3.124,1188379707,3686011529,,
2025-08-26,,3.121,3.121,3.094,3.101,727485594,2259143373,,
2025-08-27,,3.103,3.116,3.047,3.051,992806302,3063603360,,
2025-08-28,,3.046,3.097,3.035,3.095,1151366620,3525295588,,
2025-08-29,,3.085,3.122,3.081,3.112,1242740893,3859689659,,
2025-09-01,,3.115,3.122,3.096,3.113,947105873,2943557486,,
2025-09-02,,3.115,3.141,3.1,3.128,779798030,2432778748,,
2025-09-03,,3.128,3.137,3.064,3.087,1119035771,3463114302,,
2025-09-04,,3.083,3.086,3.003,3.034,1495711421,4540923242,,
2025-09-05,,3.033,3.08,3.027,3.072,649923624,1981307539,,
2025-09-08,,3.07,3.083,3.051,3.067,535238452,1640028027,,
2025-09-09,,3.06,3.08,3.044,3.059,851887505,2609463949,,
2025-09-10,,3.056,3.088,3.054,3.072,460363432,1413805970,,
2025-09-11,,3.06,3.124,3.046,3.122,1308600325,4051308693,,
2025-09-12,,3.124,3.136,3.097,3.104,694971852,2166630148,,
2025-09-15,,3.109,3.118,3.089,3.097,542322395,1682296306,,
2025-09-16,,3.1,3.108,3.075,3.082,645047199,1991021244,,
2025-09-17,,3.078,3.094,3.067,3.088,579748039,1787174499,,
2025-09-18,,3.092,3.108,3.02,3.048,1304857521,3998792923,,
2025-09-19,,3.04,3.065,3.038,3.045,655665965,1998501642,,
2025-09-22,,3.044,3.061,3.032,3.054,633104475,1928638675,,
2025-09-23,,3.052,3.07,3.023,3.054,1108592600,3374128682,,
2025-09-24,,3.044,3.077,3.042,3.072,808978400,2479210133,,
