date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.509,1.51,1.489,1.495,293512817,439981897,,
2025-08-19,1.495,1.518,1.495,1.508,261006373,394201743,,
2025-08-20,1.502,1.516,1.492,1.515,151584608,227882463,,
2025-08-21,1.513,1.521,1.506,1.51,112674728,170638688,,
2025-08-22,1.51,1.521,1.507,1.517,131494902,199077096,,
2025-08-25,1.521,1.587,1.521,1.572,382362541,599770021,,
2025-08-26,1.564,1.567,1.542,1.562,200302443,311386184,,
2025-08-27,1.558,1.563,1.508,1.51,202074318,310260533,,
2025-08-28,1.501,1.528,1.497,1.525,264248480,400757010,,
2025-08-29,1.538,1.55,1.515,1.519,141548741,216290493,,
2025-09-01,1.518,1.537,1.511,1.529,160023693,244033354,,
2025-09-02,1.524,1.535,1.509,1.515,154269806,234406862,,
2025-09-03,1.517,1.522,1.488,1.493,88207285,132807307,,
2025-09-04,1.494,1.496,1.463,1.476,112915818,167693735,,
2025-09-05,1.477,1.498,1.466,1.495,153950014,228536573,,
2025-09-08,1.502,1.519,1.501,1.511,125707653,189934660,,
2025-09-09,1.511,1.537,1.509,1.533,214704553,328334804,,
2025-09-10,1.525,1.547,1.524,1.542,120591615,185279263,,
2025-09-11,1.54,1.561,1.523,1.561,143655494,221912342,,
2025-09-12,1.56,1.6,1.558,1.581,209571818,331786293,,
2025-09-15,1.576,1.598,1.557,1.598,210937655,332442131,,
2025-09-16,1.592,1.617,1.592,1.614,247651924,396903373,,
2025-09-17,1.614,1.629,1.592,1.624,193574711,311976794,,
2025-09-18,1.617,1.637,1.571,1.584,298322594,479006402,,
2025-09-19,1.58,1.598,1.556,1.593,161853925,255562902,,
2025-09-22,1.586,1.603,1.562,1.596,149557672,237182505,,
2025-09-23,1.584,1.586,1.53,1.566,180871040,280656431,,
2025-09-24,1.555,1.614,1.555,1.607,206963279,330828462,,
2025-09-25,1.605,1.61,1.587,1.593,226961643,362516235,,
2025-09-26,1.586,1.631,1.581,1.596,200411535,322544331,,
2025-09-29,1.593,1.618,1.579,1.613,158787511,253844282,,
2025-09-30,1.61,1.654,1.61,1.647,261067771,428082038,,
2025-10-09,1.64,1.644,1.598,1.626,165832620,267424202,,
2025-10-10,1.611,1.642,1.611,1.632,108605810,177078172,,
2025-10-13,1.6,1.632,1.589,1.631,256200672,414819677,,
2025-10-14,1.63,1.669,1.619,1.629,181667938,298664017,,
2025-10-15,1.63,1.641,1.612,1.63,135758705,220472247,,
2025-10-16,1.621,1.633,1.607,1.616,104296941,168800376,,
2025-10-17,1.612,1.633,1.596,1.596,183212264,296411429,,
2025-10-20,1.603,1.619,1.597,1.606,84634499,136110228,,
2025-10-21,1.6,1.646,1.596,1.643,142292490,231928025,,
2025-10-22,1.642,1.67,1.637,1.655,123314004,204224000,,
2025-10-23,1.656,1.659,1.616,1.636,92442332,150947804,,
2025-10-24,1.632,1.646,1.614,1.619,155520415,252179959,,
2025-10-27,1.617,1.629,1.614,1.619,98666937,159784985,,
2025-10-28,1.619,1.62,1.606,1.61,90974869,146610287,,
2025-10-29,1.608,1.625,1.604,1.623,92906262,150031171,,
2025-10-30,1.622,1.622,1.597,1.598,92414598,148599136,,
2025-10-31,1.597,1.611,1.596,1.604,82350842,132173985,,
2025-11-03,1.603,1.606,1.588,1.604,143322803,228251196,,
2025-11-04,1.599,1.61,1.588,1.597,85067611,136140935,,
2025-11-05,1.591,1.61,1.578,1.606,100146177,160555976,,
2025-11-06,1.602,1.607,1.594,1.601,70280972,112427292,,
2025-11-07,1.599,1.605,1.594,1.596,54016071,86336318,,
2025-11-10,1.594,1.616,1.592,1.613,94891564,152517731,,
2025-11-11,1.611,1.63,1.61,1.624,86248382,139850402,,
2025-11-12,1.62,1.624,1.604,1.613,62489829,100714021,,
2025-11-13,1.604,1.631,1.592,1.629,92220934,149060714,,
2025-11-14,1.623,1.653,1.621,1.635,134588374,221200946,,
2025-11-17,1.634,1.652,1.63,1.652,148678520,244108422,,
2025-11-18,1.65,1.654,1.608,1.617,130805826,212276379,,
2025-11-19,1.606,1.618,1.58,1.589,127237622,202869586,,
2025-11-20,1.586,1.617,1.564,1.594,453200304,720304796,,
2025-11-21,1.57,1.589,1.54,1.542,180505118,281610955,,
2025-11-24,1.539,1.56,1.533,1.544,475651013,735968682,,
2025-11-25,1.539,1.563,1.535,1.556,159175356,246805353,,
2025-11-26,1.553,1.572,1.545,1.548,194125992,301723071,,
2025-11-27,1.541,1.553,1.516,1.54,197783629,304836311,,
2025-11-28,1.532,1.544,1.515,1.543,86261620,131772473,,
2025-12-01,1.543,1.556,1.538,1.544,113460850,175191949,,
2025-12-02,1.541,1.548,1.524,1.542,127019029,195594915,,
2025-12-03,1.539,1.544,1.517,1.518,77158817,117863607,,
2025-12-04,1.519,1.523,1.498,1.506,87046866,131384772,,
2025-12-05,1.504,1.513,1.483,1.511,111803172,167749471,,
2025-12-08,1.508,1.525,1.507,1.519,85052502,129047895,,
2025-12-09,1.515,1.515,1.486,1.488,147453459,219957420,,
2025-12-10,1.48,1.543,1.478,1.534,312415373,474045981,,
2025-12-11,1.52,1.525,1.482,1.483,158018722,236693609,,
2025-12-12,1.486,1.492,1.476,1.479,95339527,141506865,,
2025-12-15,1.465,1.475,1.459,1.463,141667423,207808101,,
2025-12-16,1.461,1.47,1.436,1.449,128242999,186034333,,
2025-12-17,1.44,1.45,1.423,1.448,116938945,167927777,,
2025-12-18,1.441,1.456,1.441,1.443,85229109,123506379,,
2025-12-19,1.44,1.473,1.44,1.47,122274871,178548380,,
2025-12-22,1.47,1.493,1.467,1.488,111476336,165375033,,
2025-12-23,1.488,1.49,1.471,1.473,66375135,98240341,,
2025-12-24,1.473,1.488,1.47,1.483,72854310,107834738,,
2025-12-25,1.489,1.497,1.483,1.494,187903545,279392662,,
2025-12-26,1.487,1.515,1.487,1.501,99050643,148817273,,
