date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.352,1.368,1.332,1.352,390765890,528215552,,
2025-08-19,1.349,1.365,1.338,1.344,346303796,467626718,,
2025-08-20,1.334,1.368,1.332,1.356,172653135,233172099,,
2025-08-21,1.355,1.377,1.343,1.351,247470325,335870132,,
2025-08-22,1.347,1.374,1.347,1.368,242755566,331068149,,
2025-08-25,1.4,1.45,1.392,1.446,576397248,818886819,,
2025-08-26,1.441,1.444,1.414,1.427,464932226,663298214,,
2025-08-27,1.435,1.452,1.414,1.417,475231557,680821262,,
2025-08-28,1.415,1.444,1.402,1.443,460592102,657351475,,
2025-08-29,1.445,1.492,1.445,1.486,324122487,477320213,,
2025-09-01,1.516,1.534,1.473,1.533,623550225,942237645,,
2025-09-02,1.543,1.555,1.499,1.511,823133833,1252318553,,
2025-09-03,1.533,1.545,1.483,1.506,512335192,775490695,,
2025-09-04,1.5,1.517,1.414,1.444,702624472,1026054870,,
2025-09-05,1.431,1.508,1.431,1.507,492192707,727484743,,
2025-09-08,1.538,1.538,1.491,1.504,458408333,690756134,,
2025-09-09,1.505,1.549,1.499,1.515,600363759,915778243,,
2025-09-10,1.494,1.515,1.475,1.5,482134034,721488606,,
2025-09-11,1.495,1.525,1.49,1.524,368122053,556123556,,
2025-09-12,1.538,1.578,1.533,1.562,654339700,1018166047,,
2025-09-15,1.549,1.559,1.531,1.535,464055624,716447086,,
2025-09-16,1.551,1.556,1.481,1.515,841742038,1269653573,,
2025-09-17,1.502,1.52,1.488,1.518,530223836,797713416,,
2025-09-18,1.499,1.5,1.444,1.464,774081751,1145287512,,
2025-09-19,1.46,1.495,1.46,1.483,451014720,667891624,,
2025-09-22,1.498,1.504,1.467,1.497,358770443,532385391,,
2025-09-23,1.497,1.519,1.459,1.483,530334081,789934411,,
2025-09-24,1.474,1.504,1.473,1.503,430750292,642457640,,
2025-09-25,1.529,1.548,1.518,1.533,634450202,974204643,,
2025-09-26,1.531,1.566,1.526,1.532,471850322,728550439,,
2025-09-29,1.551,1.596,1.533,1.595,592114709,929013070,,
