date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.246,1.272,1.246,1.27,1005694627,1266928893,,
2025-08-19,1.271,1.272,1.245,1.248,1083463092,1355369352,,
2025-08-20,1.244,1.258,1.235,1.257,1029413359,1284391712,,
2025-08-21,1.257,1.261,1.242,1.249,860030722,1077006898,,
2025-08-22,1.249,1.28,1.242,1.279,1004447767,1267841441,,
2025-08-25,1.282,1.305,1.277,1.304,1177240089,1519202366,,
2025-08-26,1.302,1.304,1.29,1.295,634606993,823175228,,
2025-08-27,1.293,1.306,1.271,1.272,1009926669,1305565615,,
2025-08-28,1.275,1.299,1.252,1.299,1150637867,1470710122,,
2025-08-29,1.297,1.311,1.288,1.311,1259029858,1638249711,,
2025-09-01,1.312,1.313,1.284,1.307,1159379599,1502792838,,
2025-09-02,1.306,1.306,1.257,1.274,1440131417,1834177400,,
2025-09-03,1.278,1.281,1.197,1.202,2063231416,2542687187,,
2025-09-04,1.197,1.202,1.148,1.166,1154815521,1360524419,,
2025-09-05,1.166,1.188,1.159,1.184,873182030,1025691925,,
2025-09-08,1.188,1.195,1.173,1.193,563916030,668301647,,
2025-09-09,1.19,1.19,1.166,1.168,472733079,556543544,,
2025-09-10,1.167,1.186,1.166,1.178,469224736,552825649,,
2025-09-11,1.177,1.205,1.172,1.203,681092700,811156153,,
2025-09-12,1.203,1.211,1.197,1.2,572909006,689843717,,
2025-09-15,1.2,1.2,1.187,1.191,467506640,557233003,,
2025-09-16,1.189,1.19,1.17,1.185,588305138,694794661,,
2025-09-17,1.184,1.192,1.177,1.19,465149745,552049936,,
2025-09-18,1.189,1.211,1.172,1.184,971487109,1162855630,,
2025-09-19,1.182,1.208,1.181,1.195,794850263,952491066,,
2025-09-22,1.193,1.202,1.185,1.201,482930470,576680002,,
2025-09-23,1.205,1.21,1.17,1.192,632524729,750281169,,
2025-09-24,1.183,1.205,1.178,1.203,523817369,625833209,,
2025-09-25,1.201,1.206,1.192,1.2,537905781,645539751,,
2025-09-26,1.195,1.214,1.189,1.196,699088513,840980974,,
2025-09-29,1.193,1.207,1.181,1.2,642998371,768508188,,
2025-09-30,1.203,1.236,1.202,1.234,850540532,1040349268,,
2025-10-09,1.234,1.25,1.224,1.248,1001009840,1241549229,,
2025-10-10,1.246,1.25,1.23,1.233,587458759,728382157,,
2025-10-13,1.201,1.25,1.199,1.249,676825126,834930359,,
2025-10-14,1.252,1.264,1.226,1.233,862241504,1072129306,,
2025-10-15,1.232,1.232,1.206,1.23,646985924,790262756,,
2025-10-16,1.23,1.236,1.214,1.218,439463217,538073814,,
2025-10-17,1.214,1.222,1.173,1.177,711413941,849395920,,
2025-10-20,1.184,1.195,1.172,1.18,361064919,426889530,,
2025-10-21,1.182,1.197,1.181,1.196,346154096,412769058,,
2025-10-22,1.193,1.193,1.18,1.182,310632104,367660279,,
2025-10-23,1.178,1.179,1.158,1.178,413288354,482242822,,
2025-10-24,1.185,1.21,1.185,1.208,642242288,772613385,,
2025-10-27,1.212,1.223,1.212,1.222,561287492,683753512,,
2025-10-28,1.223,1.242,1.215,1.236,810091973,1000202578,,
2025-10-29,1.236,1.246,1.23,1.243,650750676,806511857,,
2025-10-30,1.235,1.237,1.218,1.219,569958176,699208758,,
2025-10-31,1.217,1.221,1.202,1.204,461468549,558803229,,
2025-11-03,1.204,1.212,1.188,1.212,377261324,452974590,,
2025-11-04,1.209,1.21,1.188,1.195,370748023,443847054,,
2025-11-05,1.182,1.196,1.18,1.193,236724816,280994538,,
2025-11-06,1.193,1.207,1.191,1.203,275960100,331395954,,
2025-11-07,1.199,1.203,1.188,1.195,261256400,312445546,,
2025-11-10,1.196,1.202,1.182,1.193,278755400,332211185,,
2025-11-11,1.194,1.198,1.18,1.181,314102000,372717906,,
2025-11-12,1.178,1.179,1.155,1.17,755327817,880427209,,
2025-11-13,1.168,1.183,1.166,1.179,417948874,492022436,,
2025-11-14,1.176,1.187,1.171,1.174,305000677,359714890,,
2025-11-17,1.199,1.202,1.183,1.188,788462677,940973747,,
2025-11-18,1.186,1.186,1.167,1.172,432247700,506889925,,
2025-11-19,1.171,1.184,1.166,1.178,469832453,553042041,,
2025-11-20,1.175,1.177,1.165,1.165,331769700,388021632,,
2025-11-21,1.155,1.164,1.136,1.142,579138996,663818064,,
2025-11-24,1.145,1.19,1.145,1.188,996184508,1169450525,,
2025-11-25,1.187,1.191,1.173,1.182,616427000,729821060,,
2025-11-26,1.179,1.182,1.158,1.16,512684360,597013146,,
2025-11-27,1.157,1.166,1.154,1.158,270595306,314039112,,
2025-11-28,1.159,1.173,1.156,1.172,294151908,342591904,,
2025-12-01,1.179,1.191,1.177,1.184,386229838,457477821,,
2025-12-02,1.184,1.19,1.177,1.181,425622742,503069762,,
2025-12-03,1.179,1.182,1.163,1.169,426947769,499843462,,
2025-12-04,1.163,1.183,1.162,1.176,240562497,282434804,,
2025-12-05,1.172,1.206,1.17,1.204,546319179,651706126,,
2025-12-08,1.216,1.236,1.216,1.216,661167142,810575070,,
2025-12-09,1.214,1.23,1.21,1.215,334673083,408055571,,
2025-12-10,1.21,1.227,1.208,1.225,260903028,318286941,,
2025-12-11,1.23,1.24,1.219,1.22,383630220,471409953,,
2025-12-12,1.22,1.236,1.215,1.233,519022724,638329853,,
2025-12-15,1.233,1.254,1.222,1.245,433041297,538019527,,
2025-12-16,1.241,1.241,1.206,1.226,479797000,585243601,,
2025-12-17,1.217,1.232,1.205,1.226,306546279,373352593,,
2025-12-18,1.218,1.256,1.216,1.239,438048584,544765593,,
2025-12-19,1.242,1.267,1.242,1.255,358732984,450275051,,
2025-12-22,1.265,1.274,1.256,1.262,332473946,420688556,,
2025-12-23,1.264,1.271,1.238,1.243,426962749,534137691,,
2025-12-24,1.237,1.281,1.236,1.278,539386477,684162738,,
2025-12-25,1.277,1.32,1.275,1.317,690912436,901599778,,
2025-12-26,1.318,1.342,1.312,1.332,525547947,697910130,,
2025-12-29,1.333,1.354,1.33,1.35,627073600,843981504,,
2025-12-30,1.344,1.37,1.334,1.34,478698124,646294135,,
2025-12-31,1.338,1.377,1.335,1.373,488860009,663303907,,
2026-01-05,1.393,1.415,1.374,1.407,443287794,619331865,,
2026-01-06,1.398,1.455,1.396,1.453,357351383,509102210,,
2026-01-07,1.447,1.455,1.422,1.44,379881479,547081662,,
2026-01-08,1.432,1.507,1.43,1.505,606486189,898164332,,
2026-01-09,1.526,1.587,1.517,1.567,882136907,1364372449,,
2026-01-12,1.588,1.684,1.585,1.682,809767251,1318363300,,
2026-01-13,1.654,1.654,1.541,1.552,923147457,1449874598,,
2026-01-14,1.541,1.61,1.539,1.563,853152504,1340922457,,
2026-01-15,1.531,1.545,1.495,1.503,513449865,777577807,,
2026-01-16,1.507,1.525,1.482,1.495,445094085,667746720,,
2026-01-19,1.48,1.542,1.479,1.526,439316076,665504093,,
2026-01-20,1.524,1.536,1.46,1.477,559668420,831605447,,
2026-01-21,1.468,1.5,1.467,1.479,303873203,451394468,,
2026-01-22,1.48,1.528,1.479,1.526,392873880,595206443,,
2026-01-23,1.533,1.58,1.52,1.574,515972606,803893329,,
2026-01-26,1.566,1.566,1.495,1.503,556412495,846634466,,
2026-01-27,1.483,1.529,1.48,1.525,365782168,550787150,,
2026-01-28,1.527,1.527,1.492,1.503,396439035,595684852,,
2026-01-29,1.49,1.505,1.47,1.473,417626047,619772191,,
2026-01-30,1.461,1.476,1.418,1.446,424774135,612704942,,
2026-02-02,1.444,1.469,1.416,1.42,287963961,414512687,,
2026-02-03,1.436,1.483,1.427,1.483,446594610,650992637,,
2026-02-04,1.477,1.505,1.464,1.485,306176930,454343327,,
2026-02-05,1.467,1.493,1.459,1.466,212304364,312195674,,
2026-02-06,1.45,1.467,1.435,1.44,241254200,349736698,,
2026-02-09,1.462,1.47,1.448,1.466,224852942,328619647,,
2026-02-10,1.467,1.475,1.443,1.469,316329214,463237400,,
2026-02-11,1.465,1.483,1.456,1.458,243044418,357416951,,
2026-02-12,1.456,1.481,1.449,1.478,227381800,334162188,,
2026-02-13,1.474,1.498,1.47,1.483,381236300,566876222,,
2026-02-24,1.491,1.516,1.481,1.501,435177500,652715813,,
