date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.582,0.587,0.581,0.585,2567602335,1499874109,,
2025-08-19,0.585,0.599,0.584,0.594,3658813712,2172542470,,
2025-08-20,0.592,0.612,0.589,0.609,3595937927,2176657700,,
2025-08-21,0.609,0.61,0.601,0.603,2182946233,1319537658,,
2025-08-22,0.603,0.609,0.601,0.609,2085489845,1261783288,,
2025-08-25,0.611,0.634,0.61,0.632,3836375739,2392100022,,
2025-08-26,0.63,0.639,0.623,0.63,2998449918,1891668779,,
2025-08-27,0.629,0.629,0.611,0.612,4014574425,2486677526,,
2025-08-28,0.61,0.616,0.598,0.609,3129672465,1897956266,,
2025-08-29,0.612,0.628,0.611,0.625,3240639650,2016885464,,
2025-09-01,0.623,0.626,0.618,0.622,2642632710,1641786354,,
2025-09-02,0.621,0.634,0.617,0.62,3007733700,1877863130,,
2025-09-03,0.622,0.63,0.609,0.611,2261595110,1395818009,,
2025-09-04,0.611,0.612,0.602,0.612,2218915229,1348762371,,
2025-09-05,0.611,0.616,0.604,0.615,2260296505,1379633182,,
2025-09-08,0.614,0.625,0.612,0.624,2295321312,1425301177,,
2025-09-09,0.623,0.625,0.616,0.624,1891124536,1173426420,,
2025-09-10,0.624,0.631,0.618,0.624,2143432457,1340385060,,
2025-09-11,0.621,0.628,0.62,0.628,2113146357,1317778861,,
2025-09-12,0.628,0.637,0.62,0.621,2335669647,1460640299,,
2025-09-15,0.619,0.621,0.616,0.619,1635322527,1011912451,,
2025-09-16,0.621,0.622,0.615,0.619,1337568000,826385606,,
2025-09-17,0.618,0.62,0.612,0.614,1587864327,975165851,,
2025-09-18,0.614,0.614,0.599,0.603,2515278159,1525916786,,
2025-09-19,0.602,0.607,0.595,0.606,2277164382,1368203747,,
2025-09-22,0.603,0.603,0.595,0.596,1751715101,1046397635,,
2025-09-23,0.595,0.598,0.588,0.593,1591958505,942711899,,
2025-09-24,0.591,0.597,0.59,0.593,1426090216,846047561,,
