date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.903,1.904,1.894,1.895,74201699,140963252,,
2025-08-19,1.892,1.892,1.885,1.891,33406000,63091091,,
2025-08-20,1.884,1.884,1.878,1.879,51042100,95997849,,
2025-08-21,1.88,1.883,1.875,1.876,42735400,80318901,,
2025-08-22,1.877,1.879,1.87,1.87,39311883,73658765,,
2025-08-25,1.886,1.889,1.883,1.884,45430700,85642788,,
2025-08-26,1.87,1.872,1.863,1.866,53901600,100669895,,
2025-08-27,1.873,1.873,1.867,1.869,29678700,55491548,,
2025-08-28,1.86,1.867,1.859,1.866,42239581,78696486,,
2025-08-29,1.857,1.86,1.852,1.854,47706681,88486574,,
2025-09-01,1.851,1.864,1.851,1.863,41436700,76935349,,
2025-09-02,1.866,1.875,1.858,1.866,48756000,90885500,,
2025-09-03,1.836,1.838,1.825,1.833,78591500,143994099,,
2025-09-04,1.837,1.843,1.833,1.843,66526100,122244067,,
2025-09-05,1.862,1.862,1.848,1.855,52374600,97113368,,
2025-09-08,1.843,1.851,1.842,1.85,32055000,59140590,,
2025-09-09,1.853,1.854,1.848,1.853,36307600,67231612,,
2025-09-10,1.851,1.852,1.847,1.852,30979600,57306806,,
2025-09-11,1.844,1.844,1.834,1.842,49682500,91316107,,
2025-09-12,1.842,1.847,1.841,1.846,49165300,90640687,,
2025-09-15,1.842,1.848,1.838,1.846,43973100,80993301,,
2025-09-16,1.844,1.853,1.844,1.851,47987800,88680362,,
2025-09-17,1.83,1.837,1.828,1.836,42791100,78484435,,
2025-09-18,1.841,1.841,1.829,1.831,67473300,123697787,,
2025-09-19,1.843,1.849,1.84,1.848,66011100,121721114,,
2025-09-22,1.844,1.844,1.83,1.832,51722600,94984401,,
2025-09-23,1.835,1.84,1.832,1.839,45932900,84316135,,
2025-09-24,1.831,1.837,1.83,1.835,47754900,87547085,,
2025-09-25,1.836,1.837,1.831,1.832,50030700,91800163,,
2025-09-26,1.817,1.822,1.815,1.821,65976500,119940772,,
2025-09-29,1.836,1.841,1.834,1.838,70479000,129483580,,
2025-09-30,1.833,1.838,1.831,1.836,49471099,90755422,,
2025-10-09,1.885,1.89,1.882,1.886,124086300,233887438,,
2025-10-10,1.878,1.88,1.874,1.877,59963600,112593741,,
2025-10-13,1.854,1.868,1.852,1.865,63071800,117510951,,
2025-10-14,1.866,1.869,1.849,1.851,57112100,105998716,,
2025-10-15,1.858,1.871,1.857,1.868,73365800,136923265,,
2025-10-16,1.86,1.865,1.857,1.863,38250800,71190724,,
2025-10-17,1.858,1.859,1.845,1.846,38816400,71883609,,
2025-10-20,1.847,1.867,1.847,1.863,66606100,123832212,,
2025-10-21,1.886,1.889,1.877,1.885,88343498,166509844,,
2025-10-22,1.882,1.907,1.882,1.902,151955898,288428662,,
2025-10-23,1.886,1.889,1.876,1.884,49628500,93376883,,
2025-10-24,1.885,1.909,1.883,1.893,44212000,83865520,,
2025-10-27,1.899,1.907,1.895,1.905,50910500,96820592,,
2025-10-28,1.898,1.904,1.889,1.896,46690300,88458142,,
2025-10-29,1.896,1.901,1.888,1.892,27428700,51912356,,
2025-10-30,1.881,1.89,1.878,1.879,36605700,68915804,,
2025-10-31,1.878,1.878,1.863,1.867,22464300,41992430,,
2025-11-03,1.862,1.873,1.86,1.866,36474200,68082993,,
2025-11-04,1.869,1.872,1.853,1.858,22659800,42206313,,
2025-11-05,1.843,1.853,1.824,1.849,35111003,64623333,,
2025-11-06,1.856,1.867,1.856,1.866,22101400,41136822,,
2025-11-07,1.842,1.847,1.835,1.84,67316900,123756668,,
2025-11-10,1.846,1.859,1.843,1.858,57259500,105921162,,
2025-11-11,1.868,1.869,1.861,1.863,37983100,70844270,,
2025-11-12,1.873,1.887,1.872,1.883,55062500,103458474,,
2025-11-13,1.897,1.902,1.893,1.898,54350300,103111169,,
2025-11-14,1.873,1.892,1.863,1.868,34449100,64469061,,
2025-11-17,1.868,1.868,1.847,1.857,25660607,47669216,,
2025-11-18,1.835,1.838,1.82,1.821,42714300,78167060,,
2025-11-19,1.811,1.819,1.81,1.819,41006879,74422113,,
2025-11-20,1.832,1.84,1.827,1.84,40083600,73469082,,
2025-11-21,1.808,1.81,1.801,1.803,35019300,63218321,,
2025-11-24,1.812,1.83,1.811,1.823,26750501,48666341,,
2025-11-25,1.822,1.828,1.811,1.826,26581200,48386259,,
2025-11-26,1.845,1.863,1.84,1.857,50833400,94075104,,
2025-11-27,1.869,1.869,1.841,1.845,50015000,92727405,,
2025-11-28,1.85,1.85,1.843,1.846,21339900,39413490,,
2025-12-01,1.842,1.85,1.835,1.842,27675757,50997931,,
2025-12-02,1.84,1.841,1.829,1.831,23169600,42503875,,
2025-12-03,1.839,1.854,1.836,1.841,38606500,71124990,,
2025-12-04,1.845,1.85,1.842,1.848,34957600,64564145,,
2025-12-05,1.848,1.855,1.848,1.851,42625700,78959704,,
2025-12-08,1.854,1.856,1.847,1.849,33700300,62417733,,
2025-12-09,1.852,1.852,1.835,1.842,27180800,50088028,,
2025-12-10,1.839,1.855,1.839,1.85,35223400,65086749,,
2025-12-11,1.85,1.857,1.837,1.844,26008900,48041309,,
2025-12-12,1.861,1.873,1.861,1.872,51306700,95917665,,
2025-12-15,1.865,1.869,1.856,1.865,40211600,74952593,,
2025-12-16,1.858,1.86,1.851,1.853,29353000,54435767,,
2025-12-17,1.849,1.858,1.846,1.852,31332500,58030023,,
2025-12-18,1.837,1.84,1.833,1.835,22106100,40572686,,
2025-12-19,1.848,1.854,1.844,1.854,32586800,60245871,,
2025-12-22,1.862,1.888,1.861,1.873,51139368,95917999,,
2025-12-23,1.869,1.884,1.869,1.873,25700400,48191893,,
2025-12-24,1.88,1.884,1.878,1.88,16232000,30531005,,
2025-12-25,1.883,1.883,1.874,1.875,13528300,25397731,,
2025-12-26,1.877,1.879,1.875,1.876,12197500,22893756,,
2025-12-29,1.876,1.876,1.863,1.87,43735600,81638824,,
2025-12-30,1.871,1.871,1.86,1.863,27989900,52196926,,
2025-12-31,1.872,1.874,1.869,1.872,27654098,51746601,,
2026-01-05,1.872,1.89,1.87,1.89,53001299,99666605,,
2026-01-06,1.9,1.91,1.896,1.905,45426407,86460228,,
2026-01-07,1.904,1.916,1.9,1.905,30112500,57464409,,
2026-01-08,1.917,1.923,1.909,1.915,40937300,78453725,,
2026-01-09,1.912,1.929,1.912,1.924,32948900,63411714,,
2026-01-12,1.927,2.014,1.927,1.947,155286700,305996950,,
2026-01-13,1.96,2.011,1.952,1.986,135196300,267240114,,
2026-01-14,1.985,2.004,1.958,1.968,105321500,209240685,,
2026-01-15,1.964,1.969,1.947,1.952,39173400,76632363,,
2026-01-16,1.945,1.947,1.938,1.942,36100300,70098785,,
2026-01-19,1.921,1.93,1.897,1.898,69804800,132987314,,
2026-01-20,1.891,1.891,1.879,1.883,62641300,117989629,,
2026-01-21,1.875,1.895,1.872,1.887,48067400,90556848,,
2026-01-22,1.9,1.911,1.88,1.904,58371700,111156751,,
2026-01-23,1.905,1.914,1.898,1.908,42448600,80934228,,
2026-01-26,1.909,1.909,1.89,1.899,59932400,113589869,,
2026-01-27,1.906,1.925,1.906,1.924,52246500,100092111,,
2026-01-28,1.922,1.944,1.921,1.934,58363900,112669219,,
2026-01-29,1.919,1.929,1.915,1.92,40902800,78568935,,
2026-01-30,1.89,1.899,1.876,1.885,60125800,113452151,,
2026-02-02,1.885,1.893,1.851,1.855,55231400,103373591,,
2026-02-03,1.887,1.898,1.884,1.896,46876343,88576500,,
2026-02-04,1.885,1.895,1.883,1.894,18119700,34207214,,
2026-02-05,1.884,1.884,1.87,1.875,23525100,44139440,,
2026-02-06,1.855,1.881,1.852,1.862,34357800,64135564,,
2026-02-09,1.889,1.9,1.882,1.899,37803600,71528419,,
2026-02-10,1.907,1.921,1.906,1.919,45583600,87194367,,
2026-02-11,1.915,1.923,1.912,1.918,22974243,44051506,,
2026-02-12,1.918,1.974,1.916,1.943,266791300,519759001,,
2026-02-13,1.951,1.996,1.924,1.959,171469400,336301682,,
2026-02-24,1.952,1.992,1.945,1.98,98971510,195679729,,
2026-02-25,1.987,1.995,1.961,1.97,75016900,148337768,,
2026-02-26,1.978,2.01,1.978,1.995,132767490,265065115,,
2026-02-27,2.014,2.077,1.99,2.036,385455235,785603090,,
2026-03-02,2.004,2.027,1.95,1.958,127564400,254241791,,
2026-03-03,1.95,2.004,1.899,1.903,156965100,306900063,,
2026-03-04,1.88,1.884,1.821,1.826,92800700,172441336,,
2026-03-05,1.873,1.904,1.851,1.865,124500400,232927810,,
2026-03-06,1.836,1.865,1.836,1.859,77994100,144204102,,
2026-03-09,1.798,1.8,1.766,1.787,177929000,317034585,,
