date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.759,1.762,1.75,1.753,24047300,42242563,,
2025-08-19,1.747,1.748,1.741,1.747,13681200,23852879,,
2025-08-20,1.754,1.754,1.749,1.75,25446600,44567537,,
2025-08-21,1.756,1.76,1.75,1.751,15027700,26379261,,
2025-08-22,1.746,1.749,1.739,1.741,17938300,31273187,,
2025-08-25,1.76,1.76,1.754,1.756,14790600,25978055,,
2025-08-26,1.726,1.735,1.711,1.712,122295400,210244254,,
2025-08-27,1.701,1.711,1.701,1.707,54668600,93255527,,
2025-08-28,1.707,1.713,1.704,1.713,55367200,94555461,,
2025-08-29,1.709,1.709,1.702,1.707,28883400,49248548,,
2025-09-01,1.701,1.713,1.701,1.712,25346800,43228910,,
2025-09-02,1.71,1.71,1.7,1.708,26210100,44684286,,
2025-09-03,1.697,1.697,1.687,1.693,28210100,47735982,,
2025-09-04,1.7,1.704,1.694,1.695,46652900,79249288,,
2025-09-05,1.698,1.707,1.698,1.705,37718000,64204963,,
2025-09-08,1.698,1.705,1.696,1.704,27493800,46720325,,
2025-09-09,1.709,1.715,1.706,1.714,44455000,76041353,,
2025-09-10,1.715,1.716,1.712,1.715,27261700,46739049,,
2025-09-11,1.71,1.71,1.704,1.709,33828000,57737121,,
2025-09-12,1.721,1.729,1.718,1.728,48256400,83174224,,
2025-09-15,1.721,1.734,1.72,1.733,22414100,38686019,,
2025-09-16,1.739,1.746,1.739,1.743,33377600,58141695,,
2025-09-17,1.734,1.741,1.733,1.739,29910500,51929019,,
2025-09-18,1.729,1.733,1.723,1.726,39812400,68800777,,
2025-09-19,1.735,1.737,1.731,1.736,35318800,61269026,,
2025-09-22,1.733,1.734,1.725,1.728,23598400,40813968,,
2025-09-23,1.731,1.739,1.731,1.738,28897700,50118828,,
2025-09-24,1.736,1.742,1.734,1.742,19304100,33571803,,
2025-09-25,1.726,1.73,1.72,1.722,45418000,78405146,,
2025-09-26,1.713,1.72,1.711,1.718,30316100,51969551,,
2025-09-29,1.734,1.742,1.733,1.739,32426500,56319834,,
2025-09-30,1.739,1.74,1.735,1.739,18216887,31646513,,
2025-10-09,1.765,1.766,1.761,1.761,37853000,66733741,,
2025-10-10,1.752,1.753,1.747,1.75,21546900,37718118,,
2025-10-13,1.734,1.741,1.71,1.737,31784825,55166145,,
2025-10-14,1.733,1.735,1.717,1.719,29413000,50796758,,
2025-10-15,1.752,1.768,1.739,1.766,111240100,195885821,,
2025-10-16,1.768,1.778,1.767,1.777,24114100,42744068,,
2025-10-17,1.792,1.799,1.78,1.783,40390600,72381776,,
2025-10-20,1.802,1.819,1.801,1.813,68813400,124691383,,
2025-10-21,1.813,1.83,1.809,1.815,55937100,101738086,,
2025-10-22,1.814,1.888,1.812,1.825,323280500,596789277,,
2025-10-23,1.823,1.845,1.813,1.829,143011300,261540156,,
2025-10-24,1.829,1.851,1.829,1.842,54258000,99885527,,
2025-10-27,1.846,1.858,1.843,1.855,33019000,61082078,,
2025-10-28,1.856,1.856,1.796,1.835,39086200,71899205,,
2025-10-29,1.838,1.844,1.826,1.834,18985153,34808026,,
2025-10-30,1.83,1.846,1.823,1.827,30311800,55518282,,
2025-10-31,1.823,1.825,1.8,1.806,24178600,43779319,,
2025-11-03,1.806,1.816,1.803,1.804,21289300,38531079,,
2025-11-04,1.799,1.8,1.775,1.786,22542800,40309720,,
2025-11-05,1.775,1.775,1.758,1.775,24265900,42873825,,
2025-11-06,1.774,1.793,1.774,1.792,18581300,33138930,,
2025-11-07,1.767,1.778,1.766,1.771,17124000,30294068,,
2025-11-10,1.773,1.795,1.773,1.794,24089000,43045679,,
2025-11-11,1.802,1.808,1.797,1.805,28463100,51306986,,
2025-11-12,1.819,1.84,1.816,1.836,53375800,97618407,,
2025-11-13,1.848,1.851,1.832,1.837,35701900,65657144,,
2025-11-14,1.827,1.842,1.817,1.828,33605800,61442381,,
2025-11-17,1.83,1.831,1.806,1.812,20802100,37767562,,
2025-11-18,1.795,1.798,1.77,1.771,33096800,58970558,,
2025-11-19,1.768,1.778,1.762,1.778,20503800,36304727,,
2025-11-20,1.793,1.796,1.784,1.793,35586500,63668616,,
2025-11-21,1.755,1.765,1.745,1.754,36900000,64713957,,
2025-11-24,1.764,1.786,1.764,1.784,22076400,39246043,,
2025-11-25,1.781,1.781,1.771,1.774,34328300,60902770,,
2025-11-26,1.789,1.819,1.783,1.818,53487200,96480142,,
2025-11-27,1.83,1.83,1.796,1.805,52648500,95233703,,
2025-11-28,1.805,1.809,1.793,1.807,32654200,58841627,,
2025-12-01,1.803,1.811,1.794,1.798,23848435,42969910,,
2025-12-02,1.796,1.806,1.796,1.802,16088570,28988513,,
2025-12-03,1.802,1.808,1.796,1.804,17675900,31851060,,
2025-12-04,1.807,1.821,1.806,1.819,23992035,43504630,,
2025-12-05,1.818,1.832,1.814,1.815,30757700,56085917,,
2025-12-08,1.817,1.819,1.804,1.806,20395500,36935091,,
2025-12-09,1.807,1.808,1.782,1.791,18886000,33848590,,
2025-12-10,1.78,1.787,1.773,1.787,14482100,25780975,,
2025-12-11,1.788,1.79,1.778,1.781,9910000,17690526,,
2025-12-12,1.791,1.807,1.79,1.8,23218900,41746773,,
2025-12-15,1.784,1.793,1.781,1.788,12901700,23057400,,
2025-12-16,1.797,1.799,1.786,1.787,18497400,33125955,,
2025-12-17,1.788,1.799,1.787,1.798,17422800,31211898,,
2025-12-18,1.78,1.789,1.777,1.781,15934400,28394703,,
2025-12-19,1.791,1.794,1.785,1.792,15284000,27365725,,
2025-12-22,1.797,1.81,1.793,1.805,19790300,35673969,,
2025-12-23,1.806,1.806,1.795,1.797,16457000,29583012,,
2025-12-24,1.795,1.799,1.794,1.799,11651700,20940724,,
2025-12-25,1.797,1.8,1.795,1.8,6006000,10794519,,
2025-12-26,1.801,1.804,1.798,1.802,7515200,13534952,,
2025-12-29,1.802,1.802,1.783,1.786,9991200,17865510,,
2025-12-30,1.787,1.788,1.779,1.782,7901900,14083772,,
2025-12-31,1.789,1.792,1.786,1.79,9732942,17407452,,
2026-01-05,1.795,1.814,1.793,1.812,19508003,35176965,,
2026-01-06,1.808,1.816,1.804,1.815,22177400,40173418,,
2026-01-07,1.818,1.824,1.814,1.82,18102500,32913042,,
2026-01-08,1.816,1.816,1.799,1.805,17422200,31496432,,
2026-01-09,1.807,1.814,1.8,1.805,20917300,37781245,,
2026-01-12,1.826,1.835,1.819,1.829,31527700,57651567,,
2026-01-13,1.829,1.842,1.826,1.835,28858100,52924376,,
2026-01-14,1.831,1.832,1.824,1.83,14171400,25906311,,
2026-01-15,1.826,1.83,1.822,1.825,10009490,18269966,,
2026-01-16,1.823,1.823,1.81,1.811,15639000,28365876,,
2026-01-19,1.791,1.791,1.771,1.772,32665000,58161055,,
2026-01-20,1.763,1.768,1.745,1.752,43031900,75435375,,
2026-01-21,1.75,1.769,1.748,1.766,27640900,48635875,,
2026-01-22,1.776,1.79,1.776,1.785,32450200,57846684,,
2026-01-23,1.786,1.828,1.781,1.791,46304100,83112177,,
2026-01-26,1.795,1.795,1.777,1.781,20907000,37252742,,
2026-01-27,1.785,1.798,1.785,1.795,23950900,42955296,,
2026-01-28,1.797,1.814,1.797,1.809,25908650,46778817,,
2026-01-29,1.8,1.8,1.784,1.796,22109500,39610058,,
2026-01-30,1.797,1.797,1.774,1.775,28577700,50918657,,
2026-02-02,1.782,1.783,1.75,1.753,29193300,51538480,,
2026-02-03,1.779,1.788,1.777,1.787,23879300,42584084,,
2026-02-04,1.775,1.782,1.774,1.781,9807800,17438525,,
2026-02-05,1.794,1.799,1.786,1.79,26620000,47716949,,
2026-02-06,1.781,1.794,1.772,1.787,20125100,35923340,,
2026-02-09,1.805,1.812,1.801,1.811,28972900,52319895,,
2026-02-10,1.813,1.815,1.81,1.812,19844700,35984663,,
2026-02-11,1.818,1.818,1.811,1.816,22966000,41673947,,
2026-02-12,1.85,1.956,1.821,1.899,702544793,1339806914,,
2026-02-13,1.95,1.991,1.902,1.905,576723547,1128162695,,
2026-02-24,1.935,2.0,1.935,1.983,214712322,423610817,,
2026-02-25,1.985,2.031,1.956,1.963,240579960,478328639,,
2026-02-26,1.986,2.053,1.986,2.007,417042466,843593818,,
2026-02-27,2.08,2.097,2.023,2.039,490233547,1011577301,,
2026-03-02,2.005,2.035,1.94,1.952,183443722,365070211,,
2026-03-03,1.963,1.965,1.875,1.882,126605500,243186503,,
2026-03-04,1.822,1.878,1.82,1.826,98169900,180803956,,
2026-03-05,1.87,1.895,1.85,1.86,93800708,175280957,,
2026-03-06,1.837,1.86,1.835,1.859,31861400,58885542,,
2026-03-09,1.799,1.82,1.757,1.785,127233183,226108880,,
2026-03-10,1.812,1.818,1.796,1.802,86473100,156008484,,
2026-03-11,1.807,1.814,1.795,1.796,59901105,108230891,,
2026-03-12,1.787,1.794,1.77,1.794,38642600,68894471,,
2026-03-13,1.786,1.786,1.765,1.766,25003600,44393636,,
2026-03-16,1.751,1.765,1.742,1.764,49797800,87304990,,
2026-03-17,1.76,1.762,1.729,1.73,32911170,57555432,,
2026-03-18,1.741,1.759,1.741,1.758,36983921,64778659,,
2026-03-19,1.728,1.752,1.717,1.719,32287400,55872910,,
2026-03-20,1.729,1.729,1.69,1.695,32101438,54705667,,
2026-03-23,1.639,1.664,1.614,1.625,49119500,80459738,,
2026-03-24,1.644,1.703,1.625,1.668,158289555,263546935,,
