date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,2.209,2.211,2.201,2.203,145710700,321469548,,
2025-08-19,2.202,2.203,2.192,2.197,103503700,227386808,,
2025-08-20,2.182,2.194,2.178,2.185,220080700,480671460,,
2025-08-21,2.177,2.194,2.177,2.183,190726145,416738825,,
2025-08-22,2.179,2.18,2.169,2.17,185013600,402171439,,
2025-08-25,2.197,2.203,2.194,2.2,309122200,679463343,,
2025-08-26,2.19,2.193,2.188,2.191,83675300,183275193,,
2025-08-27,2.2,2.207,2.198,2.206,108136300,238003767,,
2025-08-28,2.201,2.203,2.192,2.194,153802900,337939087,,
2025-08-29,2.196,2.201,2.194,2.195,91278925,200542341,,
2025-09-01,2.193,2.193,2.18,2.185,119155500,260374423,,
2025-09-02,2.185,2.188,2.182,2.187,79973500,174775783,,
2025-09-03,2.177,2.18,2.173,2.177,106030100,230688514,,
2025-09-04,2.187,2.192,2.185,2.189,86927500,190254702,,
2025-09-05,2.21,2.219,2.203,2.204,129675100,285989781,,
2025-09-08,2.195,2.197,2.191,2.195,95184400,208836035,,
2025-09-09,2.197,2.2,2.194,2.198,135163810,296827810,,
2025-09-10,2.202,2.208,2.202,2.207,101654399,224235307,,
2025-09-11,2.21,2.211,2.206,2.21,106329500,234839312,,
2025-09-12,2.221,2.224,2.22,2.222,113353451,251905102,,
2025-09-15,2.223,2.23,2.222,2.229,99988600,222659030,,
2025-09-16,2.234,2.239,2.233,2.238,123416000,276028433,,
2025-09-17,2.235,2.235,2.227,2.23,92267000,205754218,,
2025-09-18,2.231,2.243,2.231,2.241,140503200,314534944,,
2025-09-19,2.249,2.254,2.244,2.252,184722655,415538204,,
2025-09-22,2.258,2.271,2.258,2.269,181888600,412369338,,
2025-09-23,2.283,2.291,2.282,2.288,136479331,311952891,,
2025-09-24,2.275,2.28,2.267,2.28,138515200,314996646,,
2025-09-25,2.277,2.278,2.267,2.27,104331200,237136548,,
2025-09-26,2.264,2.266,2.256,2.265,95678500,216391365,,
2025-09-29,2.275,2.282,2.275,2.281,111730969,254634215,,
2025-09-30,2.286,2.287,2.28,2.284,135141300,308672332,,
2025-10-09,2.304,2.33,2.304,2.322,218795492,506846872,,
2025-10-10,2.321,2.333,2.318,2.329,156753400,364530745,,
2025-10-13,2.284,2.318,2.275,2.294,548260983,1254096297,,
2025-10-14,2.306,2.32,2.254,2.263,340470344,779169082,,
2025-10-15,2.278,2.29,2.273,2.289,138186855,315208496,,
2025-10-16,2.289,2.289,2.275,2.285,272640200,621936028,,
2025-10-17,2.269,2.28,2.261,2.263,226690731,515010125,,
2025-10-20,2.293,2.323,2.285,2.321,250999912,579052814,,
2025-10-21,2.342,2.349,2.313,2.326,273763400,638265666,,
2025-10-22,2.325,2.351,2.32,2.348,177566595,414709461,,
2025-10-23,2.348,2.359,2.333,2.352,197401569,463589988,,
2025-10-24,2.367,2.371,2.352,2.36,205090700,483874231,,
2025-10-27,2.383,2.418,2.381,2.415,254613300,611188346,,
2025-10-28,2.433,2.457,2.412,2.421,214690120,521970120,,
2025-10-29,2.435,2.469,2.43,2.468,207564776,508267427,,
2025-10-30,2.469,2.504,2.449,2.473,350301405,868002797,,
2025-10-31,2.47,2.479,2.439,2.454,209027590,513387221,,
2025-11-03,2.454,2.49,2.454,2.479,228102821,565683027,,
2025-11-04,2.479,2.479,2.407,2.415,234053300,571021789,,
2025-11-05,2.376,2.389,2.336,2.388,266447300,630792576,,
2025-11-06,2.4,2.412,2.385,2.389,245536200,589224875,,
2025-11-07,2.365,2.399,2.36,2.384,194988763,464112012,,
2025-11-10,2.405,2.436,2.403,2.424,203283100,491738955,,
2025-11-11,2.451,2.457,2.413,2.43,189539400,461648515,,
2025-11-12,2.434,2.464,2.434,2.463,204066779,499866109,,
2025-11-13,2.468,2.49,2.466,2.488,179179065,444674646,,
2025-11-14,2.447,2.466,2.441,2.448,201330860,493740532,,
2025-11-17,2.46,2.488,2.449,2.454,210262012,518388874,,
2025-11-18,2.44,2.44,2.39,2.399,195377119,471412670,,
2025-11-19,2.388,2.405,2.317,2.359,408081200,963669934,,
2025-11-20,2.399,2.417,2.396,2.413,193338024,464943581,,
2025-11-21,2.366,2.37,2.334,2.355,284316700,667176470,,
2025-11-24,2.382,2.396,2.359,2.39,257587790,611843089,,
2025-11-25,2.435,2.435,2.395,2.404,215081250,520332369,,
2025-11-26,2.424,2.449,2.42,2.447,224096226,545226576,,
2025-11-27,2.46,2.47,2.43,2.433,133025508,326656180,,
2025-11-28,2.441,2.467,2.438,2.463,175963610,431107474,,
2025-12-01,2.462,2.475,2.443,2.46,234086412,576541307,,
2025-12-02,2.459,2.468,2.454,2.46,122592256,301511235,,
2025-12-03,2.468,2.48,2.466,2.469,187744916,463889674,,
2025-12-04,2.474,2.476,2.456,2.461,176766200,435409336,,
2025-12-05,2.464,2.466,2.445,2.451,260521600,638904446,,
2025-12-08,2.451,2.452,2.439,2.444,143226700,350060356,,
2025-12-09,2.44,2.44,2.416,2.42,117252907,283732690,,
2025-12-10,2.42,2.447,2.42,2.443,161349985,393017950,,
2025-12-11,2.449,2.46,2.429,2.432,153818309,375690745,,
2025-12-12,2.45,2.461,2.441,2.453,147131038,360817935,,
2025-12-15,2.437,2.448,2.429,2.447,135379700,330201296,,
2025-12-16,2.429,2.438,2.411,2.42,123340938,298956198,,
2025-12-17,2.421,2.442,2.42,2.435,134127782,325954115,,
2025-12-18,2.412,2.428,2.41,2.426,116228591,281527361,,
2025-12-19,2.439,2.456,2.439,2.451,151540209,370941332,,
2025-12-22,2.47,2.471,2.455,2.456,191487300,471557552,,
2025-12-23,2.463,2.465,2.444,2.447,132927845,326302453,,
2025-12-24,2.456,2.459,2.448,2.455,111799500,274331495,,
2025-12-25,2.456,2.464,2.455,2.458,111414700,274121507,,
2025-12-26,2.461,2.464,2.453,2.461,81791531,201181275,,
2025-12-29,2.461,2.465,2.44,2.447,113945000,278960675,,
2025-12-30,2.444,2.451,2.426,2.439,106496600,259660252,,
2025-12-31,2.436,2.437,2.426,2.432,65588598,159366671,,
2026-01-05,2.437,2.469,2.435,2.468,133276454,327515740,,
2026-01-06,2.47,2.472,2.455,2.467,109696813,270270708,,
2026-01-07,2.47,2.477,2.462,2.465,100302685,247803068,,
2026-01-08,2.465,2.465,2.455,2.458,60872600,149608354,,
2026-01-09,2.458,2.46,2.451,2.46,72480073,178078830,,
2026-01-12,2.46,2.468,2.446,2.458,121319625,298222237,,
2026-01-13,2.458,2.461,2.454,2.46,104558220,256912010,,
2026-01-14,2.46,2.46,2.45,2.452,82280568,201788696,,
2026-01-15,2.44,2.447,2.434,2.445,90969300,221936222,,
2026-01-16,2.445,2.456,2.439,2.455,84031604,205389208,,
2026-01-19,2.446,2.452,2.435,2.441,89226600,217940965,,
2026-01-20,2.44,2.44,2.43,2.432,71874912,174895441,,
2026-01-21,2.41,2.437,2.408,2.427,146331508,354995055,,
2026-01-22,2.439,2.46,2.439,2.459,98656836,241793589,,
2026-01-23,2.463,2.468,2.431,2.434,235476000,575366469,,
2026-01-26,2.433,2.433,2.41,2.412,114789070,277478262,,
2026-01-27,2.422,2.429,2.42,2.424,73677518,178696105,,
2026-01-28,2.432,2.438,2.426,2.433,88987613,216431230,,
2026-01-29,2.432,2.437,2.411,2.425,86967016,210615271,,
2026-01-30,2.423,2.439,2.415,2.439,160927374,390528595,,
2026-02-02,2.435,2.435,2.358,2.364,244996900,585376559,,
2026-02-03,2.399,2.405,2.368,2.375,245208600,583504312,,
2026-02-04,2.355,2.38,2.344,2.375,108231613,256084005,,
2026-02-05,2.369,2.372,2.352,2.368,84309087,199129865,,
2026-02-06,2.34,2.348,2.324,2.326,165429800,386590793,,
2026-02-09,2.371,2.384,2.353,2.383,189499876,448827819,,
2026-02-10,2.384,2.399,2.378,2.394,83906400,200550816,,
2026-02-11,2.395,2.397,2.384,2.395,57500726,137614929,,
2026-02-12,2.393,2.4,2.385,2.389,87267700,208980467,,
2026-02-13,2.363,2.383,2.36,2.382,79642300,189134457,,
2026-02-24,2.381,2.391,2.362,2.385,94407520,224565635,,
2026-02-25,2.393,2.407,2.378,2.382,99451600,237869422,,
2026-02-26,2.391,2.394,2.379,2.384,72344401,172427157,,
2026-02-27,2.381,2.391,2.367,2.387,67473524,160348302,,
2026-03-02,2.375,2.379,2.356,2.358,120299511,284646607,,
2026-03-03,2.36,2.369,2.359,2.367,93460900,220839405,,
2026-03-04,2.355,2.355,2.338,2.338,85484192,200477593,,
2026-03-05,2.35,2.364,2.35,2.361,128753920,303551956,,
2026-03-06,2.358,2.358,2.335,2.35,103913200,243510294,,
2026-03-09,2.306,2.31,2.28,2.294,144454242,331334253,,
2026-03-10,2.32,2.325,2.302,2.311,123406235,285001492,,
2026-03-11,2.312,2.317,2.309,2.313,70604773,163223058,,
2026-03-12,2.304,2.327,2.3,2.318,105692347,244563895,,
2026-03-13,2.307,2.307,2.28,2.286,129937500,297833618,,
2026-03-16,2.284,2.285,2.27,2.279,134641939,306552733,,
2026-03-17,2.286,2.294,2.279,2.283,99019057,226386446,,
2026-03-18,2.292,2.296,2.281,2.284,128937944,294979066,,
2026-03-19,2.259,2.271,2.255,2.259,109260500,247382597,,
2026-03-20,2.258,2.27,2.242,2.244,103648300,234074387,,
2026-03-23,2.225,2.225,2.13,2.149,302526472,655501492,,
2026-03-24,2.171,2.195,2.161,2.19,231915950,503666036,,
2026-03-25,2.199,2.236,2.199,2.213,227394034,504334465,,
2026-03-26,2.222,2.23,2.215,2.219,92178029,204841595,,
2026-03-27,2.19,2.218,2.182,2.209,102602655,225904762,,
2026-03-30,2.159,2.18,2.156,2.171,186220288,403404287,,
2026-03-31,2.168,2.192,2.16,2.164,122851628,266858623,,
2026-04-01,2.217,2.244,2.203,2.238,190597688,423326447,,
2026-04-02,2.241,2.241,2.186,2.206,156582791,346060998,,
2026-04-03,2.223,2.227,2.205,2.206,85930550,190245000,,
2026-04-07,2.209,2.222,2.206,2.207,115843610,256235833,,
2026-04-08,2.261,2.292,2.257,2.29,197305108,448561585,,
2026-04-09,2.264,2.289,2.26,2.275,117298300,267149970,,
2026-04-10,2.3,2.312,2.29,2.294,100799362,231876381,,
2026-04-13,2.28,2.29,2.272,2.281,100511900,229069452,,
2026-04-14,2.314,2.319,2.305,2.313,121848334,281563920,,
2026-04-15,2.334,2.352,2.33,2.337,136340826,318993288,,
2026-04-16,2.362,2.366,2.357,2.365,144498700,341136313,,
2026-04-17,2.365,2.366,2.354,2.361,134805404,318013156,,
2026-04-20,2.372,2.376,2.358,2.36,130451400,308732215,,
2026-04-21,2.37,2.37,2.355,2.37,88868400,209948363,,
2026-04-22,2.369,2.377,2.358,2.373,95065056,224895473,,
2026-04-23,2.378,2.384,2.365,2.369,117981700,279918380,,
2026-04-24,2.37,2.372,2.362,2.366,65112400,154091129,,
2026-04-27,2.383,2.385,2.373,2.384,121304743,288834952,,
2026-04-28,2.385,2.41,2.384,2.407,141857224,340428341,,
2026-04-29,2.4,2.432,2.395,2.411,134828150,325480773,,
2026-04-30,2.42,2.431,2.411,2.419,104130817,251959868,,
2026-05-06,2.455,2.463,2.448,2.454,165096768,404804617,,
2026-05-07,2.469,2.483,2.469,2.482,150224313,372240031,,
2026-05-08,2.479,2.484,2.45,2.483,123838358,306273810,,
2026-05-11,2.493,2.497,2.483,2.492,160548958,399511372,,
2026-05-12,2.491,2.491,2.476,2.477,117756998,292344100,,
2026-05-13,2.475,2.489,2.469,2.488,104232912,258669507,,
2026-05-14,2.499,2.507,2.486,2.489,114681011,285769004,,
2026-05-15,2.491,2.505,2.473,2.48,181100436,450878665,,
2026-05-18,2.44,2.456,2.433,2.44,196760839,480784780,,
2026-05-19,2.441,2.452,2.432,2.44,116510400,284376955,,
2026-05-20,2.427,2.439,2.417,2.432,129522580,314089872,,
2026-05-21,2.454,2.469,2.448,2.452,149190406,366944675,,
2026-05-22,2.465,2.49,2.465,2.485,170167200,422074238,,
2026-05-25,2.531,2.548,2.515,2.546,296329772,749639938,,
2026-05-26,2.546,2.56,2.525,2.529,145797000,370062377,,
2026-05-27,2.545,2.552,2.535,2.541,119064100,302954030,,
2026-05-28,2.547,2.548,2.503,2.524,185024200,466739421,,
2026-05-29,2.537,2.558,2.536,2.557,164660600,419622616,,
2026-06-01,2.562,2.63,2.562,2.625,275565066,717273487,,
2026-06-02,2.636,2.671,2.591,2.611,366445234,962948706,,
2026-06-03,2.623,2.634,2.593,2.602,164112090,428875903,,
2026-06-04,2.564,2.575,2.555,2.566,142835940,366198544,,
2026-06-05,2.569,2.588,2.561,2.568,177183503,456557101,,
2026-06-08,2.499,2.525,2.49,2.515,225261900,565643202,,
2026-06-09,2.522,2.554,2.522,2.552,162088688,411308249,,
2026-06-10,2.522,2.54,2.501,2.515,140670498,353349269,,
2026-06-11,2.482,2.503,2.451,2.498,182908306,453590999,,
2026-06-12,2.55,2.558,2.512,2.515,156436758,396814492,,
