date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.639,1.649,1.638,1.642,74290595,122112999,,
2025-08-19,1.636,1.643,1.633,1.637,71279000,116720315,,
2025-08-20,1.614,1.616,1.608,1.615,54159700,87259844,,
2025-08-21,1.602,1.607,1.601,1.602,61987500,99371246,,
2025-08-22,1.594,1.598,1.591,1.595,78590900,125321771,,
2025-08-25,1.608,1.613,1.606,1.608,68211700,109779737,,
2025-08-26,1.593,1.594,1.588,1.591,74276800,118193479,,
2025-08-27,1.592,1.602,1.591,1.601,91155786,145546964,,
2025-08-28,1.607,1.612,1.605,1.611,121842300,196044433,,
2025-08-29,1.6,1.604,1.597,1.601,87599700,140209558,,
2025-09-01,1.579,1.588,1.573,1.587,137948600,217773254,,
2025-09-02,1.588,1.595,1.577,1.588,77137900,122284127,,
2025-09-03,1.57,1.581,1.567,1.57,77635108,122021225,,
2025-09-04,1.585,1.609,1.58,1.608,178286200,284336368,,
2025-09-05,1.615,1.629,1.602,1.61,190506000,306968554,,
2025-09-08,1.628,1.63,1.622,1.629,127518300,207494796,,
2025-09-09,1.639,1.64,1.621,1.625,125514200,204531164,,
2025-09-10,1.626,1.637,1.622,1.636,90228900,147218916,,
2025-09-11,1.642,1.652,1.641,1.652,119473100,196739408,,
2025-09-12,1.658,1.673,1.657,1.668,125358500,208831030,,
2025-09-15,1.668,1.669,1.661,1.666,60415800,100575576,,
2025-09-16,1.668,1.683,1.668,1.673,90720300,152033777,,
2025-09-17,1.678,1.684,1.672,1.675,84528900,141831765,,
2025-09-18,1.684,1.702,1.681,1.7,127882224,216284372,,
2025-09-19,1.706,1.71,1.665,1.666,247312900,415805185,,
2025-09-22,1.69,1.696,1.684,1.69,83518900,141167414,,
2025-09-23,1.698,1.705,1.695,1.703,88917300,151162043,,
2025-09-24,1.686,1.697,1.679,1.695,79145100,133605157,,
2025-09-25,1.689,1.696,1.687,1.69,45593000,77085271,,
2025-09-26,1.683,1.683,1.665,1.666,93681409,156803010,,
2025-09-29,1.663,1.676,1.66,1.675,79954805,133559539,,
2025-09-30,1.675,1.685,1.671,1.68,59435251,99726322,,
2025-10-09,1.758,1.775,1.751,1.769,178637299,314923887,,
2025-10-10,1.752,1.757,1.729,1.734,127894910,223403872,,
2025-10-13,1.71,1.724,1.696,1.723,200725908,342964993,,
2025-10-14,1.743,1.754,1.708,1.717,214450037,370679001,,
2025-10-15,1.734,1.771,1.734,1.77,200392400,351666669,,
2025-10-16,1.779,1.824,1.775,1.821,286342699,516525734,,
2025-10-17,1.813,1.843,1.77,1.781,270796300,485478070,,
2025-10-20,1.816,1.917,1.815,1.898,1203995456,2258726502,,
2025-10-21,1.929,1.979,1.854,1.899,1246463161,2391216044,,
2025-10-22,1.877,1.952,1.877,1.931,802546929,1548490534,,
2025-10-23,1.91,1.922,1.87,1.886,360405619,680153833,,
2025-10-24,1.914,1.917,1.887,1.89,219017747,416257453,,
2025-10-27,1.917,1.939,1.909,1.934,255477729,492215214,,
2025-10-28,1.935,1.945,1.91,1.935,237503313,457526847,,
2025-10-29,1.968,2.011,1.961,1.982,360374000,716106313,,
2025-10-30,1.972,1.992,1.95,1.951,218450925,430475835,,
2025-10-31,1.977,1.98,1.955,1.971,208632635,410711020,,
2025-11-03,1.975,2.013,1.956,1.993,358387319,712997549,,
2025-11-04,2.016,2.029,1.92,1.93,376663670,744014654,,
2025-11-05,1.86,1.92,1.836,1.912,436500792,819625261,,
2025-11-06,1.933,1.95,1.922,1.941,200064975,387623394,,
2025-11-07,1.9,1.945,1.9,1.93,191964730,368914119,,
2025-11-10,1.951,1.968,1.94,1.967,167689000,327682956,,
2025-11-11,1.971,1.989,1.944,1.956,185024249,363615059,,
2025-11-12,1.963,1.965,1.951,1.96,88688602,173695615,,
2025-11-13,1.969,1.969,1.945,1.948,121986874,238082092,,
2025-11-14,1.927,1.927,1.895,1.901,106768065,204048709,,
2025-11-17,1.888,1.907,1.856,1.878,212219506,398597817,,
2025-11-18,1.843,1.854,1.788,1.804,229656612,418182786,,
2025-11-19,1.81,1.83,1.785,1.804,239347600,433762671,,
2025-11-20,1.851,1.852,1.831,1.84,181086420,333080444,,
2025-11-21,1.798,1.81,1.79,1.792,108107926,194265645,,
2025-11-24,1.792,1.813,1.785,1.812,117829688,211975801,,
2025-11-25,1.819,1.825,1.802,1.805,126717278,230114085,,
2025-11-26,1.83,1.856,1.829,1.855,140125148,257790604,,
2025-11-27,1.878,1.885,1.852,1.856,151224798,282359720,,
2025-11-28,1.86,1.863,1.844,1.858,83916251,155407755,,
2025-12-01,1.83,1.836,1.821,1.828,108512800,198244407,,
2025-12-02,1.834,1.837,1.812,1.815,73004100,133190167,,
2025-12-03,1.825,1.849,1.82,1.841,152500395,279880911,,
2025-12-04,1.857,1.896,1.854,1.893,274747400,515377979,,
2025-12-05,1.875,1.889,1.864,1.881,157848100,296160686,,
2025-12-08,1.871,1.878,1.863,1.869,102821500,192141743,,
2025-12-09,1.862,1.865,1.843,1.848,142171708,263404011,,
2025-12-10,1.83,1.841,1.826,1.839,75043200,137655332,,
2025-12-11,1.842,1.852,1.811,1.813,101845300,186076160,,
2025-12-12,1.829,1.836,1.824,1.829,94667008,173300822,,
2025-12-15,1.805,1.816,1.801,1.812,70429700,127409831,,
2025-12-16,1.801,1.802,1.773,1.781,85312600,152137269,,
2025-12-17,1.78,1.81,1.779,1.802,126583026,227762224,,
2025-12-18,1.779,1.804,1.776,1.789,79070600,141416044,,
2025-12-19,1.802,1.828,1.798,1.821,125564000,228045777,,
2025-12-22,1.851,1.858,1.832,1.838,96700060,178498541,,
2025-12-23,1.836,1.844,1.823,1.827,65340683,119678912,,
2025-12-24,1.832,1.834,1.82,1.823,44348700,80965889,,
2025-12-25,1.823,1.825,1.814,1.821,30711600,55841454,,
2025-12-26,1.831,1.833,1.82,1.823,60549723,110674719,,
2025-12-29,1.822,1.822,1.801,1.804,44514200,80427962,,
2025-12-30,1.798,1.802,1.796,1.8,25920092,46596134,,
2025-12-31,1.795,1.798,1.79,1.794,21698198,38899368,,
2026-01-05,1.831,1.833,1.818,1.832,96998792,177209552,,
2026-01-06,1.838,1.855,1.838,1.854,97464096,180246703,,
2026-01-07,1.846,1.848,1.835,1.84,72614200,133705931,,
2026-01-08,1.828,1.83,1.818,1.82,55662312,101538565,,
2026-01-09,1.827,1.853,1.824,1.84,80131656,147255221,,
