date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.382,1.402,1.375,1.392,89469894,124235286,,
2025-08-19,1.388,1.408,1.37,1.391,65326556,90673217,,
2025-08-20,1.385,1.402,1.371,1.401,55071458,76325516,,
2025-08-21,1.404,1.405,1.382,1.389,174910098,244328811,,
2025-08-22,1.388,1.414,1.388,1.413,89128498,125251283,,
2025-08-25,1.432,1.447,1.418,1.439,102433558,146580342,,
2025-08-26,1.433,1.446,1.422,1.433,112361311,161530841,,
2025-08-27,1.433,1.468,1.413,1.414,138467106,199797286,,
2025-08-28,1.412,1.43,1.389,1.429,89932727,127329689,,
2025-08-29,1.429,1.522,1.429,1.492,170331746,252769959,,
2025-09-01,1.495,1.514,1.487,1.51,115736429,173731880,,
2025-09-02,1.508,1.526,1.481,1.501,128729400,193084879,,
2025-09-03,1.5,1.537,1.488,1.501,98305600,148435954,,
2025-09-04,1.52,1.551,1.464,1.486,161454736,243436801,,
2025-09-05,1.485,1.61,1.485,1.61,238906022,373792855,,
2025-09-08,1.625,1.675,1.604,1.66,153489500,252060845,,
2025-09-09,1.653,1.673,1.638,1.651,161132238,266878358,,
2025-09-10,1.633,1.642,1.607,1.629,134942140,219562071,,
2025-09-11,1.617,1.658,1.606,1.658,98955800,162109443,,
2025-09-12,1.659,1.67,1.634,1.645,93132061,153930103,,
2025-09-15,1.65,1.726,1.65,1.685,135117333,229398491,,
2025-09-16,1.68,1.7,1.655,1.699,85381523,143345169,,
2025-09-17,1.692,1.739,1.69,1.731,90222196,154741096,,
2025-09-18,1.727,1.755,1.686,1.712,132084856,228193153,,
2025-09-19,1.711,1.744,1.7,1.711,123336355,212117446,,
2025-09-22,1.709,1.732,1.69,1.716,96883222,165202628,,
2025-09-23,1.711,1.754,1.688,1.726,144304053,247722799,,
2025-09-24,1.716,1.781,1.711,1.781,130788770,229309357,,
2025-09-25,1.776,1.825,1.775,1.795,79640800,143052526,,
2025-09-26,1.78,1.817,1.763,1.768,61695225,110332733,,
2025-09-29,1.783,1.849,1.783,1.847,111910700,204426331,,
2025-09-30,1.846,1.906,1.836,1.902,127850100,240831376,,
2025-10-09,1.913,1.971,1.907,1.949,94530450,183191931,,
2025-10-10,1.938,1.938,1.816,1.828,148970888,276849401,,
2025-10-13,1.75,1.844,1.744,1.839,108745150,195778061,,
2025-10-14,1.86,1.862,1.746,1.757,100791037,181780399,,
2025-10-15,1.748,1.8,1.74,1.798,119833768,212419920,,
2025-10-16,1.787,1.822,1.777,1.798,107385962,193100343,,
2025-10-17,1.799,1.812,1.725,1.729,113566721,199197719,,
2025-10-20,1.747,1.78,1.735,1.751,103689712,181571001,,
