date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,1.1,1.107,1.083,1.087,839067373,914841575,,
2025-08-19,1.085,1.086,1.079,1.082,465635400,503691521,,
2025-08-20,1.079,1.086,1.074,1.086,320702400,346733977,,
2025-08-21,1.088,1.098,1.083,1.095,495108921,540733876,,
2025-08-22,1.094,1.095,1.082,1.094,990065120,1078038609,,
2025-08-25,1.101,1.112,1.096,1.109,842778921,930335106,,
2025-08-26,1.11,1.11,1.098,1.1,657386123,725538573,,
2025-08-27,1.097,1.098,1.068,1.069,912773229,988058921,,
2025-08-28,1.064,1.068,1.047,1.062,774167410,818503929,,
2025-08-29,1.061,1.073,1.056,1.061,485745197,516621973,,
2025-09-01,1.059,1.069,1.052,1.063,432779442,459602001,,
2025-09-02,1.062,1.063,1.052,1.056,517541349,546698133,,
2025-09-03,1.058,1.061,1.035,1.038,533606179,557231000,,
2025-09-04,1.034,1.044,1.03,1.043,366604400,380084154,,
2025-09-05,1.044,1.058,1.038,1.056,543537067,569713590,,
2025-09-08,1.056,1.063,1.049,1.063,356515502,377317361,,
2025-09-09,1.064,1.067,1.055,1.061,419925948,445776649,,
2025-09-10,1.057,1.06,1.05,1.052,418804566,440843259,,
2025-09-11,1.053,1.056,1.045,1.056,596964530,626688375,,
2025-09-12,1.056,1.065,1.049,1.06,579253725,612270830,,
2025-09-15,1.058,1.074,1.053,1.073,696516480,742006877,,
2025-09-16,1.083,1.089,1.071,1.077,1143278586,1236085821,,
2025-09-17,1.071,1.103,1.069,1.1,983812284,1074565086,,
2025-09-18,1.092,1.095,1.063,1.073,868637522,936496150,,
2025-09-19,1.073,1.101,1.072,1.1,884926501,966124721,,
2025-09-22,1.099,1.109,1.086,1.09,838643592,916398803,,
2025-09-23,1.087,1.102,1.08,1.095,768154961,837265714,,
2025-09-24,1.089,1.099,1.081,1.095,670818951,731028341,,
2025-09-25,1.092,1.093,1.082,1.087,943496300,1025306250,,
2025-09-26,1.087,1.094,1.081,1.082,495789545,539040764,,
2025-09-29,1.074,1.075,1.058,1.071,633062758,675193798,,
2025-09-30,1.066,1.073,1.061,1.069,374422969,399793132,,
2025-10-09,1.069,1.1,1.066,1.099,702141128,761117895,,
2025-10-10,1.094,1.13,1.089,1.12,1167496804,1303388051,,
2025-10-13,1.094,1.118,1.094,1.117,704233280,779852432,,
2025-10-14,1.118,1.15,1.114,1.146,1187190673,1349738591,,
2025-10-15,1.149,1.154,1.133,1.145,940141328,1074571188,,
2025-10-16,1.145,1.181,1.143,1.179,1338638508,1561760732,,
2025-10-17,1.177,1.197,1.167,1.169,1212250317,1429870875,,
2025-10-20,1.173,1.22,1.172,1.218,1481632717,1771819351,,
2025-10-21,1.206,1.206,1.181,1.203,1755128561,2091955607,,
2025-10-22,1.19,1.201,1.178,1.181,1043767668,1234951470,,
2025-10-23,1.18,1.219,1.18,1.21,1349369062,1629139343,,
2025-10-24,1.194,1.198,1.179,1.188,1217934436,1443181318,,
2025-10-27,1.177,1.212,1.157,1.197,1519537871,1805870294,,
2025-10-28,1.188,1.194,1.175,1.184,936264597,1106531017,,
2025-10-29,1.18,1.207,1.171,1.2,1069900124,1275604234,,
2025-10-30,1.192,1.209,1.19,1.194,958841269,1149198153,,
2025-10-31,1.186,1.193,1.178,1.182,718789215,849793448,,
2025-11-03,1.184,1.221,1.183,1.212,1219349315,1473471975,,
2025-11-04,1.207,1.226,1.203,1.21,720609795,875734322,,
2025-11-05,1.203,1.245,1.201,1.231,935162738,1147860672,,
2025-11-06,1.229,1.251,1.22,1.24,772104224,956076937,,
2025-11-07,1.238,1.255,1.23,1.24,530027290,657302453,,
2025-11-10,1.243,1.26,1.231,1.248,644758287,805917232,,
2025-11-11,1.241,1.244,1.211,1.232,992921255,1214268491,,
2025-11-12,1.223,1.231,1.214,1.217,670128819,817740836,,
2025-11-13,1.213,1.232,1.206,1.229,692603280,845405574,,
2025-11-14,1.224,1.239,1.211,1.215,613266433,748116597,,
2025-11-17,1.215,1.242,1.206,1.236,907401249,1113720082,,
2025-11-18,1.228,1.229,1.189,1.193,757636198,910990365,,
2025-11-19,1.185,1.198,1.18,1.192,416068336,495041990,,
2025-11-20,1.184,1.193,1.163,1.166,678285665,798725777,,
2025-11-21,1.16,1.163,1.131,1.132,760642662,870813615,,
2025-11-24,1.132,1.14,1.113,1.122,558064195,626687822,,
2025-11-25,1.121,1.131,1.118,1.13,430835322,485132265,,
2025-11-26,1.123,1.131,1.12,1.122,335286147,377021900,,
2025-11-27,1.122,1.131,1.115,1.129,400969794,451134684,,
2025-11-28,1.124,1.132,1.12,1.128,290960008,327688429,,
2025-12-01,1.128,1.139,1.128,1.139,351729517,399177744,,
2025-12-02,1.14,1.142,1.125,1.138,442480240,502108837,,
2025-12-03,1.133,1.155,1.132,1.145,467065743,534632830,,
2025-12-04,1.145,1.145,1.13,1.135,340166200,386226201,,
2025-12-05,1.131,1.133,1.122,1.13,311697229,351205550,,
2025-12-08,1.123,1.124,1.104,1.113,641391158,712153699,,
2025-12-09,1.109,1.11,1.095,1.097,394667228,434364554,,
2025-12-10,1.097,1.102,1.094,1.1,249258322,273726371,,
2025-12-11,1.098,1.105,1.087,1.089,275325600,301541115,,
2025-12-12,1.089,1.099,1.083,1.085,370044626,402835833,,
2025-12-15,1.087,1.1,1.085,1.093,368491881,403440658,,
2025-12-16,1.09,1.091,1.072,1.075,293713595,316014278,,
2025-12-17,1.073,1.076,1.064,1.075,316036905,338379689,,
2025-12-18,1.08,1.096,1.079,1.095,426683700,463734702,,
2025-12-19,1.085,1.092,1.081,1.091,424810794,462329321,,
2025-12-22,1.09,1.093,1.081,1.089,347428201,377566152,,
2025-12-23,1.089,1.092,1.079,1.083,359985800,390652468,,
2025-12-24,1.045,1.045,1.028,1.038,361195100,373523904,,
2025-12-25,1.037,1.038,1.032,1.036,388106257,401557867,,
2025-12-26,1.033,1.042,1.032,1.039,365787560,379722171,,
2025-12-29,1.039,1.052,1.038,1.043,406299017,424474245,,
2025-12-30,1.04,1.041,1.03,1.035,233052783,241067309,,
2025-12-31,1.033,1.036,1.024,1.028,229556310,236071107,,
2026-01-05,1.028,1.037,1.028,1.034,292423989,302009604,,
2026-01-06,1.033,1.053,1.031,1.053,704991752,737301116,,
2026-01-07,1.059,1.094,1.053,1.093,1268826008,1366554616,,
2026-01-08,1.1,1.104,1.082,1.092,947635444,1035874286,,
2026-01-09,1.08,1.098,1.08,1.096,644728382,704431087,,
2026-01-12,1.096,1.104,1.086,1.094,511799089,558874582,,
2026-01-13,1.092,1.094,1.079,1.081,517285140,561828385,,
2026-01-14,1.08,1.085,1.065,1.072,602064663,648806291,,
2026-01-15,1.072,1.077,1.064,1.067,366512327,391945254,,
2026-01-16,1.067,1.074,1.05,1.054,416341210,440599820,,
2026-01-19,1.054,1.069,1.054,1.069,389298364,414214016,,
2026-01-20,1.068,1.084,1.06,1.083,390580463,418526675,,
