date,open,high,low,close,volume,amount,postVol,postAmt
2025-08-18,0.78,0.793,0.777,0.785,1285781488,1009567963,,
2025-08-19,0.786,0.794,0.778,0.783,712740439,560501004,,
2025-08-20,0.787,0.791,0.773,0.789,926324920,725175185,,
2025-08-21,0.787,0.795,0.784,0.788,983720185,777309198,,
2025-08-22,0.786,0.809,0.784,0.808,1191394902,953929820,,
2025-08-25,0.813,0.83,0.812,0.826,1102231009,903818758,,
2025-08-26,0.826,0.83,0.813,0.819,668223429,548945653,,
2025-08-27,0.816,0.829,0.801,0.801,893819700,731229230,,
2025-08-28,0.798,0.827,0.798,0.827,1309049848,1067949822,,
2025-08-29,0.828,0.84,0.82,0.831,1370580822,1137160785,,
2025-09-01,0.832,0.838,0.82,0.836,1205144532,1000157009,,
2025-09-02,0.837,0.854,0.814,0.819,1265121703,1053019450,,
2025-09-03,0.823,0.85,0.818,0.841,1455459217,1214720202,,
2025-09-04,0.847,0.88,0.832,0.846,2287078138,1963485464,,
2025-09-05,0.843,0.913,0.843,0.911,2251862589,1994486601,,
2025-09-08,0.921,0.926,0.9,0.913,1777165869,1616314347,,
2025-09-09,0.9,0.909,0.886,0.891,1101225454,986898119,,
2025-09-10,0.882,0.885,0.862,0.875,1879327611,1638919253,,
2025-09-11,0.869,0.904,0.867,0.903,1416082148,1255859293,,
2025-09-12,0.902,0.908,0.889,0.892,1356779623,1216076648,,
2025-09-15,0.892,0.916,0.892,0.895,1048613994,947953230,,
2025-09-16,0.895,0.909,0.882,0.899,826248650,739596976,,
2025-09-17,0.898,0.917,0.89,0.912,1055993883,958996150,,
2025-09-18,0.912,0.916,0.884,0.897,1139285184,1029060693,,
2025-09-19,0.892,0.901,0.887,0.89,707912546,633343050,,
2025-09-22,0.889,0.891,0.872,0.882,809948977,711656086,,
2025-09-23,0.882,0.897,0.864,0.885,890259500,782622743,,
2025-09-24,0.882,0.92,0.878,0.918,1125135391,1017053839,,
2025-09-25,0.92,0.943,0.916,0.934,836117577,779857048,,
2025-09-26,0.93,0.941,0.923,0.924,549650336,511233606,,
2025-09-29,0.93,0.953,0.927,0.942,698502274,656938657,,
2025-09-30,0.942,0.963,0.939,0.954,520598547,496201230,,
2025-10-09,0.957,0.994,0.957,0.982,758704706,742240416,,
2025-10-10,0.976,0.98,0.933,0.94,694459906,662869558,,
2025-10-13,0.9,0.928,0.898,0.923,722840447,659757454,,
2025-10-14,0.93,0.98,0.926,0.932,1614079729,1540594400,,
2025-10-15,0.926,0.959,0.912,0.958,1248678802,1173550083,,
2025-10-16,0.953,0.974,0.949,0.968,1037836317,1000064859,,
2025-10-17,0.959,0.965,0.907,0.912,1118866294,1036301104,,
2025-10-20,0.919,0.929,0.907,0.913,741814346,681075728,,
2025-10-21,0.915,0.931,0.909,0.925,451456856,416337951,,
2025-10-22,0.919,0.924,0.906,0.909,540286491,491980878,,
2025-10-23,0.904,0.917,0.889,0.917,696332997,629191251,,
2025-10-24,0.92,0.936,0.919,0.933,516391519,480114702,,
2025-10-27,0.94,0.952,0.929,0.941,560433544,526896125,,
2025-10-28,0.941,0.945,0.928,0.933,424707425,397943698,,
2025-10-29,0.935,1.016,0.935,1.01,1828481176,1803405808,,
