date,open,high,low,close,volume
2025-08-18,53.23,53.54,53.23,53.5,9368329.0
2025-08-19,53.7,53.72,53.585,53.65,5349245.0
2025-08-20,53.88,53.9,53.71,53.8,4664872.0
2025-08-21,53.645,53.66,53.47,53.57,8981983.0
2025-08-22,53.26,54.09,53.24,53.58,5811015.0
2025-08-25,53.42,53.48,53.21,53.23,3967645.0
2025-08-26,52.58,52.65,52.51,52.55,6590970.0
2025-08-27,52.43,52.7,52.41,52.68,5421290.0
2025-08-28,52.44,52.6,52.41,52.54,4135874.0
2025-08-29,52.0,52.01,51.83,51.98,4761617.0
2025-09-02,52.11,52.4,52.1,52.35,5577764.0
2025-09-03,52.62,52.65,52.5146,52.62,3444967.0
2025-09-04,52.53,52.59,52.38,52.59,5415420.0
2025-09-05,52.66,52.705,52.41,52.48,6731253.0
2025-09-08,52.78,52.94,52.76,52.89,6514111.0
2025-09-09,52.82,52.865,52.685,52.71,3565361.0
2025-09-10,53.05,53.2377,53.03,53.16,3296311.0
2025-09-11,53.04,53.26,53.04,53.24,4038378.0
2025-09-12,53.32,53.33,53.12,53.15,2154576.0
2025-09-15,53.37,53.45,53.33,53.43,4749061.0
2025-09-16,53.73,53.88,53.66,53.87,4539330.0
2025-09-17,54.0,54.45,54.0,54.02,6512866.0
2025-09-18,53.89,53.89,53.655,53.74,4096301.0
2025-09-19,53.93,54.0,53.79,53.94,4073970.0
2025-09-22,53.64,53.6483,53.5,53.5,2611791.0
2025-09-23,53.21,53.23,53.03,53.06,3227550.0
2025-09-24,52.89,52.89,52.66,52.74,4014390.0
2025-09-25,52.47,52.61,52.385,52.49,3475158.0
2025-09-26,52.14,52.29,52.06,52.25,4485540.0
2025-09-29,52.21,52.245,52.08,52.16,4562565.0
2025-09-30,52.05,52.11,51.98,52.06,3488327.0
2025-10-01,52.46,52.64,52.375,52.39,4114749.0
2025-10-02,52.46,52.46,52.14,52.3,4429004.0
2025-10-03,52.48,52.51,52.0,52.45,2969687.0
2025-10-06,52.8,52.83,52.69,52.76,2792983.0
2025-10-07,52.97,52.97,52.845,52.88,3104938.0
2025-10-08,52.64,52.69,52.585,52.63,2525990.0
2025-10-09,52.93,52.9842,52.74,52.81,3259465.0
2025-10-10,53.3,53.38,52.75,52.77,8108619.0
2025-10-13,53.0,53.055,52.86,52.97,4819810.0
2025-10-14,52.74,52.9,52.595,52.78,3342747.0
2025-10-15,53.535,53.79,53.47,53.76,8336379.0
2025-10-16,54.11,54.59,53.935,54.065,5871759.0
2025-10-17,54.27,54.53,54.25,54.45,4583160.0
2025-10-20,54.53,54.77,54.53,54.74,8176651.0
2025-10-21,54.48,54.585,54.4,54.48,3190559.0
2025-10-22,55.37,55.5,55.125,55.29,10304514.0
2025-10-23,54.64,54.82,54.615,54.76,5730437.0
2025-10-24,54.59,54.605,54.49,54.51,5883048.0
2025-10-27,54.71,54.75,54.61,54.72,5336586.0
2025-10-28,54.5,54.67,54.41,54.54,4264039.0
2025-10-29,54.88,54.92,54.475,54.61,8390980.0
2025-10-30,54.3,54.46,54.215,54.27,5083410.0
2025-10-31,54.08,54.11,53.865,53.97,5798682.0
2025-11-03,54.32,54.33,54.11,54.24,3544951.0
2025-11-04,53.98,54.16,53.89,54.02,6827734.0
2025-11-05,53.99,54.37,53.99,54.3,4193850.0
2025-11-06,53.87,53.88,53.495,53.62,6626142.0
2025-11-07,53.72,53.765,53.48,53.75,4373080.0
2025-11-10,53.96,54.19,53.925,54.15,4661507.0
2025-11-11,54.42,54.8399,54.42,54.74,6611107.0
2025-11-12,54.51,54.58,54.35,54.56,4417389.0
2025-11-13,54.42,54.455,54.13,54.2,6434418.0
2025-11-14,54.4,54.735,54.34,54.62,7468308.0
2025-11-17,54.765,54.885,54.6,54.65,3813720.0
2025-11-18,54.34,54.71,54.34,54.61,5360626.0
2025-11-19,54.78,55.02,54.75,54.83,3990658.0
2025-11-20,55.04,55.1,54.635,54.72,6949829.0
2025-11-21,54.05,54.28,53.94,54.21,5518236.0
2025-11-24,54.07,54.305,54.07,54.22,6452079.0
2025-11-25,54.0,54.28,53.97,54.28,4827574.0
2025-11-26,54.55,54.69,54.495,54.67,4585394.0
2025-11-28,54.61,54.83,54.555,54.71,3796529.0
2025-12-01,54.38,54.445,54.13,54.33,3578832.0
2025-12-02,53.98,54.01,53.8,53.88,5965820.0
2025-12-03,53.51,53.595,53.3101,53.41,7367512.0
2025-12-04,53.78,53.845,53.65,53.76,4571005.0
2025-12-05,54.06,54.07,53.9201,53.97,3027604.0
2025-12-08,53.325,53.46,53.01,53.08,4126691.0
2025-12-09,53.14,53.36,53.14,53.27,5696891.0
2025-12-10,53.23,53.43,53.18,53.36,4774082.0
2025-12-11,53.38,53.67,53.315,53.57,7105577.0
2025-12-12,53.37,53.425,53.02,53.14,6546595.0
2025-12-15,53.19,53.285,53.1,53.1,3824780.0
2025-12-16,52.87,52.997,52.81,52.95,5657026.0
2025-12-17,53.08,53.145,52.935,52.97,4352134.0
2025-12-18,53.26,53.435,53.24,53.28,5141449.0
2025-12-19,53.9,54.595,53.9,54.15,13323161.0
2025-12-22,54.225,54.24,54.15,54.19,5815901.0
2025-12-23,54.12,54.47,54.11,54.47,5630210.0
2025-12-24,54.1,54.13,53.95,54.01,2394544.0
2025-12-26,53.94,53.94,53.75,53.84,4005604.0
2025-12-29,53.53,53.55,53.41,53.47,5718090.0
2025-12-30,53.58,53.7093,53.58,53.64,5833550.0
2025-12-31,53.92,54.1,53.92,54.05,3769525.0
2026-01-02,54.58,54.58,54.33,54.56,5930206.0
2026-01-05,54.18,54.335,54.08,54.29,4914091.0
2026-01-06,54.15,54.29,54.035,54.08,5370390.0
2026-01-07,54.29,54.355,54.1601,54.2,3714650.0
2026-01-08,53.665,53.7354,53.575,53.72,5751471.0
2026-01-09,53.265,53.3,53.015,53.175,6544977.0
2026-01-12,53.18,53.4654,53.18,53.4,5252059.0
2026-01-13,53.125,53.15,52.935,53.04,5588516.0
2026-01-14,53.02,53.25,52.985,53.25,8127930.0
2026-01-15,53.17,53.255,53.065,53.22,4988821.0
2026-01-16,52.86,52.88,52.68,52.85,6317125.0
2026-01-20,51.93,51.97,51.72,51.73,8498705.0
2026-01-21,51.3,51.6,51.29,51.55,10145632.0
2026-01-22,51.72,51.88,51.655,51.795,6359798.0
2026-01-23,51.06,51.28,50.94,51.24,5884767.0
2026-01-26,51.25,51.54,51.25,51.44,5342990.0
2026-01-27,51.67,51.88,51.59,51.69,9003134.0
2026-01-28,51.48,51.5299,51.26,51.49,7146092.0
2026-01-29,51.79,51.8,51.29,51.61,7128407.0
2026-01-30,51.72,52.26,51.45,51.74,7651598.0
2026-02-02,51.25,53.79,51.19,53.28,30890583.0
2026-02-03,53.51,53.585,52.95,53.15,16476804.0
2026-02-04,53.25,53.44,53.06,53.44,13915277.0
2026-02-05,53.07,53.2,52.9205,52.95,8427532.0
2026-02-06,53.01,53.325,52.97,53.28,6774023.0
2026-02-09,53.3,53.5099,53.275,53.44,3804571.0
2026-02-10,53.58,53.805,53.56,53.74,8443158.0
2026-02-11,53.54,53.675,53.345,53.53,7719776.0
2026-02-12,53.38,53.51,53.05,53.11,6720458.0
2026-02-13,52.695,52.915,52.58,52.89,8885359.0
2026-02-17,53.05,53.29,52.955,53.27,5935432.0
2026-02-18,53.23,53.47,53.2,53.32,4925232.0
2026-02-19,52.26,52.355,52.11,52.3,5777899.0
2026-02-20,52.7,53.47,52.63,53.42,12652172.0
2026-02-23,52.88,53.01,52.55,52.61,7613826.0
2026-02-24,52.63,52.88,52.63,52.67,7227304.0
2026-02-25,52.9,52.94,52.585,52.74,4801620.0
2026-02-26,52.74,52.84,52.46,52.58,7700687.0
2026-02-27,52.11,52.32,52.025,52.27,6837181.0
2026-03-02,50.97,51.26,50.91,50.95,12553201.0
2026-03-03,49.67,50.305,49.045,50.22,23130144.0
2026-03-04,50.23,50.36,50.01,50.27,9799076.0
2026-03-05,50.47,50.55,49.745,50.37,14965820.0
2026-03-06,49.97,50.16,49.81,49.99,17396549.0
2026-03-09,49.23,50.26,49.0145,49.98,13332656.0
2026-03-10,50.04,50.505,49.87,49.93,12692082.0
2026-03-11,49.4,49.62,49.205,49.27,9914202.0
2026-03-12,48.98,48.99,48.41,48.52,14226382.0
2026-03-13,48.25,48.5,47.915,48.06,12567783.0
2026-03-16,48.53,48.675,48.38,48.56,10247522.0
2026-03-17,48.66,48.79,48.5,48.52,6081330.0
2026-03-18,48.2,48.415,47.645,47.72,8916291.0
2026-03-19,47.14,47.67,46.975,47.52,13015913.0
2026-03-20,47.3,47.39,46.54,46.59,14484459.0
2026-03-23,47.52,48.21,47.36,47.63,17894154.0
2026-03-24,46.51,46.74,46.26,46.39,10564786.0
2026-03-25,47.35,47.605,47.24,47.42,10465235.0
2026-03-26,47.0,47.31,46.6,46.61,6865036.0
2026-03-27,46.09,46.11,45.71,45.82,7911326.0
2026-03-30,45.42,45.645,45.2118,45.42,12012395.0
2026-03-31,45.96,46.84,45.81,46.84,8922034.0
2026-04-01,46.6,47.02,46.45,46.71,13685379.0
2026-04-02,46.36,46.93,46.31,46.65,9115386.0
2026-04-06,47.15,47.39,47.11,47.25,6134169.0
2026-04-07,47.35,47.41,47.035,47.36,7425440.0
2026-04-08,49.82,49.91,49.04,49.27,16448912.0
2026-04-09,49.16,49.47,48.945,49.07,14451966.0
2026-04-10,49.5,49.595,49.245,49.34,6164357.0
2026-04-13,48.86,49.41,48.8,49.35,9038306.0
2026-04-14,49.68,49.9,49.65,49.7,5064343.0
2026-04-15,49.75,49.99,49.62,49.98,5616006.0
