date,open,high,low,close,volume
2025-08-18,573.4057,574.7307,572.2069,574.0757,29830939.0
2025-08-19,573.3557,573.5257,565.2157,566.2457,53752633.0
2025-08-20,565.2957,565.4157,555.8057,562.8657,76781030.0
2025-08-21,561.3157,563.4557,557.9457,560.2457,46436899.0
2025-08-22,561.6357,570.9557,560.2357,568.9357,51502126.0
2025-08-25,567.3657,570.2528,566.1257,567.2857,34044716.0
2025-08-26,566.7957,569.8857,565.7657,569.5757,34102748.0
2025-08-27,568.5557,571.3707,567.3357,570.4557,36927144.0
2025-08-28,571.0757,574.9657,569.4257,574.0457,46787806.0
2025-08-29,571.6207,571.9957,565.5057,567.3657,56030384.0
2025-09-02,558.2757,562.9307,556.5007,562.5857,65876765.0
2025-09-03,566.1957,568.6607,563.6907,567.0357,54230117.0
2025-09-04,567.7057,572.5657,565.9907,572.1957,47526280.0
2025-09-05,577.4557,578.0857,568.4957,573.0257,68342413.0
2025-09-08,575.3357,577.8057,574.7357,575.8357,46371329.0
2025-09-09,576.6357,577.9057,574.0057,577.4757,44007592.0
2025-09-10,580.7057,580.7357,575.5157,577.6657,49307944.0
2025-09-11,580.2057,581.8457,578.5857,581.0457,44745756.0
2025-09-12,582.0057,584.8257,581.0657,583.6257,50745507.0
2025-09-15,585.4057,588.7557,585.2607,588.6457,44360299.0
2025-09-16,589.5757,589.8257,587.4557,588.1457,36942129.0
2025-09-17,588.0657,588.7157,581.3307,586.9657,69384794.0
2025-09-18,591.8757,595.1057,589.9257,592.2857,61069293.0
2025-09-19,594.2957,597.0157,592.8157,596.3157,58196098.0
2025-09-22,595.3996,600.5296,595.3796,599.8596,57154681.0
2025-09-23,600.0296,600.2296,594.6396,595.8596,64635485.0
2025-09-24,597.2396,597.5596,591.0196,593.7596,49850189.0
2025-09-25,589.8596,592.7746,586.1596,591.1896,70920200.0
2025-09-26,592.0096,593.9596,588.7196,593.6296,54337116.0
2025-09-29,596.7696,599.7096,595.0696,596.3896,48332928.0
2025-09-30,596.0896,598.3696,593.7596,598.0296,46533725.0
2025-10-01,594.8296,601.4496,593.9996,600.9096,46899472.0
2025-10-02,604.7196,604.8196,600.5896,603.3896,43765358.0
2025-10-03,604.1696,604.9851,599.0446,600.8396,46482080.0
2025-10-06,606.1096,607.0196,603.6296,605.3696,41962104.0
2025-10-07,606.6796,607.3696,600.6896,602.1696,58209351.0
2025-10-08,603.0696,609.4096,602.9196,609.0996,50629734.0
2025-10-09,609.1396,609.2696,605.1396,608.3596,45550958.0
2025-10-10,609.0596,610.8396,586.7096,587.1596,97614783.0
2025-10-13,597.3396,600.6096,594.8896,599.6696,65872584.0
2025-10-14,592.9696,600.3496,587.7896,595.6596,69203186.0
2025-10-15,601.6696,604.3596,593.5896,599.8796,62805193.0
2025-10-16,602.7696,605.9696,593.1596,597.6496,70981963.0
2025-10-17,595.6096,603.1696,594.0296,601.5896,72024859.0
2025-10-20,604.7996,610.4596,604.7246,609.1996,45761590.0
2025-10-21,609.2996,610.3809,606.9796,609.0396,44538122.0
2025-10-22,608.4796,609.0696,597.3996,603.1496,61478712.0
2025-10-23,602.5696,609.0296,602.1796,608.2396,42844087.0
2025-10-24,613.6496,616.0796,612.7896,614.7596,47632465.0
2025-10-27,622.1796,626.2096,621.6896,625.7496,54098610.0
2025-10-28,628.0196,632.3396,626.9096,630.5796,61195733.0
2025-10-29,633.2496,634.6696,627.9096,633.4296,67422553.0
2025-10-30,629.8296,631.1596,623.5996,623.7096,61628601.0
2025-10-31,631.8296,631.8596,624.3496,626.7296,66305139.0
2025-11-03,632.7696,633.4796,627.5096,629.7396,37154298.0
2025-11-04,620.9396,624.6096,616.1146,616.9096,63830768.0
2025-11-05,616.1496,624.2596,614.8696,620.9396,48688482.0
2025-11-06,619.4496,619.6996,607.9596,609.3296,72115104.0
2025-11-07,605.9696,607.6096,596.3296,607.3996,81835381.0
2025-11-10,616.5796,621.9696,614.5496,620.8896,55919931.0
2025-11-11,618.2296,620.3796,615.1796,619.2296,44868841.0
2025-11-12,622.4996,622.5196,615.4696,618.7396,47444384.0
2025-11-13,615.1996,615.7796,603.7396,606.0596,71333634.0
2025-11-14,597.2096,611.0096,594.8296,606.5196,80087265.0
2025-11-17,603.9596,610.1396,597.5296,601.3196,63850367.0
2025-11-18,597.2796,599.9696,588.9996,593.9696,83327264.0
2025-11-19,594.7296,603.8196,592.2496,597.5296,73111487.0
2025-11-20,609.2796,611.6896,582.4096,583.3296,117743185.0
2025-11-21,585.1296,594.6396,578.3996,587.7296,103344117.0
2025-11-24,592.9396,604.3396,592.8196,602.8196,60168149.0
2025-11-25,601.1696,607.9197,594.9796,606.5496,57560829.0
2025-11-26,610.1696,613.8496,608.0496,611.9296,42393555.0
2025-11-28,613.7696,616.9796,613.077,616.9096,21256997.0
2025-12-01,611.2896,617.0997,610.1796,614.8296,40957588.0
2025-12-02,617.1196,621.4096,615.2496,619.6596,54541804.0
2025-12-03,617.2796,621.8796,615.6896,621.1796,47841606.0
2025-12-04,622.5896,622.5996,617.1996,620.5996,47067670.0
2025-12-05,622.0396,626.5796,621.3696,623.1396,53614169.0
2025-12-08,624.8696,626.4996,619.3496,621.9396,43462399.0
2025-12-09,620.6696,623.5296,618.6596,622.7096,37155983.0
2025-12-10,621.5096,626.8696,618.6496,625.2696,55031378.0
2025-12-11,621.4796,623.4396,615.3796,623.2396,58272844.0
2025-12-12,619.7396,621.1996,609.0196,611.2796,75158700.0
2025-12-15,616.0296,616.0796,606.9796,608.1996,49538197.0
2025-12-16,605.9196,611.1696,604.5697,609.4096,55152819.0
2025-12-17,610.7196,611.3096,597.9396,598.0696,70654327.0
2025-12-18,607.4596,610.5896,604.5796,606.7696,78875819.0
2025-12-19,609.6096,615.2796,609.5296,614.7096,60369690.0
2025-12-22,619.8037,620.1037,616.2237,617.6637,43703079.0
2025-12-23,616.6537,620.8637,616.2337,620.5637,41120443.0
2025-12-24,620.4437,622.7337,620.1737,622.3837,17523927.0
2025-12-26,623.1137,623.9687,621.5937,622.3437,28959689.0
2025-12-29,618.5537,621.2337,617.1837,619.3237,32458308.0
2025-12-30,618.2937,620.6337,617.6687,617.8837,31226754.0
2025-12-31,618.1037,618.4137,612.5037,612.7637,40746487.0
2026-01-02,618.5137,621.3037,608.6037,611.5737,61859163.0
2026-01-05,617.7737,619.2637,615.1737,616.4437,46828343.0
2026-01-06,617.6837,622.475,616.9937,621.8737,43137469.0
2026-01-07,621.4937,626.3937,621.0137,622.4737,44880338.0
2026-01-08,621.4837,621.8737,616.2537,618.9237,50435935.0
2026-01-09,619.8637,626.3437,617.5137,625.1037,49688591.0
