date,open,high,low,close,volume
2025-08-18,182.6145,183.153,182.4745,182.6145,7559040.0
2025-08-19,182.7045,184.3666,182.7045,183.4845,10692937.0
2025-08-20,183.5145,184.0245,182.6345,183.3145,12877914.0
2025-08-21,182.7245,183.1545,182.1645,182.6645,12848261.0
2025-08-22,183.6145,186.7833,183.5795,186.2845,14820850.0
2025-08-25,185.7795,186.0145,184.7945,184.8345,12121146.0
2025-08-26,184.6095,185.1745,184.3845,184.9645,10758094.0
2025-08-27,184.8145,185.8695,184.6445,185.6445,10330888.0
2025-08-28,185.9745,186.0545,184.6795,185.5545,11258754.0
2025-08-29,185.4445,186.1445,184.8445,185.4145,11791036.0
2025-09-02,183.5345,184.1345,182.8445,183.9245,13874679.0
2025-09-03,183.5645,184.2645,182.7445,183.6345,13431465.0
2025-09-04,183.9745,185.0495,183.2645,185.0145,10707051.0
2025-09-05,185.4645,186.5945,184.1145,185.2345,19713198.0
2025-09-08,185.2745,185.2745,183.8345,185.0845,16212055.0
2025-09-09,184.7745,185.0395,184.1245,184.5045,18432742.0
2025-09-10,184.4945,185.2845,183.7345,184.3145,17279633.0
2025-09-11,184.5145,187.3345,184.5145,187.1245,19182409.0
2025-09-12,186.8845,187.1095,185.6046,185.7545,14125884.0
2025-09-15,186.1095,186.5145,185.2445,185.4245,14177098.0
2025-09-16,185.4345,185.7845,184.4245,184.9245,13418276.0
2025-09-17,185.1645,187.3145,183.9745,185.1045,21025288.0
2025-09-18,185.6245,186.8495,185.3195,186.3345,16984442.0
2025-09-19,186.7945,186.7945,185.3645,186.0045,11333514.0
2025-09-22,185.4347,186.4147,185.0597,186.0947,9302270.0
2025-09-23,186.2147,187.4897,185.9847,186.3247,9921567.0
2025-09-24,186.3247,186.8547,185.6997,185.8847,10625992.0
2025-09-25,185.2247,185.2547,183.6447,184.3347,12979563.0
2025-09-26,184.8397,186.3297,184.7247,186.1847,11428767.0
2025-09-29,187.0147,187.1147,186.0147,186.8147,11846751.0
2025-09-30,186.4747,187.4947,185.9647,187.3147,13098597.0
2025-10-01,186.8847,188.0347,186.8847,187.7447,10806362.0
2025-10-02,187.8147,188.5597,187.3097,188.1947,12839921.0
2025-10-03,188.5247,189.9147,188.5047,188.8647,15326907.0
2025-10-06,189.7147,189.7147,188.4997,188.8047,10695277.0
2025-10-07,189.2447,189.5247,187.5797,187.9647,13431815.0
2025-10-08,188.2047,188.8847,187.4537,188.5847,11800598.0
2025-10-09,188.7247,188.9247,186.6947,187.0047,12641693.0
2025-10-10,187.2047,187.6247,182.7037,182.7347,40484499.0
2025-10-13,184.0447,185.1497,183.7157,184.5347,16088800.0
2025-10-14,183.1647,186.9147,183.0347,186.0847,17544254.0
2025-10-15,187.0147,188.1097,185.0397,186.4647,11078792.0
2025-10-16,186.8347,187.0747,184.0447,184.6747,20570001.0
2025-10-17,184.6547,185.9847,184.4547,185.6247,21042165.0
2025-10-20,186.6347,187.7747,186.6097,187.5047,9171589.0
2025-10-21,187.4747,188.9447,187.2447,188.3747,9444733.0
2025-10-22,188.4547,188.7347,186.7747,187.4547,15088694.0
2025-10-23,187.7347,188.6997,187.1947,188.3547,9809676.0
2025-10-24,189.7247,189.8297,188.7947,188.8747,13012126.0
2025-10-27,189.8447,189.9447,189.1447,189.7247,10311447.0
2025-10-28,189.3747,189.3747,187.9647,188.0747,12596705.0
2025-10-29,187.4647,187.7397,185.3247,185.9447,25832325.0
2025-10-30,185.1247,187.1047,185.0347,185.1347,16213730.0
2025-10-31,184.7247,186.0947,184.4747,185.5447,14994054.0
2025-11-03,185.5847,185.5847,183.0847,185.0847,16031243.0
2025-11-04,183.8147,184.5747,183.3547,183.8447,15934254.0
2025-11-05,183.7947,185.5947,183.6347,184.9347,15322476.0
2025-11-06,184.7547,185.5547,183.2447,183.6147,19140616.0
2025-11-07,183.2847,185.2547,182.9647,185.1747,24166739.0
2025-11-10,185.8947,186.6247,184.6747,186.2547,15983182.0
2025-11-11,186.4847,187.8347,186.3647,187.3447,11465565.0
2025-11-12,187.5547,188.5447,187.5547,187.7947,17683749.0
2025-11-13,187.2547,187.9447,185.3347,185.6447,23906319.0
2025-11-14,184.7347,186.0748,184.1447,184.9547,31184396.0
2025-11-17,184.7297,185.1247,181.9597,182.4947,24821250.0
2025-11-18,181.9497,183.6597,181.4747,182.6047,39684902.0
2025-11-19,182.4747,182.9747,181.2847,182.0447,21903366.0
2025-11-20,183.8547,184.3947,179.7247,179.7947,45169744.0
2025-11-21,180.8247,184.4247,180.4247,183.3747,57508358.0
2025-11-24,183.8047,184.7697,182.8947,184.1447,15833457.0
2025-11-25,184.5947,187.1446,184.5097,186.7947,22726529.0
2025-11-26,187.0147,188.7747,186.9247,188.1147,14643568.0
2025-11-28,188.3247,189.4447,188.1747,189.1447,5184689.0
2025-12-01,187.9547,189.2602,187.7297,187.8347,13035118.0
2025-12-02,188.3547,188.3597,187.1447,187.6547,11714163.0
2025-12-03,187.8847,189.2347,187.8647,189.1047,13576814.0
2025-12-04,189.0947,189.6747,188.6197,189.1647,11086904.0
2025-12-05,189.4347,190.4247,189.1997,189.6147,12887184.0
2025-12-08,189.8497,189.8847,188.2847,188.4647,8686086.0
2025-12-09,188.3247,189.3047,188.0347,188.1047,7896562.0
2025-12-10,188.3747,191.2147,188.2247,190.7847,17968602.0
2025-12-11,190.6347,192.4929,190.6147,192.3447,17852728.0
2025-12-12,192.9447,193.0797,190.6697,191.0247,26816953.0
2025-12-15,192.1247,192.1847,190.5247,191.2647,26605528.0
2025-12-16,191.3847,191.5747,189.2047,189.9047,16005770.0
2025-12-17,190.0647,191.2247,189.1547,189.3847,13546073.0
2025-12-18,190.5347,191.3747,189.4247,189.7947,18123832.0
2025-12-19,189.8547,191.1347,189.6847,190.4947,13707842.0
2025-12-22,190.9884,192.1034,190.7984,191.9184,8322212.0
2025-12-23,191.7184,192.0384,191.1034,191.4684,6423013.0
2025-12-24,191.5484,192.4834,191.3784,192.1684,3897275.0
2025-12-26,192.1784,192.3084,191.5484,192.2184,9570661.0
2025-12-29,191.9884,192.4384,191.5084,191.8984,7381006.0
2025-12-30,191.9184,192.1284,191.5384,191.5884,5089283.0
2025-12-31,191.5384,191.5384,189.8934,189.9384,12684522.0
2026-01-02,190.5884,191.6684,189.4134,191.2384,13722390.0
2026-01-05,191.3884,193.6144,191.2134,193.0284,17526104.0
2026-01-06,192.8084,195.6274,192.7834,195.3784,18100781.0
2026-01-07,195.5334,195.8584,193.0434,193.1684,19819014.0
2026-01-08,192.7384,195.3484,192.5484,194.8384,21391820.0
2026-01-09,195.3784,196.4476,195.0084,195.9784,14223315.0
2026-01-12,195.4584,196.2584,194.9534,196.1584,12469877.0
2026-01-13,196.5084,196.7784,195.4884,196.1584,18149417.0
2026-01-14,195.8534,197.0584,195.8184,197.0584,24857099.0
2026-01-15,197.6984,198.4834,197.1234,197.9384,20665991.0
2026-01-16,197.6784,198.1584,197.0784,197.4284,13914024.0
2026-01-20,195.2484,196.2834,194.1584,194.4584,21111264.0
2026-01-21,195.5584,198.265,195.4884,197.7784,19619085.0
2026-01-22,198.4784,199.1584,197.8384,198.0384,17094341.0
2026-01-23,197.6684,197.8484,196.405,197.1484,13500996.0
2026-01-26,197.5984,198.1684,197.3234,197.6184,13080396.0
2026-01-27,197.5484,197.7984,196.9584,197.3084,10553474.0
2026-01-28,197.2984,197.8584,196.2834,196.6384,20805836.0
2026-01-29,197.5584,198.2784,195.5184,196.8984,23925662.0
2026-01-30,196.3884,197.1084,194.6234,196.4584,25403136.0
2026-02-02,196.0684,197.7084,195.5284,197.4784,14618212.0
2026-02-03,197.1084,198.4584,195.3584,196.9484,28998277.0
2026-02-04,197.5984,199.3284,197.4984,198.6784,31319213.0
2026-02-05,198.0184,198.4168,196.4934,196.9384,36587361.0
2026-02-06,198.4434,200.8684,198.2784,200.6384,26921428.0
2026-02-09,199.9884,201.1984,199.3634,200.7584,14600805.0
2026-02-10,200.9234,202.2384,200.8484,201.4784,16784230.0
2026-02-11,202.2684,202.5484,200.9084,201.8384,18897218.0
2026-02-12,202.6484,203.6184,198.7684,199.1684,38641105.0
2026-02-13,199.5784,202.1982,198.8084,201.2484,29358465.0
2026-02-17,201.4534,202.3584,199.2234,200.8984,29787319.0
2026-02-18,201.2084,202.5984,200.6284,201.9484,20934056.0
2026-02-19,201.4634,201.9884,200.3084,201.5184,15447876.0
2026-02-20,200.8784,203.1584,200.7184,202.4684,27280122.0
2026-02-23,201.7584,202.4584,199.4234,200.2284,16436788.0
2026-02-24,200.2584,202.0834,200.1684,201.8384,19724651.0
2026-02-25,202.4734,202.5184,200.6284,201.9584,16772353.0
2026-02-26,202.4984,203.4084,201.5534,203.1084,23866146.0
2026-02-27,201.7484,203.4584,201.2884,203.3484,16234474.0
2026-03-02,201.7184,203.6184,201.2184,202.9684,22036975.0
2026-03-03,199.4234,201.4084,196.9234,200.4584,37315536.0
2026-03-04,201.0784,201.7234,199.7934,201.2684,16696691.0
2026-03-05,200.1684,201.0884,197.8384,198.9184,23149562.0
2026-03-06,196.8184,197.1484,194.8984,196.5284,23634310.0
2026-03-09,194.6584,197.6284,192.3484,197.0884,26828158.0
2026-03-10,196.8184,197.9534,195.2284,195.5984,19304344.0
2026-03-11,195.3884,195.7534,194.0534,194.9484,16891160.0
2026-03-12,193.2434,194.3884,191.8834,191.9084,24793802.0
2026-03-13,193.3984,194.0584,191.6684,191.8984,13022664.0
2026-03-16,193.6284,194.5684,192.9684,193.3384,12128722.0
2026-03-17,194.6834,195.6284,194.2884,194.4284,10977465.0
2026-03-18,193.5284,194.0184,191.7684,191.8484,12514599.0
2026-03-19,190.6384,192.8484,190.2784,191.6984,17371140.0
2026-03-20,191.4084,191.7984,187.8784,188.8584,15312005.0
2026-03-23,191.6899,193.2399,190.6299,190.8799,15965453.0
2026-03-24,189.7099,192.1599,189.2699,191.1099,15258474.0
2026-03-25,192.6499,193.3399,190.5299,192.0399,14017249.0
2026-03-26,190.8999,192.6899,190.0299,190.2699,17145615.0
2026-03-27,189.6199,189.8799,187.2199,187.6499,13998723.0
2026-03-30,189.3499,189.5499,186.5539,187.2599,10947254.0
2026-03-31,189.2099,191.8299,187.9199,191.1099,19696546.0
2026-04-01,191.7299,192.6599,191.3699,191.7299,17589136.0
2026-04-02,189.7399,193.4899,189.3999,192.2799,10796616.0
2026-04-06,192.1399,193.2099,191.7399,193.1099,4600243.0
2026-04-07,192.5299,193.2049,191.5899,192.6799,8382435.0
2026-04-08,196.4899,197.4899,196.1099,197.1499,11173784.0
2026-04-09,196.4299,197.9199,195.9899,197.2699,7320910.0
2026-04-10,197.4399,197.6199,195.5199,195.8399,6702256.0
2026-04-13,195.4199,198.1199,195.1399,198.0199,5788895.0
2026-04-14,198.2799,199.2199,197.7199,198.8499,10283905.0
2026-04-15,198.9199,199.3899,198.1199,198.9199,8666721.0
2026-04-16,199.2849,200.2699,199.1007,199.8299,9802294.0
2026-04-17,200.8799,203.2678,200.8149,202.3499,10807152.0
2026-04-20,201.8799,203.1198,201.8599,202.9899,6061791.0
2026-04-21,203.4599,204.3697,201.3999,201.7399,8702277.0
2026-04-22,202.9699,203.3799,201.1299,201.6499,7197835.0
2026-04-23,201.6249,202.1249,199.5699,201.6399,10703858.0
2026-04-24,201.7699,202.1294,200.8399,201.2199,8816639.0
2026-04-27,201.1599,202.1299,200.8699,200.9799,6866750.0
2026-04-28,200.9799,201.4649,199.3449,199.9499,6560099.0
2026-04-29,199.9799,200.4599,198.8899,199.5999,8269054.0
2026-04-30,199.7299,202.7399,199.3899,202.6299,9591117.0
2026-05-01,203.1999,203.4999,201.9749,202.0099,13811317.0
2026-05-04,201.5599,202.7649,200.4199,200.8299,9495156.0
2026-05-05,201.4699,202.9699,200.8099,202.4299,6565917.0
2026-05-06,203.7699,204.6999,203.2499,204.0399,10908246.0
2026-05-07,204.1499,204.7199,202.1349,202.7299,10151186.0
2026-05-08,203.6349,203.7699,202.3749,203.2899,8492405.0
2026-05-11,203.6499,204.0049,202.8249,203.1799,7428584.0
2026-05-12,202.9199,203.2799,201.3599,202.9999,9576182.0
2026-05-13,202.8699,202.8699,201.5249,202.1099,7388359.0
2026-05-14,202.6499,203.6999,202.2249,202.8499,9841610.0
2026-05-15,201.7899,202.1099,200.6398,200.7499,8957432.0
2026-05-18,201.0699,202.4699,200.6449,201.9899,13792256.0
2026-05-19,201.1699,201.8276,200.0999,200.8099,10548898.0
2026-05-20,201.1699,203.1799,199.8899,203.0199,18984649.0
2026-05-21,202.1299,204.0899,200.9999,203.8999,11503956.0
2026-05-22,204.9199,206.1599,204.7099,205.7699,11150983.0
2026-05-26,207.0199,207.3699,206.1199,206.8299,10318326.0
2026-05-27,207.2399,207.9199,206.5299,206.6799,9746267.0
2026-05-28,206.5699,208.0799,205.8299,207.4399,6645529.0
2026-05-29,207.9349,208.5099,207.3999,208.0199,8577867.0
2026-06-01,207.2399,208.9599,206.9799,208.3999,8484907.0
2026-06-02,208.2949,209.3049,207.9699,209.2299,8102939.0
2026-06-03,208.6199,208.9949,208.0299,208.4399,9764997.0
2026-06-04,209.2049,210.1349,208.9299,210.0199,10142730.0
2026-06-05,209.0599,209.5499,206.4799,207.0199,10969781.0
2026-06-08,207.8249,208.27,206.6399,206.7999,7771400.0
2026-06-09,207.8299,209.5499,204.9299,208.3799,17169485.0
2026-06-10,207.7199,209.1199,205.6399,205.7199,11015721.0
2026-06-11,206.5299,209.6499,206.0599,208.9399,16751563.0
2026-06-12,209.8899,211.3099,208.8399,210.8399,11412339.0
2026-06-15,212.7849,213.4799,211.8099,212.0699,7980274.0
2026-06-16,212.6799,213.4899,211.2649,211.3599,6167029.0
2026-06-17,211.2999,212.1899,207.7799,208.1799,11355541.0
2026-06-18,210.4099,210.4795,208.9599,209.1499,10811831.0
2026-06-22,209.53,210.34,209.1,209.61,7256352.0
2026-06-23,208.34,209.68,207.64,208.89,10942533.0
2026-06-24,209.375,211.55,209.25,210.38,8243323.0
2026-06-25,211.89,213.79,211.37,211.75,13833346.0
2026-06-26,211.35,213.09,210.31,210.31,16750479.0
2026-06-29,213.015,213.37,212.085,213.05,11407797.0
2026-06-30,212.785,213.36,211.995,212.77,9001638.0
2026-07-01,212.58,214.95,212.58,213.41,12587420.0
2026-07-02,214.49,215.61,213.29,214.91,10684466.0
2026-07-06,215.04,215.47,214.13,215.0,6442042.0
2026-07-07,215.81,216.37,214.505,214.73,8044135.0
2026-07-08,213.54,213.7,211.435,212.2,13646802.0
2026-07-09,212.84,214.19,212.475,213.5,7278126.0
2026-07-10,214.15,214.595,213.06,214.3,5540383.0
2026-07-13,214.48,215.5,213.8,214.23,6898967.0
2026-07-14,214.14,214.9,213.22,213.45,9049529.0
2026-07-15,213.75,214.155,212.55,212.97,8412433.0
2026-07-16,213.075,215.095,213.07,215.06,7124937.0
2026-07-17,214.36,215.9489,213.0505,213.37,12176202.0
2026-07-20,213.87,214.0,212.11,212.42,6432853.0
2026-07-21,212.57,213.15,211.79,212.76,6362960.0
2026-07-22,213.03,213.94,212.37,212.7,4234778.0
2026-07-23,212.1,212.94,211.27,211.92,7189679.0
2026-07-24,212.37,214.47,212.23,213.57,7268982.0
2026-07-27,214.8,215.84,214.46,215.18,6002316.0
2026-07-28,216.165,218.05,215.99,217.69,12864221.0
2026-07-29,217.2,218.11,215.55,215.73,12995739.0
2026-07-30,215.83,215.95,213.055,215.38,13366324.0
2026-07-31,215.415,215.63,213.55,215.01,9729753.0
2026-08-03,215.87,217.27,215.87,217.11,8530329.0
2026-08-04,217.57,220.445,216.92,220.23,9184717.0
2026-08-05,220.82,221.0902,219.235,219.73,8105628.0
2026-08-06,220.16,220.16,218.202,218.58,5485881.0
2026-08-07,219.025,220.365,218.41,220.09,6233721.0
2026-08-10,220.28,220.415,219.41,220.22,6332739.0
2026-08-11,219.97,221.23,219.9091,220.69,7213725.0
2026-08-12,220.95,221.365,219.87,221.08,4791378.0
2026-08-13,221.77,222.91,221.49,222.73,6406627.0
2026-08-14,222.925,222.96,222.33,222.77,3809996.0
